source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_1101623_POSCAR,6.1359181875,23.6289,4.9051,451.0845,10.3708,-3.7941949879053E-01
Y3NbO7_1101623_POSCAR,7.3631018250,17.5829,4.1064,451.0845,10.3708,-2.1169682060000E-01
Y3NbO7_1101623_POSCAR,6.5449794000,20.5421,4.4215,451.0845,10.3708,-3.0943019103916E-01
Y3NbO7_1101623_POSCAR,6.9540406125,18.8996,4.2111,451.0845,10.3708,-2.5433017503644E-01
Y3NbO7_1101623_POSCAR,7.7721630375,15.9048,4.0345,451.0845,10.3708,-1.8032573281444E-01
Y3NbO7_1101623_POSCAR,8.1812242500,13.6458,3.9476,451.0845,10.3708,-1.5872609745900E-01
Y3NbO7_1101623_POSCAR,8.5902854625,11.0959,3.7935,451.0845,10.3708,-1.4386819748628E-01
Y3NbO7_1101623_POSCAR,8.9993466750,8.6828,3.5094,451.0845,10.3708,-1.3180165915821E-01
Y3NbO7_1101623_POSCAR,9.4084078875,6.5797,3.0483,451.0845,10.3708,-1.1978527613454E-01
Y3NbO7_1101623_POSCAR,10.2265303125,3.2986,1.7843,451.5063,10.5708,-9.7420160856057E-02
Y3NbO7_1101623_POSCAR,9.8174691000,4.7778,2.4355,451.0845,10.3720,-1.0732792132104E-01
Y3NbO7_1101623_POSCAR,10.6355915250,2.1847,1.2202,997.8685,12.5527,-1.3208367239538E-01
Y3NbO7_1101623_POSCAR,11.0446527375,1.4158,0.8012,1132.7660,13.0121,-1.3965552289301E-01
Y3NbO7_1101623_POSCAR,11.4537139500,0.9149,0.5182,1887.9231,14.0014,-1.7744484202627E-01
Y3NbO7_1101623_POSCAR,11.8627751625,0.5971,0.3360,2360.0021,14.8881,-2.0961255794028E-01
Y3NbO7_1101623_POSCAR,12.2718363750,0.3966,0.2207,2365.6188,15.2193,-1.8436485926227E-01
Y3NbO7_1101623_POSCAR,12.6808975875,0.2688,0.1476,2365.8539,15.3376,-1.6156735396352E-01
Y3NbO7_1101623_POSCAR,13.0899588000,0.1860,0.1006,2365.8816,15.3877,-1.4160591914119E-01
Y3NbO7_1101623_POSCAR,13.4990200125,0.1313,0.0700,2365.8878,15.4123,-1.2385017552615E-01
Y3NbO7_1101623_POSCAR,13.9080812250,0.0947,0.0497,2365.8898,15.4258,-1.0800114319112E-01
Y3NbO7_1101623_POSCAR,14.3171424375,0.0696,0.0360,2365.8907,15.4339,-9.3960051623578E-02
Y3NbO7_1101623_POSCAR,14.7262036500,0.0520,0.0265,2365.8911,15.4390,-8.1671801302660E-02
Y3NbO7_1101623_POSCAR,15.1352648625,0.0396,0.0199,2365.8913,15.4423,-7.1033825152578E-02
Y3NbO7_1101623_POSCAR,15.5443260750,0.0305,0.0151,2365.8915,15.4446,-6.1894113614081E-02
Y3NbO7_1101623_POSCAR,15.9533872875,0.0238,0.0117,2365.8916,15.4463,-5.4043753006387E-02
Y3NbO7_1101623_POSCAR,16.7715097125,0.0151,0.0072,2365.8917,15.4483,-4.1436672693314E-02
Y3NbO7_1101623_POSCAR,16.3624485000,0.0189,0.0091,2365.8917,15.4474,-4.7283175073525E-02
Y3NbO7_1101623_POSCAR,17.5896321375,0.0100,0.0047,2365.8918,15.4494,-3.1904290931367E-02
Y3NbO7_1101623_POSCAR,17.1805709250,0.0123,0.0058,2365.8917,15.4489,-3.6347926102821E-02
Y3NbO7_1101623_POSCAR,17.9986933500,0.0083,0.0038,2365.8918,15.4498,-2.8012743576988E-02
Y3NbO7_1101623_POSCAR,18.4077545625,0.0069,0.0032,2365.8918,15.4501,-2.4601586950417E-02
Y3NbO7_1101623_POSCAR,18.8168157750,0.0058,0.0026,2365.8918,15.4503,-2.1616088018393E-02
Y3NbO7_1101623_POSCAR,19.2258769875,0.0049,0.0022,2365.8918,15.4505,-1.8999475547427E-02
Y3NbO7_1101623_POSCAR,20.0439994125,0.0036,0.0016,2365.8918,15.4507,-1.4717713020065E-02
Y3NbO7_1101623_POSCAR,19.6349382000,0.0042,0.0019,2365.8918,15.4506,-1.6712005630801E-02
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261,0.0000000000,read,real,scaling,value,N/A
Y3NbO7_676261_POSCAR,7.3915934253,17.4655,4.0995,451.0845,10.3708,-2.0831632945220E-01
Y3NbO7_676261_POSCAR,6.9809493461,18.7924,4.2006,451.0845,10.3708,-2.4945460922733E-01
Y3NbO7_676261_POSCAR,6.1596611878,23.2353,4.8590,451.0845,10.3708,-3.7196908760092E-01
