source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575,0.0000000000,read,real,scaling,value,N/A
Nb2Zn3O8_18575_POSCAR,8.6170281032,15.5709,3.3178,428.8962,10.3708,-3.4707790257107E-01
Nb2Zn3O8_18575_POSCAR,9.1239121093,13.0247,3.0830,428.8962,10.3708,-3.0873556595053E-01
Nb2Zn3O8_18575_POSCAR,7.6032600911,21.8576,4.4494,428.8962,10.3708,-4.8372932517897E-01
Nb2Zn3O8_18575_POSCAR,8.1101440971,18.4128,3.7008,428.8962,10.3708,-4.0277707544393E-01
Nb2Zn3O8_18575_POSCAR,10.1376801214,9.2733,2.5481,428.8962,10.3713,-2.4686217195045E-01
Nb2Zn3O8_18575_POSCAR,9.6307961154,10.9216,2.8530,428.8962,10.3708,-2.7786068178471E-01
Nb2Zn3O8_18575_POSCAR,10.6445641275,7.9246,2.1701,428.8962,10.3808,-2.1488214594975E-01
Nb2Zn3O8_18575_POSCAR,11.1514481336,6.7601,1.7923,428.8962,10.5593,-1.8491329615128E-01
Nb2Zn3O8_18575_POSCAR,11.6583321397,5.7149,1.4826,428.8962,11.5869,-1.5930939339167E-01
Nb2Zn3O8_18575_POSCAR,12.1652161457,4.7254,1.2512,428.8962,12.4855,-1.4193535701527E-01
Nb2Zn3O8_18575_POSCAR,12.6721001518,3.7601,1.0680,428.9010,12.7552,-1.5510051323037E-01
Nb2Zn3O8_18575_POSCAR,13.1789841579,2.8551,0.8991,434.0543,12.8918,-1.4933898398875E-01
Nb2Zn3O8_18575_POSCAR,13.6858681639,2.0751,0.7274,571.0839,13.1601,-1.4307019347619E-01
Nb2Zn3O8_18575_POSCAR,14.1927521700,1.4568,0.5577,580.8586,13.7980,-1.2797188765158E-01
Nb2Zn3O8_18575_POSCAR,14.6996361761,0.9990,0.4061,893.3891,14.5850,-1.2926127424614E-01
Nb2Zn3O8_18575_POSCAR,15.2065201822,0.6771,0.2849,1464.9334,15.0602,-1.3449499494663E-01
Nb2Zn3O8_18575_POSCAR,15.7134041882,0.4586,0.1959,1474.9078,15.2659,-1.1911298077175E-01
Nb2Zn3O8_18575_POSCAR,16.2202881943,0.3130,0.1341,1475.2149,15.3538,-1.0549100811918E-01
Nb2Zn3O8_18575_POSCAR,17.2340562064,0.1519,0.0641,1475.2472,15.4165,-8.3069760155526E-02
Nb2Zn3O8_18575_POSCAR,16.7271722004,0.2164,0.0922,1475.2422,15.3950,-9.3583486142559E-02
Nb2Zn3O8_18575_POSCAR,17.7409402125,0.1085,0.0453,1475.2486,15.4286,-7.3695799819076E-02
Nb2Zn3O8_18575_POSCAR,18.2478242186,0.0789,0.0325,1475.2491,15.4358,-6.5306334570270E-02
Nb2Zn3O8_18575_POSCAR,19.2615922307,0.0438,0.0175,1475.2495,15.4435,-5.1114528769321E-02
Nb2Zn3O8_18575_POSCAR,18.7547082247,0.0583,0.0237,1475.2493,15.4404,-5.7803110763017E-02
Nb2Zn3O8_18575_POSCAR,19.7684762368,0.0334,0.0132,1475.2496,15.4455,-4.5180902112805E-02
Nb2Zn3O8_18575_POSCAR,20.7822442489,0.0202,0.0078,1475.2496,15.4480,-3.5308087996327E-02
Nb2Zn3O8_18575_POSCAR,20.2753602429,0.0258,0.0101,1475.2496,15.4470,-3.9934653103521E-02
Nb2Zn3O8_18575_POSCAR,21.2891282550,0.0160,0.0061,1475.2497,15.4488,-3.1226280392655E-02
Nb2Zn3O8_18575_POSCAR,22.8097802732,0.0086,0.0032,1475.2497,15.4501,-2.1616259119283E-02
Nb2Zn3O8_18575_POSCAR,22.3028962672,0.0104,0.0039,1475.2497,15.4497,-2.4436841748785E-02
Nb2Zn3O8_18575_POSCAR,21.7960122611,0.0129,0.0049,1475.2497,15.4493,-2.7622322563252E-02
Nb2Zn3O8_18575_POSCAR,23.3166642793,0.0071,0.0026,1475.2497,15.4503,-1.9123034754643E-02
Nb2Zn3O8_18575_POSCAR,24.3304322914,0.0050,0.0018,1475.2497,15.4507,-1.4969949575172E-02
Nb2Zn3O8_18575_POSCAR,24.8373162975,0.0042,0.0015,1475.2497,15.4508,-1.3251230904650E-02
Nb2Zn3O8_18575_POSCAR,23.8235482854,0.0059,0.0022,1475.2497,15.4505,-1.6918256891939E-02
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
Nb2Zn4O9_17808,0.0000000000,read,real,scaling,value,N/A
