source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442,0.0000000000,read,real,scaling,value,N/A
Nb6ZnS8_1220442_POSCAR,8.2273839370,14.1600,9.8809,428.8962,125.8109,-3.1382994640943E-01
Nb6ZnS8_1220442_POSCAR,8.7113476980,12.8147,8.0077,428.8962,125.8109,-2.6309181471357E-01
Nb6ZnS8_1220442_POSCAR,7.2594564150,20.2023,16.3368,428.8962,125.8109,-4.6558895275801E-01
Nb6ZnS8_1220442_POSCAR,7.7434201760,16.4376,12.8415,428.8962,125.8109,-3.8005800771930E-01
Nb6ZnS8_1220442_POSCAR,9.1953114590,11.7836,6.9747,428.8962,125.8109,-2.2162753619238E-01
Nb6ZnS8_1220442_POSCAR,9.6792752200,10.6903,6.3479,428.8962,125.8109,-1.8821819294021E-01
Nb6ZnS8_1220442_POSCAR,10.6472027420,8.0630,5.1163,428.8962,125.8109,-1.4623588589417E-01
