source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307,0.0000000000,read,real,scaling,value,N/A
Ni_RhO2_2_19307_POSCAR,3.9728252874,14.3007,4.7125,128.7820,10.3708,-2.7132616999990E-01
Ni_RhO2_2_19307_POSCAR,4.7673903449,5.5689,4.0026,139.7877,10.3708,-1.7586106242702E-01
Ni_RhO2_2_19307_POSCAR,4.2376803066,10.3489,4.3284,128.7862,10.3708,-2.2277304644353E-01
Ni_RhO2_2_19307_POSCAR,4.5025353257,7.3729,4.1423,130.3333,10.3708,-1.9322073569082E-01
Ni_RhO2_2_19307_POSCAR,5.0322453641,4.4350,3.8097,141.6330,10.3708,-1.5707827157975E-01
Ni_RhO2_2_19307_POSCAR,5.2971003832,3.4955,3.4749,178.3311,10.3708,-1.4512443748597E-01
Ni_RhO2_2_19307_POSCAR,5.5619554024,2.5669,2.9480,178.3311,10.3708,-1.2224468584090E-01
Ni_RhO2_2_19307_POSCAR,5.8268104216,1.7235,2.2759,178.3329,10.3751,-1.0319312116033E-01
Ni_RhO2_2_19307_POSCAR,6.0916654407,1.0831,1.5971,195.8023,11.0652,-9.2110884730510E-02
Ni_RhO2_2_19307_POSCAR,6.6213754790,0.4047,0.6542,574.2890,13.3806,-1.1416034162620E-01
Ni_RhO2_2_19307_POSCAR,6.3565204599,0.6617,1.0422,557.3229,12.7770,-1.2848254214702E-01
Ni_RhO2_2_19307_POSCAR,6.8862304982,0.2520,0.4068,574.6927,14.5816,-1.4408050026049E-01
Ni_RhO2_2_19307_POSCAR,7.1510855174,0.1610,0.2554,574.7298,15.1407,-1.3304621242384E-01
Ni_RhO2_2_19307_POSCAR,7.4159405365,0.1059,0.1634,574.7374,15.3167,-1.1507205207779E-01
Ni_RhO2_2_19307_POSCAR,7.6807955557,0.0715,0.1070,574.7398,15.3819,-1.0051015249204E-01
Ni_RhO2_2_19307_POSCAR,7.9456505749,0.0497,0.0718,574.7408,15.4111,-8.8899689235620E-02
Ni_RhO2_2_19307_POSCAR,8.2105055940,0.0353,0.0494,574.7413,15.4261,-7.9226592113945E-02
Ni_RhO2_2_19307_POSCAR,8.4753606132,0.0257,0.0347,574.7416,15.4346,-7.0596774452154E-02
