source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263,0.0000000000,read,real,scaling,value,N/A
Ti2NiS4_1025263_POSCAR,2.8006199191,13.0675,7.5052,321.5890,125.8109,-1.1236162783295E-01
Ti2NiS4_1025263_POSCAR,2.4711352227,16.7461,14.3358,321.5890,125.8109,-1.6579161066019E-01
Ti2NiS4_1025263_POSCAR,2.6358775709,14.5206,10.4392,321.5890,125.8109,-1.3556717907563E-01
Ti2NiS4_1025263_POSCAR,2.9653622673,11.6356,5.7830,321.5890,125.8109,-9.4576484437684E-02
Ti2NiS4_1025263_POSCAR,3.1301046155,10.0312,4.8675,321.5890,125.8109,-8.0555526774550E-02
Ti2NiS4_1025263_POSCAR,3.2948469636,8.4852,4.3286,321.5890,125.8109,-6.9634573679029E-02
Ti2NiS4_1025263_POSCAR,3.4595893118,7.1829,3.8932,321.5890,125.8109,-6.0940317478891E-02
Ti2NiS4_1025263_POSCAR,3.6243316600,6.0500,3.4115,321.5890,125.8109,-5.5418494732496E-02
Ti2NiS4_1025263_POSCAR,3.7890740082,4.9234,2.8325,321.5890,125.8110,-4.8750490247083E-02
Ti2NiS4_1025263_POSCAR,3.9538163564,3.7617,2.1904,321.5890,125.8306,-4.3141276490350E-02
Ti2NiS4_1025263_POSCAR,4.1185587046,2.6773,1.5741,303.0685,127.5782,-3.8628745792869E-02
Ti2NiS4_1025263_POSCAR,4.2833010527,1.8016,1.0672,302.0002,130.8577,-4.3300880597882E-02
Ti2NiS4_1025263_POSCAR,4.6127857491,0.7599,0.4535,1225.4178,132.7564,-6.2765834681244E-02
Ti2NiS4_1025263_POSCAR,4.7775280973,0.4946,0.2956,1358.7413,133.5009,-5.9803792906777E-02
Ti2NiS4_1025263_POSCAR,4.9422704455,0.3268,0.1954,1361.6453,133.7556,-5.4291017490142E-02
