source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164,0.0000000000,read,real,scaling,value,N/A
Zn2Ni11O13_1101164_POSCAR,2.5502880905,16.1114,5.9030,153.4528,10.3708,-3.1066788276905E-01
Zn2Ni11O13_1101164_POSCAR,2.2502541975,19.5286,6.5096,153.4528,10.3708,-4.7162925012254E-01
Zn2Ni11O13_1101164_POSCAR,2.7003050370,13.4998,5.4460,153.4528,10.3708,-2.5889141803162E-01
Zn2Ni11O13_1101164_POSCAR,2.4002711440,17.9597,6.1848,153.4528,10.3708,-3.7871033719064E-01
Zn2Ni11O13_1101164_POSCAR,2.8503219835,10.4761,4.6419,153.4528,10.3708,-2.1575631276547E-01
Zn2Ni11O13_1101164_POSCAR,3.0003389300,7.6422,3.5139,153.4528,10.3708,-1.8820643154823E-01
Zn2Ni11O13_1101164_POSCAR,3.1503558765,5.2546,2.3534,153.4528,10.3731,-1.8777523710926E-01
Zn2Ni11O13_1101164_POSCAR,3.3003728230,3.3965,1.4476,153.4528,11.7569,-1.7259150287489E-01
Zn2Ni11O13_1101164_POSCAR,3.4503897695,2.0966,0.8586,153.4528,12.9339,-1.6955382447057E-01
Zn2Ni11O13_1101164_POSCAR,3.9004406090,0.4820,0.1909,340.4040,15.2745,-3.4901325744230E-01
Zn2Ni11O13_1101164_POSCAR,3.7504236625,0.7750,0.3075,329.9874,14.9895,-3.7931950275264E-01
Zn2Ni11O13_1101164_POSCAR,3.6004067160,1.2711,0.5090,154.7700,14.0500,-3.5324878475518E-01
Zn2Ni11O13_1101164_POSCAR,4.0504575555,0.3077,0.1221,340.5135,15.3669,-3.1111071258878E-01
Zn2Ni11O13_1101164_POSCAR,4.5005083950,0.0943,0.0379,340.5210,15.4328,-2.1613639617960E-01
Zn2Ni11O13_1101164_POSCAR,4.3504914485,0.1362,0.0545,340.5208,15.4228,-2.4282569940562E-01
Zn2Ni11O13_1101164_POSCAR,4.2004745020,0.2019,0.0804,340.5198,15.4046,-2.7451694963525E-01
