source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750,0.0000000000,read,real,scaling,value,N/A
VOsO3_1187750_POSCAR,3.3253895500,17.0902,4.8025,269.3349,10.3708,-5.1760032101498E-02
VOsO3_1187750_POSCAR,3.1297784000,21.7370,5.6639,269.3349,10.3708,-6.4688581736578E-02
VOsO3_1187750_POSCAR,3.5210007000,11.7865,3.8378,269.3349,10.3708,-4.1948471315839E-02
VOsO3_1187750_POSCAR,2.9341672500,24.8734,6.3455,269.3349,10.3708,-7.9896930182231E-02
VOsO3_1187750_POSCAR,3.7166118500,7.2163,3.0521,269.3349,10.3708,-3.5234911237737E-02
VOsO3_1187750_POSCAR,3.9122230000,4.1062,2.5346,269.3349,10.3714,-3.0720207366053E-02
VOsO3_1187750_POSCAR,4.3034453000,1.2914,1.8894,293.2142,10.4615,-2.5473179640845E-02
VOsO3_1187750_POSCAR,4.1078341500,2.2872,2.1879,284.3606,10.3795,-2.7845629620168E-02
VOsO3_1187750_POSCAR,4.8902787500,0.2843,0.8546,1116.0601,12.9386,-4.0918847175756E-02
VOsO3_1187750_POSCAR,4.6946676000,0.4539,1.2012,1115.5849,12.5884,-4.4131034104050E-02
VOsO3_1187750_POSCAR,4.4990564500,0.7517,1.5626,1069.5913,11.2097,-4.5595595198749E-02
VOsO3_1187750_POSCAR,5.0858899000,0.1844,0.5735,1116.0901,13.7208,-3.7411144542067E-02
VOsO3_1187750_POSCAR,5.4771122000,0.0850,0.2411,1116.0966,15.1752,-3.4570594353229E-02
VOsO3_1187750_POSCAR,5.6727233500,0.0602,0.1570,1116.0972,15.3255,-3.0079633672508E-02
VOsO3_1187750_POSCAR,5.2815010500,0.1235,0.3732,1116.0951,14.7365,-3.3833626464617E-02
VOsO3_1187750_POSCAR,5.8683345000,0.0437,0.1039,1116.0974,15.3848,-2.6094685806228E-02
VOsO3_1187750_POSCAR,6.0639456500,0.0324,0.0701,1116.0976,15.4123,-2.2805982843228E-02
VOsO3_1187750_POSCAR,6.2595568000,0.0244,0.0483,1116.0977,15.4267,-2.0080058585612E-02
VOsO3_1187750_POSCAR,6.6507791000,0.0147,0.0245,1116.0978,15.4400,-1.5800788626654E-02
VOsO3_1187750_POSCAR,6.4551679500,0.0188,0.0341,1116.0977,15.4350,-1.7780300819956E-02
VOsO3_1187750_POSCAR,6.8463902500,0.0116,0.0180,1116.0978,15.4433,-1.4058506720698E-02
VOsO3_1187750_POSCAR,7.0420014000,0.0094,0.0134,1116.0978,15.4454,-1.2493344017764E-02
VOsO3_1187750_POSCAR,7.2376125500,0.0076,0.0102,1116.0978,15.4469,-1.1069366185718E-02
VOsO3_1187750_POSCAR,7.4332237000,0.0062,0.0079,1116.0979,15.4480,-9.7691365812842E-03
VOsO3_1187750_POSCAR,7.6288348500,0.0051,0.0062,1116.0979,15.4488,-8.5967544337237E-03
VOsO3_1187750_POSCAR,8.0200571500,0.0037,0.0039,1116.0979,15.4497,-6.6508819889776E-03
VOsO3_1187750_POSCAR,7.8244460000,0.0043,0.0049,1116.0979,15.4493,-7.5563094337177E-03
VOsO3_1187750_POSCAR,8.2156683000,0.0031,0.0032,1116.0979,15.4501,-5.8706878492731E-03
VOsO3_1187750_POSCAR,8.4112794500,0.0027,0.0026,1116.0979,15.4503,-5.1999527277056E-03
VOsO3_1187750_POSCAR,8.8025017500,0.0020,0.0018,1116.0979,15.4507,-4.1203254318297E-03
