source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296,0.0000000000,read,real,scaling,value,N/A
ZrOsO3_972296_POSCAR,3.5336772000,20.6073,5.1874,458.6896,10.3708,-4.9019653090151E-02
ZrOsO3_972296_POSCAR,2.9447310000,28.3610,6.5900,458.6896,10.3708,-9.2786777299993E-02
ZrOsO3_972296_POSCAR,3.3373618000,24.1530,5.7767,458.6896,10.3708,-6.1051256948487E-02
ZrOsO3_972296_POSCAR,3.1410464000,26.3670,6.1703,458.6896,10.3708,-7.5869616550010E-02
ZrOsO3_972296_POSCAR,3.7299926000,15.6338,4.3659,458.6896,10.3708,-4.0326430174919E-02
ZrOsO3_972296_POSCAR,3.9263080000,10.4448,3.5029,458.6896,10.3708,-3.4355343753261E-02
ZrOsO3_972296_POSCAR,4.3189388000,3.7014,2.2277,458.6900,10.3771,-2.7045606535219E-02
ZrOsO3_972296_POSCAR,4.1226234000,6.3547,2.7879,458.6896,10.3709,-3.0138392412015E-02
ZrOsO3_972296_POSCAR,5.1042004000,0.4859,0.5962,1821.7582,13.6157,-4.5013821283174E-02
ZrOsO3_972296_POSCAR,4.5152542000,2.1479,1.7417,568.6783,10.6426,-3.0798250213783E-02
ZrOsO3_972296_POSCAR,4.7115696000,1.2704,1.2911,576.3682,12.3802,-2.9865829635896E-02
ZrOsO3_972296_POSCAR,4.9078850000,0.7733,0.8987,1745.3091,12.8922,-4.6995773622115E-02
ZrOsO3_972296_POSCAR,5.3005158000,0.3150,0.3861,1822.6500,14.6789,-4.1677955888642E-02
ZrOsO3_972296_POSCAR,5.4968312000,0.2103,0.2494,1822.7046,15.1555,-4.3046271095056E-02
ZrOsO3_972296_POSCAR,5.6931466000,0.1444,0.1627,1822.7132,15.3176,-3.7896467290796E-02
ZrOsO3_972296_POSCAR,5.8894620000,0.1017,0.1081,1822.7156,15.3808,-3.2906313527963E-02
ZrOsO3_972296_POSCAR,6.0857774000,0.0734,0.0733,1822.7165,15.4099,-2.8646005961992E-02
ZrOsO3_972296_POSCAR,6.2820928000,0.0539,0.0508,1822.7169,15.4252,-2.5111380831374E-02
ZrOsO3_972296_POSCAR,6.6747236000,0.0309,0.0260,1822.7173,15.4393,-1.9654284115065E-02
ZrOsO3_972296_POSCAR,6.4784082000,0.0405,0.0360,1822.7171,15.4339,-2.2167317327874E-02
ZrOsO3_972296_POSCAR,6.8710390000,0.0239,0.0191,1822.7173,15.4427,-1.7442491483522E-02
ZrOsO3_972296_POSCAR,7.0673544000,0.0189,0.0144,1822.7174,15.4450,-1.5444986778293E-02
ZrOsO3_972296_POSCAR,7.2636698000,0.0150,0.0110,1822.7174,15.4466,-1.3623584457679E-02
ZrOsO3_972296_POSCAR,7.4599852000,0.0121,0.0085,1822.7175,15.4477,-1.1964250595864E-02
ZrOsO3_972296_POSCAR,7.6563006000,0.0098,0.0067,1822.7175,15.4485,-1.0475614631983E-02
ZrOsO3_972296_POSCAR,7.8526160000,0.0081,0.0053,1822.7175,15.4491,-9.1620167846923E-03
ZrOsO3_972296_POSCAR,8.2452468000,0.0057,0.0035,1822.7175,15.4499,-7.0451926525480E-03
ZrOsO3_972296_POSCAR,8.0489314000,0.0068,0.0043,1822.7175,15.4496,-8.0235087211999E-03
ZrOsO3_972296_POSCAR,8.4415622000,0.0048,0.0029,1822.7175,15.4502,-6.2059551345183E-03
ZrOsO3_972296_POSCAR,8.6378776000,0.0041,0.0024,1822.7175,15.4504,-5.4851338107454E-03
ZrOsO3_972296_POSCAR,9.0305084000,0.0030,0.0017,1822.7176,15.4507,-4.3149980656094E-03
ZrOsO3_972296_POSCAR,8.8341930000,0.0035,0.0020,1822.7176,15.4506,-4.8609392464366E-03
ZrOsO3_972296_POSCAR,9.2268238000,0.0026,0.0014,1822.7176,15.4508,-3.8347599290379E-03
ZrOsO3_972296_POSCAR,9.4231392000,0.0023,0.0012,1822.7176,15.4509,-3.4092902481423E-03
ZrOsO3_972296_POSCAR,9.6194546000,0.0020,0.0011,1822.7176,15.4510,-3.0306014682169E-03
