source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598,0.0000000000,read,real,scaling,value,N/A
YPd3S4_1207598_POSCAR,5.0042050650,22.5646,11.6859,451.0845,125.8109,-4.7240255689595E-01
YPd3S4_1207598_POSCAR,5.6714324070,17.7807,7.4729,451.0845,125.8109,-3.4424538973933E-01
YPd3S4_1207598_POSCAR,6.0050460780,14.8801,6.2755,451.0845,125.8109,-3.0483696409352E-01
YPd3S4_1207598_POSCAR,5.3378187360,20.1929,9.3292,451.0845,125.8109,-3.9581332885809E-01
YPd3S4_1207598_POSCAR,7.3395007620,6.1504,3.8086,451.0845,125.8109,-1.8704534526994E-01
YPd3S4_1207598_POSCAR,7.0058870910,7.9298,4.5192,451.0845,125.8109,-2.0951156553558E-01
YPd3S4_1207598_POSCAR,6.6722734200,9.7951,5.0623,451.0845,125.8109,-2.3955055686808E-01
YPd3S4_1207598_POSCAR,6.3386597490,12.0576,5.5693,451.0845,125.8109,-2.7070426601176E-01
YPd3S4_1207598_POSCAR,7.6731144330,4.4312,2.9499,451.0846,125.8109,-1.5852269612003E-01
YPd3S4_1207598_POSCAR,8.3403417750,1.8994,1.3914,1114.8703,129.3863,-1.3712833637346E-01
YPd3S4_1207598_POSCAR,8.0067281040,2.9697,2.0942,456.5376,125.8531,-1.3434122098479E-01
YPd3S4_1207598_POSCAR,8.6739554460,1.1944,0.8917,1157.8607,131.0782,-1.6268391743365E-01
YPd3S4_1207598_POSCAR,9.0075691170,0.7540,0.5660,2303.6510,132.0938,-1.8210578835267E-01
YPd3S4_1207598_POSCAR,10.0084101300,0.2129,0.1565,2365.8761,133.8183,-1.3334276249806E-01
YPd3S4_1207598_POSCAR,9.6747964590,0.3171,0.2355,2365.8115,133.6717,-1.4791449904409E-01
YPd3S4_1207598_POSCAR,9.3411827880,0.4838,0.3620,2364.8508,133.2382,-1.6393106207049E-01
YPd3S4_1207598_POSCAR,10.3420238010,0.1464,0.1063,2365.8866,133.8776,-1.1903111316515E-01
YPd3S4_1207598_POSCAR,10.6756374720,0.1030,0.0739,2365.8895,133.9060,-1.0487756445292E-01
YPd3S4_1207598_POSCAR,11.0092511430,0.0739,0.0524,2365.8905,133.9213,-9.1481836659832E-02
YPd3S4_1207598_POSCAR,11.3428648140,0.0541,0.0380,2365.8911,133.9304,-7.9458370752871E-02
YPd3S4_1207598_POSCAR,11.6764784850,0.0404,0.0280,2365.8913,133.9360,-6.9084454361996E-02
YPd3S4_1207598_POSCAR,12.0100921560,0.0306,0.0211,2365.8915,133.9397,-6.0285920641328E-02
