source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152,0.0000000000,read,real,scaling,value,N/A
Sc2Pt2O7_778152_POSCAR,4.8412680156,20.9461,4.6699,313.9846,10.3708,-3.8581361389050E-01
Sc2Pt2O7_778152_POSCAR,4.5386887646,22.9153,5.4635,313.9846,10.3708,-4.7108272816549E-01
Sc2Pt2O7_778152_POSCAR,5.4464265175,17.4997,4.1281,313.9846,10.3708,-2.6043695674047E-01
Sc2Pt2O7_778152_POSCAR,5.1438472665,19.4089,4.3166,313.9846,10.3708,-3.1421572545246E-01
Sc2Pt2O7_778152_POSCAR,5.7490057685,15.0684,3.9653,313.9846,10.3708,-2.2439553197314E-01
Sc2Pt2O7_778152_POSCAR,6.0515850194,12.3982,3.7268,313.9846,10.3708,-2.0126583230102E-01
Sc2Pt2O7_778152_POSCAR,6.3541642704,9.7925,3.3253,313.9846,10.3708,-1.8410946913608E-01
Sc2Pt2O7_778152_POSCAR,6.6567435214,7.4000,2.7327,313.9846,10.3709,-1.6655473183640E-01
