source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924,0.0000000000,read,real,scaling,value,N/A
Re2Rh2O5_1186924_POSCAR,2.9338368000,16.9265,5.8441,332.1448,10.3708,-1.6057333160119E-01
Re2Rh2O5_1186924_POSCAR,2.7504720000,19.5377,6.8035,332.1448,10.3708,-2.0409046102875E-01
Re2Rh2O5_1186924_POSCAR,3.1172016000,14.3681,4.8553,332.1448,10.3708,-1.2940072523562E-01
Re2Rh2O5_1186924_POSCAR,3.3005664000,12.1195,3.8421,332.1448,10.3708,-1.0826457801317E-01
Re2Rh2O5_1186924_POSCAR,3.4839312000,10.3692,3.0502,332.1448,10.3708,-9.4241042638847E-02
Re2Rh2O5_1186924_POSCAR,3.6672960000,8.9272,2.5439,332.1448,10.3713,-8.5529786619645E-02
Re2Rh2O5_1186924_POSCAR,3.8506608000,7.5831,2.2182,332.1448,10.3776,-8.3167615649952E-02
Re2Rh2O5_1186924_POSCAR,4.0340256000,6.2868,1.9510,332.1448,10.4271,-8.9140241006242E-02
Re2Rh2O5_1186924_POSCAR,4.5841200000,2.7613,0.9723,561.4338,12.8308,-1.0639502950360E-01
Re2Rh2O5_1186924_POSCAR,4.4007552000,3.8473,1.3212,561.4338,12.2859,-1.0003181739568E-01
Re2Rh2O5_1186924_POSCAR,4.2173904000,5.0417,1.6597,561.4338,10.8449,-1.0741672012188E-01
Re2Rh2O5_1186924_POSCAR,4.7674848000,1.8770,0.6695,561.4340,13.3277,-9.9709481392187E-02
Re2Rh2O5_1186924_POSCAR,4.9508496000,1.2337,0.4425,563.5328,14.4026,-9.1006204422915E-02
Re2Rh2O5_1186924_POSCAR,5.1342144000,0.8014,0.2880,782.0545,15.0511,-9.2004519845399E-02
Re2Rh2O5_1186924_POSCAR,5.3175792000,0.5228,0.1878,835.1421,15.2797,-8.2540766827105E-02
Re2Rh2O5_1186924_POSCAR,5.5009440000,0.3458,0.1240,836.2391,15.3648,-7.1574945147458E-02
Re2Rh2O5_1186924_POSCAR,5.8676736000,0.1603,0.0573,836.3247,15.4210,-5.4114991171039E-02
Re2Rh2O5_1186924_POSCAR,5.6843088000,0.2330,0.0835,836.3130,15.4022,-6.2085769010698E-02
Re2Rh2O5_1186924_POSCAR,6.0510384000,0.1125,0.0402,836.3279,15.4315,-4.7423603460734E-02
Re2Rh2O5_1186924_POSCAR,6.2344032000,0.0806,0.0287,836.3290,15.4378,-4.1711245358068E-02
Re2Rh2O5_1186924_POSCAR,6.6011328000,0.0437,0.0156,836.3298,15.4444,-3.2305734350878E-02
Re2Rh2O5_1186924_POSCAR,6.7844976000,0.0330,0.0118,836.3300,15.4462,-2.8335875057158E-02
Re2Rh2O5_1186924_POSCAR,6.9678624000,0.0253,0.0090,836.3301,15.4475,-2.4778846018672E-02
Re2Rh2O5_1186924_POSCAR,6.4177680000,0.0588,0.0210,836.3296,15.4418,-3.6730257756840E-02
Re2Rh2O5_1186924_POSCAR,7.1512272000,0.0197,0.0071,836.3302,15.4484,-2.1618436529286E-02
Re2Rh2O5_1186924_POSCAR,7.5179568000,0.0124,0.0045,836.3303,15.4495,-1.6449100110996E-02
Re2Rh2O5_1186924_POSCAR,7.3345920000,0.0156,0.0056,836.3302,15.4490,-1.8848798969728E-02
Re2Rh2O5_1186924_POSCAR,7.7013216000,0.0100,0.0036,836.3303,15.4499,-1.4388269281688E-02
Re2Rh2O5_1186924_POSCAR,7.8846864000,0.0082,0.0030,836.3303,15.4502,-1.2625679282818E-02
Re2Rh2O5_1186924_POSCAR,8.0680512000,0.0067,0.0025,836.3303,15.4504,-1.1114823091546E-02
Re2Rh2O5_1186924_POSCAR,8.4347808000,0.0047,0.0017,836.3303,15.4507,-8.6798276037725E-03
Re2Rh2O5_1186924_POSCAR,8.2514160000,0.0056,0.0020,836.3303,15.4506,-9.8123338849291E-03
Re2Rh2O5_1186924_POSCAR,8.8015104000,0.0034,0.0012,836.3304,15.4509,-6.8201277498894E-03
Re2Rh2O5_1186924_POSCAR,8.9848752000,0.0029,0.0011,836.3304,15.4510,-6.0508500522157E-03
Re2Rh2O5_1186924_POSCAR,8.6181456000,0.0040,0.0015,836.3303,15.4508,-7.6905772303067E-03
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014,0.0000000000,read,real,scaling,value,N/A
Re_RhO3_2_1209014_POSCAR,3.6457821280,15.5394,3.6261,332.1448,10.3708,-2.5370363389880E-01
Re_RhO3_2_1209014_POSCAR,3.4179207450,18.2792,4.3510,332.1448,10.3708,-3.1145810093966E-01
Re_RhO3_2_1209014_POSCAR,4.1015048940,10.7233,3.1436,332.1448,10.3708,-1.8201690071493E-01
Re_RhO3_2_1209014_POSCAR,3.8736435110,12.9894,3.3035,332.1448,10.3708,-2.1188627413121E-01
Re_RhO3_2_1209014_POSCAR,4.7850890430,6.8601,2.6890,332.1448,10.3710,-1.2976948076146E-01
Re_RhO3_2_1209014_POSCAR,4.3293662770,9.0084,3.0331,332.1448,10.3708,-1.6052129552383E-01
Re_RhO3_2_1209014_POSCAR,4.5572276600,7.7769,2.9018,332.1448,10.3708,-1.4416207555796E-01
Re_RhO3_2_1209014_POSCAR,5.0129504260,6.0757,2.3541,332.1448,10.3731,-1.1518174247484E-01
Re_RhO3_2_1209014_POSCAR,5.2408118090,5.2417,1.9115,561.4338,10.4473,-1.1490710640617E-01
Re_RhO3_2_1209014_POSCAR,5.4686731920,4.2670,1.4351,561.4338,11.8167,-1.0665770563444E-01
Re_RhO3_2_1209014_POSCAR,5.9243959580,2.2652,0.6731,561.4338,13.3159,-9.5893119233667E-02
Re_RhO3_2_1209014_POSCAR,5.6965345750,3.2204,1.0070,561.4338,12.8045,-1.0334129675134E-01
Re_RhO3_2_1209014_POSCAR,6.1522573410,1.5182,0.4380,561.4681,14.4259,-1.1321911509620E-01
Re_RhO3_2_1209014_POSCAR,6.3801187240,0.9945,0.2831,615.7636,15.0656,-1.0165950722853E-01
Re_RhO3_2_1209014_POSCAR,6.6079801070,0.6495,0.1842,829.0524,15.2855,-9.6010471922125E-02
Re_RhO3_2_1209014_POSCAR,6.8358414900,0.4281,0.1217,836.0286,15.3673,-8.5090088599601E-02
Re_RhO3_2_1209014_POSCAR,7.2915642560,0.1957,0.0564,836.3205,15.4216,-6.8348204020784E-02
Re_RhO3_2_1209014_POSCAR,7.0637028730,0.2867,0.0820,836.2919,15.4033,-7.6040275900571E-02
Re_RhO3_2_1209014_POSCAR,7.7472870220,0.0968,0.0284,836.3285,15.4380,-5.5198243469904E-02
Re_RhO3_2_1209014_POSCAR,7.5194256390,0.1362,0.0396,836.3266,15.4318,-6.1478603117385E-02
