source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_13191_POSCAR,5.1498067364,18.3533,4.2536,313.9846,10.3708,-1.8576413921135E-01
Sc6ReO12_13191_POSCAR,5.4527365444,16.4624,4.1283,313.9846,10.3708,-1.5514707872710E-01
Sc6ReO12_13191_POSCAR,4.8468769284,20.2116,4.5106,313.9846,10.3708,-2.2459385970629E-01
Sc6ReO12_13191_POSCAR,4.5439471203,22.7605,5.1030,313.9846,10.3708,-2.7474259312770E-01
Sc6ReO12_13191_POSCAR,5.7556663524,14.3669,4.0470,313.9846,10.3708,-1.3043222745666E-01
Sc6ReO12_13191_POSCAR,6.6644557765,7.9370,3.5268,313.9846,10.3708,-8.4899253958668E-02
Sc6ReO12_13191_POSCAR,6.0585961604,12.1570,3.9564,313.9846,10.3708,-1.1082997222449E-01
Sc6ReO12_13191_POSCAR,6.3615259685,9.9757,3.8034,313.9846,10.3708,-9.5925668512993E-02
Sc6ReO12_13191_POSCAR,7.8761750086,2.0875,1.2872,323.5956,12.3914,-6.5205440272784E-02
Sc6ReO12_13191_POSCAR,7.2703153925,4.4688,2.4911,313.9846,10.3716,-7.4796424713644E-02
Sc6ReO12_13191_POSCAR,7.5732452006,3.1182,1.8535,314.0058,10.4901,-6.9541795093177E-02
Sc6ReO12_13191_POSCAR,6.9673855845,6.0929,3.0824,313.9846,10.3708,-8.1246829722801E-02
Sc6ReO12_13191_POSCAR,8.1791048166,1.3641,0.8552,325.5677,12.9379,-5.9042617537673E-02
Sc6ReO12_13191_POSCAR,8.7849644326,0.5792,0.3625,1513.4599,14.7824,-1.3768628620727E-01
Sc6ReO12_13191_POSCAR,8.4820346246,0.8858,0.5571,1002.0732,13.8009,-1.1253497939618E-01
Sc6ReO12_13191_POSCAR,9.0878942407,0.3845,0.2383,1521.9693,15.1815,-1.2148000713642E-01
Sc6ReO12_13191_POSCAR,9.3908240487,0.2603,0.1592,1522.3894,15.3224,-1.0735461524821E-01
Sc6ReO12_13191_POSCAR,9.6937538567,0.1798,0.1085,1522.4440,15.3805,-9.5571655833292E-02
Sc6ReO12_13191_POSCAR,10.2996134728,0.0912,0.0534,1522.4613,15.4235,-7.6531141449191E-02
Sc6ReO12_13191_POSCAR,9.9966836647,0.1269,0.0754,1522.4569,15.4084,-8.5496228527876E-02
Sc6ReO12_13191_POSCAR,10.9054730888,0.0499,0.0283,1522.4642,15.4380,-6.0690303524061E-02
Sc6ReO12_13191_POSCAR,10.6025432808,0.0669,0.0386,1522.4632,15.4325,-6.8305366937652E-02
Sc6ReO12_13191_POSCAR,11.2084028968,0.0378,0.0212,1522.4648,15.4417,-5.3694029477946E-02
Sc6ReO12_13191_POSCAR,11.5113327048,0.0292,0.0161,1522.4651,15.4442,-4.7375223946168E-02
Sc6ReO12_13191_POSCAR,12.1171923209,0.0180,0.0097,1522.4655,15.4472,-3.6871343188580E-02
Sc6ReO12_13191_POSCAR,11.8142625129,0.0228,0.0124,1522.4653,15.4459,-4.1771896590825E-02
Sc6ReO12_13191_POSCAR,12.4201221289,0.0144,0.0077,1522.4656,15.4481,-3.2618417760754E-02
Sc6ReO12_13191_POSCAR,12.7230519369,0.0117,0.0061,1522.4657,15.4488,-2.8926152024032E-02
Sc6ReO12_13191_POSCAR,13.0259817450,0.0096,0.0050,1522.4657,15.4493,-2.5706953581549E-02
Sc6ReO12_13191_POSCAR,13.3289115530,0.0079,0.0041,1522.4658,15.4497,-2.2873612425638E-02
Sc6ReO12_13191_POSCAR,13.6318413610,0.0066,0.0034,1522.4658,15.4500,-2.0363129939202E-02
Sc6ReO12_13191_POSCAR,13.9347711690,0.0055,0.0028,1522.4658,15.4502,-1.8125016926151E-02
Sc6ReO12_13191_POSCAR,14.2377009770,0.0047,0.0023,1522.4659,15.4504,-1.6124501353770E-02
Sc6ReO12_13191_POSCAR,14.5406307851,0.0040,0.0020,1522.4659,15.4506,-1.4337217039601E-02
Sc6ReO12_13191_POSCAR,14.8435605931,0.0034,0.0017,1522.4659,15.4507,-1.2742116250433E-02
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399,0.0000000000,read,real,scaling,value,N/A
Sc6ReO12_987399_POSCAR,4.3152896000,17.1896,4.3205,313.9846,10.3708,-1.8272154507421E-01
Sc6ReO12_987399_POSCAR,4.0455840000,20.6191,4.9933,313.9846,10.3708,-2.2073862842145E-01
Sc6ReO12_987399_POSCAR,4.8547008000,11.7624,3.4976,313.9846,10.3708,-1.2832441792678E-01
Sc6ReO12_987399_POSCAR,4.5849952000,14.2793,3.8621,313.9846,10.3708,-1.5248819047649E-01
Sc6ReO12_987399_POSCAR,5.1244064000,9.6862,3.2077,313.9846,10.3708,-1.0905251523803E-01
Sc6ReO12_987399_POSCAR,5.6638176000,6.4897,2.6307,313.9846,10.3711,-8.6943189918500E-02
Sc6ReO12_987399_POSCAR,5.3941120000,7.9814,2.9419,313.9846,10.3708,-9.3675829221392E-02
Sc6ReO12_987399_POSCAR,5.9335232000,5.1291,2.2521,313.9846,10.3760,-7.6375455571138E-02
Sc6ReO12_987399_POSCAR,6.4729344000,2.9373,1.5003,314.0793,11.5007,-6.1129646780964E-02
Sc6ReO12_987399_POSCAR,6.2032288000,3.9266,1.8548,313.9846,10.4889,-6.7967355766779E-02
Sc6ReO12_987399_POSCAR,6.7426400000,2.1673,1.2050,322.8728,12.5817,-5.5541529593317E-02
Sc6ReO12_987399_POSCAR,7.0123456000,1.5796,0.9513,324.5349,12.8471,-5.0522713733404E-02
Sc6ReO12_987399_POSCAR,7.2820512000,1.1309,0.7249,358.4506,13.1666,-5.2189896090918E-02
Sc6ReO12_987399_POSCAR,7.5517568000,0.7918,0.5283,1337.3675,13.9481,-8.1078800948807E-02
Sc6ReO12_987399_POSCAR,7.8214624000,0.5440,0.3706,1517.1210,14.7480,-9.1383519170285E-02
Sc6ReO12_987399_POSCAR,8.0911680000,0.3703,0.2538,1522.0647,15.1446,-9.4055765870093E-02
Sc6ReO12_987399_POSCAR,8.3608736000,0.2523,0.1724,1522.3981,15.3038,-8.4226836093523E-02
Sc6ReO12_987399_POSCAR,8.6305792000,0.1735,0.1175,1522.4461,15.3717,-7.4936826809416E-02
Sc6ReO12_987399_POSCAR,8.9002848000,0.1210,0.0809,1522.4578,15.4042,-6.6532579982561E-02
Sc6ReO12_987399_POSCAR,9.1699904000,0.0858,0.0565,1522.4618,15.4216,-5.9005843305673E-02
Sc6ReO12_987399_POSCAR,9.4396960000,0.0620,0.0401,1522.4635,15.4316,-5.2329263335331E-02
Sc6ReO12_987399_POSCAR,9.7094016000,0.0455,0.0290,1522.4644,15.4377,-4.6438143708479E-02
Sc6ReO12_987399_POSCAR,10.2488128000,0.0259,0.0159,1522.4652,15.4443,-3.6658012556346E-02
Sc6ReO12_987399_POSCAR,9.9791072000,0.0340,0.0213,1522.4649,15.4416,-4.1248645035085E-02
Sc6ReO12_987399_POSCAR,10.5185184000,0.0199,0.0121,1522.4654,15.4461,-3.2574995706251E-02
Sc6ReO12_987399_POSCAR,10.7882240000,0.0156,0.0093,1522.4656,15.4474,-2.8922674138552E-02
Sc6ReO12_987399_POSCAR,11.3276352000,0.0099,0.0057,1522.4657,15.4490,-2.2732993711216E-02
Sc6ReO12_987399_POSCAR,11.0579296000,0.0123,0.0072,1522.4657,15.4483,-2.5654015387195E-02
Sc6ReO12_987399_POSCAR,11.5973408000,0.0080,0.0046,1522.4658,15.4495,-2.0136679217945E-02
Sc6ReO12_987399_POSCAR,11.8670464000,0.0066,0.0037,1522.4658,15.4498,-1.7840619117898E-02
Sc6ReO12_987399_POSCAR,12.1367520000,0.0054,0.0030,1522.4658,15.4501,-1.5816843805008E-02
Sc6ReO12_987399_POSCAR,12.6761632000,0.0038,0.0021,1522.4659,15.4505,-1.2476233737963E-02
Sc6ReO12_987399_POSCAR,12.4064576000,0.0045,0.0025,1522.4659,15.4504,-1.4038820309362E-02
Sc6ReO12_987399_POSCAR,12.9458688000,0.0032,0.0017,1522.4659,15.4507,-1.1100052066372E-02
Sc6ReO12_987399_POSCAR,13.2155744000,0.0028,0.0015,1522.4659,15.4508,-9.8841912337319E-03
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610,0.0000000000,read,real,scaling,value,N/A
Sc_ReO3_2_558610_POSCAR,3.8671210560,18.4704,3.6423,313.9846,10.3708,-2.1209419023084E-01
Sc_ReO3_2_558610_POSCAR,3.6254259900,22.0480,4.3402,313.9846,10.3708,-2.5105364389402E-01
Sc_ReO3_2_558610_POSCAR,4.3505111880,13.5840,3.1612,313.9846,10.3708,-1.5142301346665E-01
Sc_ReO3_2_558610_POSCAR,4.1088161220,15.8928,3.3173,313.9846,10.3708,-1.7923376562845E-01
Sc_ReO3_2_558610_POSCAR,4.5922062540,11.4249,3.0722,313.9846,10.3708,-1.2883478988912E-01
Sc_ReO3_2_558610_POSCAR,5.3172914520,6.7088,2.6769,313.9846,10.3710,-8.5115703199852E-02
Sc_ReO3_2_558610_POSCAR,5.0755963860,8.0481,2.8784,313.9846,10.3708,-9.6529428224827E-02
Sc_ReO3_2_558610_POSCAR,4.8339013200,9.5760,2.9935,313.9846,10.3708,-1.1081333469641E-01
Sc_ReO3_2_558610_POSCAR,5.5589865180,5.4212,2.3485,313.9846,10.3732,-9.6375790996042E-02
Sc_ReO3_2_558610_POSCAR,6.2840717160,2.0084,0.9756,324.0137,12.8283,-6.8912452092107E-02
Sc_ReO3_2_558610_POSCAR,5.8006815840,4.1440,1.9014,313.9846,10.4535,-8.6097129027324E-02
Sc_ReO3_2_558610_POSCAR,6.0423766500,2.9657,1.4116,314.0595,11.9255,-7.8442609695144E-02
Sc_ReO3_2_558610_POSCAR,6.7674618480,0.8542,0.4188,1138.1937,14.5233,-7.8802672790489E-02
Sc_ReO3_2_558610_POSCAR,6.5257667820,1.3166,0.6450,326.6627,13.4144,-6.0744592921904E-02
Sc_ReO3_2_558610_POSCAR,7.0091569140,0.5571,0.2720,1515.9770,15.0969,-8.2641492339408E-02
Sc_ReO3_2_558610_POSCAR,7.2508519800,0.3686,0.1788,1522.0745,15.2941,-7.3991286148965E-02
Sc_ReO3_2_558610_POSCAR,7.4925470460,0.2486,0.1195,1522.4019,15.3695,-6.6759814606700E-02
Sc_ReO3_2_558610_POSCAR,7.7342421120,0.1711,0.0815,1522.4469,15.4037,-6.0951444060208E-02
Sc_ReO3_2_558610_POSCAR,8.2176322440,0.0863,0.0403,1522.4617,15.4315,-5.2230543197369E-02
Sc_ReO3_2_558610_POSCAR,7.9759371780,0.1203,0.0567,1522.4579,15.4214,-5.6249883657184E-02
Sc_ReO3_2_558610_POSCAR,8.4593273100,0.0631,0.0291,1522.4635,15.4376,-4.8470787213661E-02
Sc_ReO3_2_558610_POSCAR,8.7010223760,0.0469,0.0215,1522.4643,15.4416,-4.4695095592725E-02
Sc_ReO3_2_558610_POSCAR,8.9427174420,0.0355,0.0161,1522.4649,15.4442,-4.0823539335950E-02
Sc_ReO3_2_558610_POSCAR,9.1844125080,0.0273,0.0122,1522.4652,15.4460,-3.6949502158771E-02
Sc_ReO3_2_558610_POSCAR,9.4261075740,0.0213,0.0095,1522.4654,15.4473,-3.3226552161578E-02
Sc_ReO3_2_558610_POSCAR,9.9094977060,0.0134,0.0059,1522.4656,15.4489,-2.6707172663192E-02
Sc_ReO3_2_558610_POSCAR,9.6678026400,0.0168,0.0074,1522.4655,15.4482,-2.9788976566641E-02
Sc_ReO3_2_558610_POSCAR,10.1511927720,0.0108,0.0047,1522.4657,15.4494,-2.3987591422046E-02
Sc_ReO3_2_558610_POSCAR,10.3928878380,0.0088,0.0038,1522.4658,15.4498,-2.1590258417491E-02
Sc_ReO3_2_558610_POSCAR,10.8762779700,0.0061,0.0026,1522.4658,15.4503,-1.7542920429223E-02
Sc_ReO3_2_558610_POSCAR,10.6345829040,0.0073,0.0031,1522.4658,15.4501,-1.9460035795560E-02
Sc_ReO3_2_558610_POSCAR,11.1179730360,0.0051,0.0022,1522.4659,15.4505,-1.5800820179430E-02
Sc_ReO3_2_558610_POSCAR,11.3596681020,0.0043,0.0018,1522.4659,15.4507,-1.4207592769762E-02
Sc_ReO3_2_558610_POSCAR,11.8430582340,0.0032,0.0013,1522.4659,15.4509,-1.1417049684428E-02
Sc_ReO3_2_558610_POSCAR,11.6013631680,0.0037,0.0016,1522.4659,15.4508,-1.2749032902623E-02
