source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512,0.0000000000,read,real,scaling,value,N/A
RuRhS4_1219512_POSCAR,4.5652320000,12.5772,12.4462,239.0071,125.8109,-2.5804271887939E-01
RuRhS4_1219512_POSCAR,4.2799050000,17.5902,16.2956,239.0071,125.8109,-3.2030742504352E-01
RuRhS4_1219512_POSCAR,4.8505590000,9.3570,9.0083,239.0071,125.8109,-2.1475473292240E-01
RuRhS4_1219512_POSCAR,5.1358860000,7.6647,6.6890,239.0071,125.8109,-1.8571905938914E-01
RuRhS4_1219512_POSCAR,5.4212130000,6.8027,5.3646,239.0071,125.8109,-1.6459520022932E-01
RuRhS4_1219512_POSCAR,5.9918670000,5.8079,4.0590,239.0071,125.8109,-1.2719735309126E-01
RuRhS4_1219512_POSCAR,6.2771940000,5.1877,3.4987,379.2609,125.8109,-1.2206302620169E-01
RuRhS4_1219512_POSCAR,5.7065400000,6.2819,4.6064,239.0071,125.8109,-1.4577753663510E-01
RuRhS4_1219512_POSCAR,6.5625210000,4.3340,2.8338,379.2655,125.8110,-1.0413126082558E-01
RuRhS4_1219512_POSCAR,6.8478480000,3.3212,2.1136,379.2655,125.8471,-8.9344456442967E-02
RuRhS4_1219512_POSCAR,7.1331750000,2.3441,1.4615,379.2655,128.7103,-8.3561518255262E-02
RuRhS4_1219512_POSCAR,7.4185020000,1.5608,0.9612,379.2804,130.9951,-7.4509062724286E-02
RuRhS4_1219512_POSCAR,7.7038290000,1.0096,0.6185,422.9284,131.8196,-8.0337252514187E-02
RuRhS4_1219512_POSCAR,7.9891560000,0.6494,0.3978,594.2249,133.0641,-8.0945336041303E-02
RuRhS4_1219512_POSCAR,8.5598100000,0.2780,0.1718,598.1826,133.7956,-7.0386715438203E-02
RuRhS4_1219512_POSCAR,8.2744830000,0.4214,0.2590,598.0624,133.6120,-7.5331794153318E-02
RuRhS4_1219512_POSCAR,8.8451370000,0.1872,0.1164,598.1946,133.8673,-6.5402315568671E-02
RuRhS4_1219512_POSCAR,9.1304640000,0.1287,0.0806,598.1970,133.9006,-5.9929607930212E-02
RuRhS4_1219512_POSCAR,9.7011180000,0.0648,0.0412,598.1981,133.9284,-4.8102952249561E-02
