source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111,0.0000000000,read,real,scaling,value,N/A
TaRhO4_1173111_POSCAR,3.5230904775,21.1977,4.0751,458.7677,10.3708,-1.0305052262000E-01
TaRhO4_1173111_POSCAR,4.2277085730,12.1198,3.1176,458.7677,10.3708,-6.1097461644361E-02
TaRhO4_1173111_POSCAR,3.7579631760,17.5351,3.4971,458.7677,10.3708,-8.4398026697028E-02
TaRhO4_1173111_POSCAR,3.9928358745,14.6191,3.2442,458.7677,10.3708,-7.0830037437003E-02
TaRhO4_1173111_POSCAR,4.4625812715,10.2434,3.0288,458.7677,10.3708,-5.4303515896262E-02
TaRhO4_1173111_POSCAR,5.1671993670,7.1185,2.5125,458.7677,10.3715,-3.9268884318158E-02
TaRhO4_1173111_POSCAR,4.6974539700,8.9654,2.9243,458.7677,10.3708,-4.9219896659886E-02
TaRhO4_1173111_POSCAR,4.9323266685,8.0037,2.7610,458.7677,10.3709,-4.4474083649286E-02
TaRhO4_1173111_POSCAR,5.4020720655,6.1896,2.1803,458.7677,10.3800,-3.3830302926298E-02
TaRhO4_1173111_POSCAR,5.6369447640,5.1629,1.7881,458.7677,10.5652,-3.2459865587835E-02
TaRhO4_1173111_POSCAR,5.8718174625,4.0548,1.3733,458.7684,12.0913,-2.8537896406365E-02
TaRhO4_1173111_POSCAR,6.1066901610,2.9778,0.9875,461.2703,12.8193,-3.1698991807586E-02
TaRhO4_1173111_POSCAR,6.8113082565,0.9139,0.2932,1003.4775,15.0350,-2.9844947894643E-02
TaRhO4_1173111_POSCAR,7.0461809550,0.6044,0.1934,1161.9437,15.2702,-2.8058063228102E-02
TaRhO4_1173111_POSCAR,6.3415628595,2.0664,0.6742,645.7235,13.3123,-3.2461497767490E-02
TaRhO4_1173111_POSCAR,6.5764355580,1.3841,0.4468,660.3686,14.3808,-2.8966075479824E-02
TaRhO4_1173111_POSCAR,7.2810536535,0.4041,0.1292,1163.7406,15.3592,-2.5053087461431E-02
TaRhO4_1173111_POSCAR,7.7507990505,0.1901,0.0609,1163.8211,15.4186,-2.0082360120176E-02
TaRhO4_1173111_POSCAR,7.9856717490,0.1341,0.0430,1163.8229,15.4299,-1.8027022412877E-02
TaRhO4_1173111_POSCAR,7.5159263520,0.2747,0.0879,1163.8130,15.3986,-2.2412892553690E-02
TaRhO4_1173111_POSCAR,8.2205444475,0.0964,0.0310,1163.8234,15.4366,-1.6212256820530E-02
TaRhO4_1173111_POSCAR,8.4554171460,0.0706,0.0227,1163.8236,15.4409,-1.4595569707584E-02
TaRhO4_1173111_POSCAR,8.6902898445,0.0525,0.0169,1163.8237,15.4438,-1.3130274179026E-02
TaRhO4_1173111_POSCAR,8.9251625430,0.0397,0.0128,1163.8238,15.4457,-1.1788000857982E-02
TaRhO4_1173111_POSCAR,9.1600352415,0.0305,0.0099,1163.8239,15.4471,-1.0555289359540E-02
TaRhO4_1173111_POSCAR,9.3949079400,0.0237,0.0077,1163.8239,15.4481,-9.4309753004695E-03
TaRhO4_1173111_POSCAR,9.6297806385,0.0187,0.0061,1163.8239,15.4488,-8.4156269202030E-03
TaRhO4_1173111_POSCAR,9.8646533370,0.0149,0.0049,1163.8239,15.4493,-7.5063245505251E-03
TaRhO4_1173111_POSCAR,10.3343987340,0.0098,0.0032,1163.8239,15.4500,-5.9757623183396E-03
TaRhO4_1173111_POSCAR,10.0995260355,0.0120,0.0040,1163.8239,15.4497,-6.6964943229593E-03
TaRhO4_1173111_POSCAR,10.5692714325,0.0080,0.0027,1163.8239,15.4503,-5.3334915436223E-03
TaRhO4_1173111_POSCAR,11.0390168295,0.0056,0.0019,1163.8239,15.4506,-4.2461263894527E-03
TaRhO4_1173111_POSCAR,10.8041441310,0.0067,0.0022,1163.8239,15.4505,-4.7598799186344E-03
TaRhO4_1173111_POSCAR,11.2738895280,0.0047,0.0016,1163.8239,15.4508,-3.7848837869513E-03
TaRhO4_1173111_POSCAR,11.5087622265,0.0040,0.0013,1163.8239,15.4509,-3.3720959014924E-03
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402,0.0000000000,read,real,scaling,value,N/A
TaRhO4_760402_POSCAR,4.0266344284,20.9168,4.9059,458.7677,10.3708,-2.1265505061810E-01
TaRhO4_760402_POSCAR,4.5635190188,15.3290,3.4453,458.7677,10.3708,-1.5062096233672E-01
TaRhO4_760402_POSCAR,4.2950767236,17.6821,3.9230,458.7677,10.3708,-1.7799778359568E-01
TaRhO4_760402_POSCAR,4.8319613141,13.1616,3.2098,458.7677,10.3708,-1.2809629345472E-01
TaRhO4_760402_POSCAR,5.1004036093,11.1658,3.0616,458.7677,10.3708,-1.1055069740056E-01
TaRhO4_760402_POSCAR,5.3688459045,9.5138,2.9092,458.7677,10.3708,-9.7114244776817E-02
TaRhO4_760402_POSCAR,5.6372881997,8.2214,2.6894,458.7677,10.3710,-8.5792172534649E-02
TaRhO4_760402_POSCAR,5.9057304950,7.1750,2.3739,458.7677,10.3728,-7.5304399364652E-02
TaRhO4_760402_POSCAR,6.1741727902,6.2329,1.9899,458.7677,10.4124,-6.5760482088242E-02
