source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629,0.0000000000,read,real,scaling,value,N/A
YRhO3_1207629_POSCAR,4.7040996510,21.0833,5.0667,451.0845,10.3708,-2.3595041222696E-01
YRhO3_1207629_POSCAR,3.9200830425,30.9682,6.3659,451.0845,10.3708,-4.2180555556259E-01
YRhO3_1207629_POSCAR,4.1814219120,26.7802,5.6617,451.0845,10.3708,-3.3723651468632E-01
YRhO3_1207629_POSCAR,4.4427607815,23.6967,5.3004,451.0845,10.3708,-2.7758801175995E-01
YRhO3_1207629_POSCAR,5.2267773900,15.6281,4.4224,451.0845,10.3708,-1.8374118963122E-01
YRhO3_1207629_POSCAR,4.9654385205,18.4606,4.8110,451.0845,10.3708,-2.0640897875479E-01
YRhO3_1207629_POSCAR,5.4881162595,12.6590,3.8456,451.0845,10.3708,-1.6543318098785E-01
YRhO3_1207629_POSCAR,5.7494551290,9.7901,3.1139,451.0845,10.3708,-1.5101748317904E-01
YRhO3_1207629_POSCAR,6.5334717375,3.5176,1.1036,451.1609,12.7213,-1.3571079957251E-01
YRhO3_1207629_POSCAR,6.0107939985,7.2479,2.3398,451.0845,10.3734,-1.3934377980802E-01
YRhO3_1207629_POSCAR,6.2721328680,5.1494,1.6470,451.0845,10.8847,-1.2914182900423E-01
YRhO3_1207629_POSCAR,6.7948106070,2.3274,0.7170,837.4940,13.1868,-1.5792120954829E-01
YRhO3_1207629_POSCAR,7.0561494765,1.5130,0.4600,1131.6208,14.3114,-2.1358069056033E-01
YRhO3_1207629_POSCAR,7.3174883460,0.9815,0.2960,1577.4196,15.0264,-2.2105244708781E-01
YRhO3_1207629_POSCAR,7.5788272155,0.6428,0.1930,2354.0847,15.2709,-2.3303849512392E-01
YRhO3_1207629_POSCAR,7.8401660850,0.4281,0.1283,2365.4488,15.3603,-2.0331109818997E-01
YRhO3_1207629_POSCAR,8.1015049545,0.2909,0.0871,2365.8383,15.3993,-1.7762221777179E-01
YRhO3_1207629_POSCAR,8.6241826935,0.1430,0.0428,2365.8869,15.4300,-1.3528823917429E-01
YRhO3_1207629_POSCAR,8.3628438240,0.2019,0.0604,2365.8786,15.4190,-1.5523187853302E-01
YRhO3_1207629_POSCAR,8.8855215630,0.1033,0.0309,2365.8894,15.4366,-1.1745646032098E-01
YRhO3_1207629_POSCAR,9.1468604325,0.0761,0.0228,2365.8905,15.4409,-1.0167210641408E-01
YRhO3_1207629_POSCAR,9.4081993020,0.0570,0.0171,2365.8910,15.4437,-8.7921480984475E-02
YRhO3_1207629_POSCAR,9.6695381715,0.0434,0.0130,2365.8913,15.4456,-7.6111016820690E-02
YRhO3_1207629_POSCAR,9.9308770410,0.0335,0.0101,2365.8914,15.4470,-6.6049407435883E-02
YRhO3_1207629_POSCAR,10.1922159105,0.0263,0.0079,2365.8916,15.4480,-5.7482541893813E-02
YRhO3_1207629_POSCAR,10.4535547800,0.0209,0.0063,2365.8916,15.4487,-5.0152358023283E-02
YRhO3_1207629_POSCAR,10.7148936495,0.0167,0.0051,2365.8917,15.4492,-4.3833096730869E-02
YRhO3_1207629_POSCAR,10.9762325190,0.0136,0.0041,2365.8917,15.4497,-3.8351275117722E-02
YRhO3_1207629_POSCAR,11.2375713885,0.0111,0.0034,2365.8918,15.4500,-3.3569810657842E-02
YRhO3_1207629_POSCAR,11.4989102580,0.0092,0.0028,2365.8918,15.4502,-2.9389602724933E-02
YRhO3_1207629_POSCAR,11.7602491275,0.0077,0.0024,2365.8918,15.4504,-2.5736059332503E-02
YRhO3_1207629_POSCAR,12.0215879970,0.0065,0.0020,2365.8918,15.4506,-2.2548797978187E-02
YRhO3_1207629_POSCAR,12.2829268665,0.0055,0.0017,2365.8918,15.4507,-1.9771288974004E-02
YRhO3_1207629_POSCAR,12.5442657360,0.0047,0.0015,2365.8918,15.4508,-1.7356339715566E-02
YRhO3_1207629_POSCAR,12.8056046055,0.0040,0.0013,2365.8918,15.4509,-1.5258071922548E-02
