source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880,0.0000000000,read,real,scaling,value,N/A
ZnRhO3_1016880_POSCAR,2.9184682500,20.9671,5.9584,153.4528,10.3708,-8.6550697006165E-02
ZnRhO3_1016880_POSCAR,3.1130328000,16.2499,4.8995,153.4528,10.3708,-7.0369623026506E-02
ZnRhO3_1016880_POSCAR,3.3075973500,10.9595,3.8210,153.4528,10.3708,-6.0823681653822E-02
ZnRhO3_1016880_POSCAR,3.5021619000,6.4800,3.0037,153.4528,10.3708,-5.6381903008525E-02
ZnRhO3_1016880_POSCAR,3.8912910000,1.9087,2.2174,153.4529,10.3777,-5.0499987082977E-02
ZnRhO3_1016880_POSCAR,3.6967264500,3.5469,2.5107,153.4528,10.3715,-5.3959849802800E-02
ZnRhO3_1016880_POSCAR,4.2804201000,0.5980,1.7423,339.8116,10.6415,-5.2709504249311E-02
ZnRhO3_1016880_POSCAR,4.0858555500,1.0488,1.9916,188.1879,10.4118,-4.8498014334500E-02
ZnRhO3_1016880_POSCAR,4.6695492000,0.2201,1.0777,340.5193,12.7465,-3.9085982008192E-02
ZnRhO3_1016880_POSCAR,4.4749846500,0.3554,1.4295,340.5049,11.8431,-4.5685141400553E-02
ZnRhO3_1016880_POSCAR,4.8641137500,0.1415,0.7509,340.5207,13.1059,-3.6123070173620E-02
ZnRhO3_1016880_POSCAR,5.0586783000,0.0942,0.4959,340.5210,14.1196,-3.1557085997096E-02
ZnRhO3_1016880_POSCAR,5.4478074000,0.0456,0.2055,340.5212,15.2488,-3.0372616748530E-02
ZnRhO3_1016880_POSCAR,5.2532428500,0.0647,0.3196,340.5211,14.9480,-3.0815220240037E-02
ZnRhO3_1016880_POSCAR,5.8369365000,0.0245,0.0885,340.5212,15.3981,-2.2355146765749E-02
ZnRhO3_1016880_POSCAR,5.6423719500,0.0330,0.1336,340.5212,15.3543,-2.5936462924170E-02
ZnRhO3_1016880_POSCAR,6.0315010500,0.0186,0.0598,340.5212,15.4194,-1.9511395914901E-02
ZnRhO3_1016880_POSCAR,6.2260656000,0.0143,0.0414,340.5212,15.4308,-1.7211036961012E-02
ZnRhO3_1016880_POSCAR,6.4206301500,0.0111,0.0292,340.5212,15.4376,-1.5263347636583E-02
ZnRhO3_1016880_POSCAR,6.6151947000,0.0088,0.0211,340.5212,15.4417,-1.3531066819410E-02
ZnRhO3_1016880_POSCAR,7.0043238000,0.0058,0.0116,340.5212,15.4463,-1.0503176097441E-02
ZnRhO3_1016880_POSCAR,6.8097592500,0.0071,0.0155,340.5212,15.4445,-1.1946122270603E-02
ZnRhO3_1016880_POSCAR,7.3934529000,0.0040,0.0069,340.5212,15.4485,-8.1063130499884E-03
ZnRhO3_1016880_POSCAR,7.1988883500,0.0048,0.0088,340.5212,15.4476,-9.2205475714929E-03
ZnRhO3_1016880_POSCAR,7.5880174500,0.0033,0.0054,340.5212,15.4491,-7.1542037470895E-03
