source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341,0.0000000000,read,real,scaling,value,N/A
Sc3TaO7_674341_POSCAR,6.9741119970,17.4176,4.1256,313.9846,10.3708,-1.9146925291312E-01
Sc3TaO7_674341_POSCAR,6.1992106640,20.7208,4.9356,313.9846,10.3708,-2.7585188373204E-01
Sc3TaO7_674341_POSCAR,6.5866613305,19.1409,4.4201,313.9846,10.3708,-2.2922977185297E-01
Sc3TaO7_674341_POSCAR,5.8117599975,23.1744,6.0302,313.9846,10.3708,-3.3631089734727E-01
Sc3TaO7_674341_POSCAR,7.7490133300,12.1868,3.5896,313.9846,10.3708,-1.3405225779956E-01
