source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_753802_POSCAR,4.6341483890,15.0220,3.2424,313.9846,10.3708,-1.0042623651538E-01
Sc2Ti2O7_753802_POSCAR,4.0889544609,18.7000,4.0555,313.9846,10.3708,-1.4220351105721E-01
Sc2Ti2O7_753802_POSCAR,4.9067453531,13.6289,3.1244,313.9846,10.3708,-8.4190707566771E-02
Sc2Ti2O7_753802_POSCAR,4.3615514250,16.4633,3.4908,313.9846,10.3708,-1.1939002470769E-01
Sc2Ti2O7_753802_POSCAR,5.1793423172,12.0782,3.0554,313.9846,10.3708,-7.0682010745692E-02
Sc2Ti2O7_753802_POSCAR,5.7245362453,8.7507,2.8978,313.9846,10.3708,-5.1668299001052E-02
Sc2Ti2O7_753802_POSCAR,5.9971332093,7.1463,2.7355,313.9846,10.3709,-4.5394062994059E-02
Sc2Ti2O7_753802_POSCAR,5.4519392812,10.4241,2.9919,313.9846,10.3708,-5.9921681630332E-02
Sc2Ti2O7_753802_POSCAR,6.2697301734,5.6404,2.4759,313.9846,10.3717,-4.0390719093801E-02
Sc2Ti2O7_753802_POSCAR,6.5423271375,4.2435,2.1203,313.9846,10.3857,-3.6060248714735E-02
Sc2Ti2O7_753802_POSCAR,7.0875210656,2.0530,1.2918,323.8076,12.3781,-2.9342130962545E-02
Sc2Ti2O7_753802_POSCAR,6.8149241015,3.0223,1.7067,314.0316,10.7177,-3.2472959595997E-02
Sc2Ti2O7_753802_POSCAR,7.6327149937,0.8819,0.6372,1019.8209,13.4439,-3.6569761354978E-02
Sc2Ti2O7_753802_POSCAR,7.3601180297,1.3532,0.9261,325.7552,12.8677,-2.5913204993186E-02
Sc2Ti2O7_753802_POSCAR,8.1779089218,0.3820,0.2854,1521.9881,15.0586,-5.8347037039744E-02
Sc2Ti2O7_753802_POSCAR,7.9053119578,0.5766,0.4282,1513.8003,14.4763,-4.4668209456703E-02
Sc2Ti2O7_753802_POSCAR,8.7231028500,0.1772,0.1294,1522.4449,15.3590,-4.5927689644019E-02
Sc2Ti2O7_753802_POSCAR,8.4505058859,0.2575,0.1911,1522.3925,15.2742,-5.1929201581488E-02
Sc2Ti2O7_753802_POSCAR,8.9956998140,0.1244,0.0890,1522.4573,15.3977,-4.0856034432638E-02
Sc2Ti2O7_753802_POSCAR,9.2682967781,0.0891,0.0623,1522.4615,15.4177,-3.6484465535739E-02
Sc2Ti2O7_753802_POSCAR,9.5408937421,0.0650,0.0444,1522.4633,15.4291,-3.2642155335089E-02
Sc2Ti2O7_753802_POSCAR,9.8134907062,0.0483,0.0322,1522.4643,15.4360,-2.9236747584003E-02
Sc2Ti2O7_753802_POSCAR,10.0860876703,0.0365,0.0238,1522.4648,15.4404,-2.6214728100005E-02
Sc2Ti2O7_753802_POSCAR,10.3586846343,0.0280,0.0178,1522.4651,15.4433,-2.3530287251072E-02
Sc2Ti2O7_753802_POSCAR,10.6312815984,0.0217,0.0136,1522.4654,15.4454,-2.1137043445580E-02
Sc2Ti2O7_753802_POSCAR,10.9038785625,0.0171,0.0105,1522.4655,15.4468,-1.8990093682202E-02
Sc2Ti2O7_753802_POSCAR,11.1764755265,0.0137,0.0082,1522.4656,15.4479,-1.7055319804976E-02
Sc2Ti2O7_753802_POSCAR,11.4490724906,0.0110,0.0065,1522.4657,15.4486,-1.5309448577672E-02
Sc2Ti2O7_753802_POSCAR,11.7216694546,0.0090,0.0052,1522.4657,15.4492,-1.3738890503795E-02
Sc2Ti2O7_753802_POSCAR,11.9942664187,0.0074,0.0042,1522.4658,15.4496,-1.2331702214189E-02
Sc2Ti2O7_753802_POSCAR,12.2668633828,0.0061,0.0034,1522.4658,15.4500,-1.1074850627730E-02
Sc2Ti2O7_753802_POSCAR,12.5394603468,0.0051,0.0028,1522.4659,15.4502,-9.9551478460077E-03
Sc2Ti2O7_753802_POSCAR,12.8120573109,0.0043,0.0024,1522.4659,15.4504,-8.9552949934336E-03
Sc2Ti2O7_753802_POSCAR,13.0846542749,0.0037,0.0020,1522.4659,15.4506,-8.0616513252493E-03
Sc2Ti2O7_753802_POSCAR,13.3572512390,0.0032,0.0017,1522.4659,15.4507,-7.2595969086452E-03
Sc2Ti2O7_780402,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_780402,0.0000000000,read,real,scaling,value,N/A
Sc2Ti2O7_780402,0.0000000000,read,real,scaling,value,N/A
