source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045,0.0000000000,read,real,scaling,value,N/A
Ta2TiO6_1218045_POSCAR,4.2656783263,18.1051,3.8393,458.7677,10.3708,-2.3804238987648E-01
Ta2TiO6_1218045_POSCAR,3.9990734309,21.5522,4.7663,458.7677,10.3708,-2.8209762834797E-01
Ta2TiO6_1218045_POSCAR,4.5322832217,15.6390,3.4078,458.7677,10.3708,-2.0043954310301E-01
Ta2TiO6_1218045_POSCAR,4.7988881171,13.3725,3.2024,458.7677,10.3708,-1.6879825118303E-01
