source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994,0.0000000000,read,real,scaling,value,N/A
Ta2ZnS4_1217994_POSCAR,2.5557613800,17.8324,14.9141,458.7677,125.8109,-1.8300761526350E-01
Ta2ZnS4_1217994_POSCAR,2.8965295640,13.9022,9.1207,458.7677,125.8109,-1.2723607554273E-01
Ta2ZnS4_1217994_POSCAR,2.7261454720,15.2995,11.5379,458.7677,125.8109,-1.5272032954000E-01
Ta2ZnS4_1217994_POSCAR,3.0669136560,12.8841,7.6243,458.7677,125.8109,-1.0566672105645E-01
Ta2ZnS4_1217994_POSCAR,3.2372977480,11.7161,6.7112,458.7677,125.8109,-8.8606585035464E-02
Ta2ZnS4_1217994_POSCAR,3.5780659320,8.6227,5.3236,458.7677,125.8109,-6.4862319311910E-02
Ta2ZnS4_1217994_POSCAR,3.4076818400,10.2286,6.0296,458.7677,125.8109,-7.5459599384455E-02
Ta2ZnS4_1217994_POSCAR,3.7484500240,7.1333,4.4864,458.7677,125.8109,-5.6065285369204E-02
Ta2ZnS4_1217994_POSCAR,3.9188341160,5.7671,3.5577,458.7677,125.8109,-4.9020251498755E-02
Ta2ZnS4_1217994_POSCAR,4.2596023000,3.2298,1.8475,459.1380,126.0978,-4.1032513147576E-02
Ta2ZnS4_1217994_POSCAR,4.0892182080,4.4528,2.6439,458.7677,125.8114,-4.3767087966741E-02
Ta2ZnS4_1217994_POSCAR,4.4299863920,2.2120,1.2316,622.4406,130.4235,-4.9875007546380E-02
Ta2ZnS4_1217994_POSCAR,4.6003704840,1.4599,0.8003,659.8177,131.2228,-4.7481565073888E-02
Ta2ZnS4_1217994_POSCAR,4.9411386680,0.6194,0.3369,1161.4518,133.3469,-5.0545753758144E-02
Ta2ZnS4_1217994_POSCAR,4.7707545760,0.9498,0.5171,937.0146,132.3776,-5.0396355043624E-02
Ta2ZnS4_1217994_POSCAR,5.1115227600,0.4091,0.2231,1163.7339,133.6999,-4.5788117291419E-02
Ta2ZnS4_1217994_POSCAR,5.2819068520,0.2750,0.1507,1163.8129,133.8262,-4.1543079330851E-02
Ta2ZnS4_1217994_POSCAR,5.6226750360,0.1320,0.0732,1163.8229,133.9065,-3.4525041869382E-02
Ta2ZnS4_1217994_POSCAR,5.4522909440,0.1886,0.1040,1163.8212,133.8799,-3.7860147551767E-02
Ta2ZnS4_1217994_POSCAR,5.7930591280,0.0942,0.0526,1163.8234,133.9212,-3.1311095534589E-02
Ta2ZnS4_1217994_POSCAR,5.9634432200,0.0685,0.0386,1163.8237,133.9300,-2.8128843180152E-02
Ta2ZnS4_1217994_POSCAR,6.1338273120,0.0507,0.0288,1163.8238,133.9356,-2.5021532867079E-02
Ta2ZnS4_1217994_POSCAR,6.3042114040,0.0382,0.0218,1163.8238,133.9394,-2.2093993208612E-02
Ta2ZnS4_1217994_POSCAR,6.4745954960,0.0291,0.0168,1163.8239,133.9419,-1.9437694691135E-02
Ta2ZnS4_1217994_POSCAR,6.6449795880,0.0226,0.0131,1163.8239,133.9438,-1.7090769498436E-02
Ta2ZnS4_1217994_POSCAR,6.8153636800,0.0178,0.0104,1163.8239,133.9451,-1.5043444276965E-02
Ta2ZnS4_1217994_POSCAR,6.9857477720,0.0141,0.0083,1163.8239,133.9461,-1.3264812856108E-02
Ta2ZnS4_1217994_POSCAR,7.1561318640,0.0114,0.0067,1163.8239,133.9468,-1.1710108501986E-02
Ta2ZnS4_1217994_POSCAR,7.4969000480,0.0076,0.0045,1163.8239,133.9478,-9.1318350530755E-03
Ta2ZnS4_1217994_POSCAR,7.3265159560,0.0093,0.0055,1163.8239,133.9474,-1.0342001386767E-02
Ta2ZnS4_1217994_POSCAR,7.6672841400,0.0063,0.0038,1163.8239,133.9482,-8.0571535423373E-03
Ta2ZnS4_1217994_POSCAR,7.8376682320,0.0052,0.0032,1163.8239,133.9484,-7.1035896973654E-03
Ta2ZnS4_1217994_POSCAR,8.1784364160,0.0037,0.0023,1163.8239,133.9488,-5.5174782439718E-03
Ta2ZnS4_1217994_POSCAR,8.0080523240,0.0044,0.0027,1163.8239,133.9487,-6.2604818308804E-03
Ta2ZnS4_1217994_POSCAR,8.3488205080,0.0032,0.0020,1163.8239,133.9490,-4.8642185098591E-03
