source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763,0.0000000000,read,real,scaling,value,N/A
Ti3_WO6_2_776763_POSCAR,8.4650841000,6.2519,2.0857,321.5890,10.3903,-3.6591607582765E-01
Ti3_WO6_2_776763_POSCAR,7.0542367500,10.7965,2.6941,321.5890,10.3710,-6.2156447910903E-01
Ti3_WO6_2_776763_POSCAR,7.9948016500,7.4650,2.1607,321.5890,10.3816,-4.3692337304531E-01
Ti3_WO6_2_776763_POSCAR,7.5245192000,8.8785,2.3214,321.5890,10.3738,-5.2139913532670E-01
Ti3_WO6_2_776763_POSCAR,8.9353665500,5.3247,2.0456,321.5890,10.3976,-3.0645024433801E-01
Ti3_WO6_2_776763_POSCAR,9.4056490000,4.7316,2.0167,321.5890,10.4045,-2.5696248346629E-01
Ti3_WO6_2_776763_POSCAR,9.8759314500,4.3784,1.9821,321.5890,10.4150,-2.3134851879452E-01
Ti3_WO6_2_776763_POSCAR,10.3462139000,4.1415,1.9231,321.5890,10.4407,-1.9993014119835E-01
Ti3_WO6_2_776763_POSCAR,10.8164963500,3.9186,1.8171,321.5890,10.5277,-1.7480099130729E-01
Ti3_WO6_2_776763_POSCAR,11.2867788000,3.6275,1.6435,321.5889,10.8963,-1.5545246271911E-01
Ti3_WO6_2_776763_POSCAR,12.2273437000,2.6663,1.1145,302.9008,12.7099,-1.1946442035107E-01
Ti3_WO6_2_776763_POSCAR,11.7570612500,3.2112,1.4003,321.5329,11.9760,-1.4001642223452E-01
Ti3_WO6_2_776763_POSCAR,13.1679086000,1.4930,0.5867,302.1299,13.6586,-8.8515029670497E-02
Ti3_WO6_2_776763_POSCAR,12.6976261500,2.0602,0.8305,301.9989,12.9690,-1.0198837661998E-01
Ti3_WO6_2_776763_POSCAR,13.6381910500,1.0344,0.4004,403.5482,14.6126,-9.5185919841537E-02
