source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189,0.0000000000,read,real,scaling,value,N/A
ZrTiS4_1215189_POSCAR,3.0349625445,12.6720,5.1933,458.6896,125.8109,-6.8098987355174E-02
ZrTiS4_1215189_POSCAR,2.6779081275,15.4466,10.3946,458.6896,125.8109,-1.0476118369999E-01
ZrTiS4_1215189_POSCAR,3.2134897530,11.9482,4.0995,458.6896,125.8109,-5.7096874743330E-02
ZrTiS4_1215189_POSCAR,2.8564353360,13.6650,7.2332,458.6896,125.8109,-8.3928865298583E-02
ZrTiS4_1215189_POSCAR,3.3920169615,11.0927,3.5404,458.6896,125.8109,-4.9423162075459E-02
ZrTiS4_1215189_POSCAR,3.9275985870,7.2224,2.6081,458.6896,125.8116,-3.3180143973419E-02
ZrTiS4_1215189_POSCAR,3.5705441700,9.9256,3.2145,458.6896,125.8109,-4.3324225883594E-02
ZrTiS4_1215189_POSCAR,3.7490713785,8.5621,2.9412,458.6896,125.8110,-3.7924248389177E-02
ZrTiS4_1215189_POSCAR,4.1061257955,5.9576,2.1655,458.6896,125.8349,-2.9198923751541E-02
ZrTiS4_1215189_POSCAR,4.4631802125,3.4976,1.1598,458.7007,130.6668,-2.2929552551934E-02
ZrTiS4_1215189_POSCAR,4.2846530040,4.7088,1.6504,458.6896,126.9501,-2.5930282236141E-02
ZrTiS4_1215189_POSCAR,4.6417074210,2.4419,0.7703,568.6179,131.2871,-2.1583966365793E-02
ZrTiS4_1215189_POSCAR,4.8202346295,1.6317,0.4978,568.7077,132.4932,-2.0736626912584E-02
ZrTiS4_1215189_POSCAR,5.3558162550,0.4598,0.1376,1822.0774,133.8431,-2.8977918851854E-02
ZrTiS4_1215189_POSCAR,4.9987618380,1.0678,0.3203,728.2086,133.4126,-2.6841868905173E-02
ZrTiS4_1215189_POSCAR,5.1772890465,0.6973,0.2081,1797.8496,133.7313,-3.1702642747499E-02
ZrTiS4_1215189_POSCAR,5.5343434635,0.3081,0.0929,1822.6569,133.8902,-2.6727718133712E-02
ZrTiS4_1215189_POSCAR,5.8913978805,0.1466,0.0452,1822.7131,133.9260,-2.3008903221440E-02
ZrTiS4_1215189_POSCAR,5.7128706720,0.2104,0.0641,1822.7046,133.9133,-2.4827339284409E-02
ZrTiS4_1215189_POSCAR,6.0699250890,0.1040,0.0325,1822.7155,133.9336,-2.1107792695272E-02
ZrTiS4_1215189_POSCAR,6.2484522975,0.0752,0.0238,1822.7164,133.9383,-1.9106853417748E-02
ZrTiS4_1215189_POSCAR,6.4269795060,0.0554,0.0177,1822.7169,133.9415,-1.7094500607059E-02
ZrTiS4_1215189_POSCAR,6.6055067145,0.0415,0.0134,1822.7171,133.9436,-1.5187353165350E-02
ZrTiS4_1215189_POSCAR,6.7840339230,0.0315,0.0104,1822.7173,133.9451,-1.3466529010997E-02
ZrTiS4_1215189_POSCAR,6.9625611315,0.0243,0.0081,1822.7173,133.9462,-1.1959431784532E-02
