source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312,0.0000000000,read,real,scaling,value,N/A
V2WO6_20312_POSCAR,4.1674704210,12.4426,3.2007,269.3349,10.3708,-1.5448870996010E-01
V2WO6_20312_POSCAR,3.9359442865,14.6796,3.3955,269.3349,10.3708,-1.8342242319232E-01
V2WO6_20312_POSCAR,3.7044181520,16.9269,3.8124,269.3349,10.3708,-2.1972128043644E-01
V2WO6_20312_POSCAR,3.4728920175,19.6723,4.7419,269.3349,10.3708,-2.6280903789802E-01
V2WO6_20312_POSCAR,4.3989965555,10.4921,3.0939,269.3349,10.3708,-1.3220274513505E-01
V2WO6_20312_POSCAR,4.8620488245,7.7931,2.8887,269.3349,10.3708,-9.9417577533078E-02
V2WO6_20312_POSCAR,4.6305226900,9.0037,3.0067,269.3349,10.3708,-1.1436266808934E-01
V2WO6_20312_POSCAR,5.0935749590,6.6317,2.6900,269.3349,10.3710,-8.7006462306487E-02
