source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045335_POSCAR,5.5774265288,14.8222,6.0491,451.0845,125.8109,-1.7753682470415E-01
Y_VS2_2_1045335_POSCAR,5.2493426153,17.6412,8.0475,451.0845,125.8109,-2.1054186787160E-01
Y_VS2_2_1045335_POSCAR,5.9055104422,12.5596,5.0167,451.0845,125.8109,-1.5653210674424E-01
Y_VS2_2_1045335_POSCAR,4.9212587018,21.0919,11.4256,451.0845,125.8109,-2.6088431633997E-01
Y_VS2_2_1045335_POSCAR,6.8897621826,7.5186,3.8188,451.0845,125.8109,-1.0696762690805E-01
Y_VS2_2_1045335_POSCAR,6.2335943557,10.6240,4.4836,451.0845,125.8109,-1.3985777913731E-01
Y_VS2_2_1045335_POSCAR,7.2178460960,6.2850,3.3875,451.0845,125.8109,-9.2208379786104E-02
Y_VS2_2_1045335_POSCAR,6.5616782691,8.9367,4.1457,451.0845,125.8109,-1.2330851692281E-01
Y_VS2_2_1045335_POSCAR,7.8740139229,3.8672,2.1584,451.0895,125.8363,-6.8562284591874E-02
Y_VS2_2_1045335_POSCAR,8.5301817499,1.8405,1.0354,1121.1941,130.9041,-6.5376210307572E-02
Y_VS2_2_1045335_POSCAR,8.2020978364,2.7427,1.5368,482.1639,127.9386,-6.1296272418463E-02
Y_VS2_2_1045335_POSCAR,7.5459300095,5.0837,2.8137,451.0845,125.8110,-7.9513255096730E-02
Y_VS2_2_1045335_POSCAR,8.8582656633,1.1984,0.6764,1156.3604,131.5703,-7.6877849038419E-02
Y_VS2_2_1045335_POSCAR,9.5144334902,0.5042,0.2850,2364.4691,133.5354,-8.9376741893673E-02
Y_VS2_2_1045335_POSCAR,9.8425174037,0.3335,0.1882,2365.7884,133.7684,-8.0039008196249E-02
Y_VS2_2_1045335_POSCAR,9.1863495768,0.7745,0.4378,2282.1798,132.8469,-9.9815271551200E-02
Y_VS2_2_1045335_POSCAR,10.1706013171,0.2250,0.1267,2365.8727,133.8560,-7.2469195238614E-02
Y_VS2_2_1045335_POSCAR,10.8267691441,0.1089,0.0611,2365.8892,133.9154,-5.9695515169187E-02
Y_VS2_2_1045335_POSCAR,10.4986852306,0.1549,0.0871,2365.8857,133.8952,-6.5874022272459E-02
Y_VS2_2_1045335_POSCAR,11.1548530575,0.0781,0.0437,2365.8904,133.9269,-5.3722745356521E-02
Y_VS2_2_1045335_POSCAR,11.4829369710,0.0572,0.0319,2365.8910,133.9338,-4.7992759207563E-02
Y_VS2_2_1045335_POSCAR,12.1391047979,0.0322,0.0179,2365.8915,133.9414,-3.7792761532837E-02
Y_VS2_2_1045335_POSCAR,11.8110208844,0.0426,0.0237,2365.8913,133.9383,-4.2641973883104E-02
Y_VS2_2_1045335_POSCAR,12.4671887113,0.0247,0.0137,2365.8916,133.9434,-3.3496894119900E-02
Y_VS2_2_1045335_POSCAR,12.7952726248,0.0193,0.0107,2365.8917,133.9449,-2.9742875836625E-02
Y_VS2_2_1045335_POSCAR,13.1233565382,0.0152,0.0084,2365.8917,133.9460,-2.6464927806515E-02
Y_VS2_2_1045335_POSCAR,13.4514404517,0.0121,0.0067,2365.8917,133.9468,-2.3581813894172E-02
Y_VS2_2_1045335_POSCAR,13.7795243652,0.0098,0.0054,2365.8918,133.9474,-2.1019067466174E-02
Y_VS2_2_1045335_POSCAR,14.1076082786,0.0080,0.0044,2365.8918,133.9479,-1.8724119171978E-02
Y_VS2_2_1045335_POSCAR,14.4356921921,0.0066,0.0037,2365.8918,133.9482,-1.6657436922396E-02
Y_VS2_2_1045335_POSCAR,14.7637761055,0.0055,0.0030,2365.8918,133.9485,-1.4793697488211E-02
Y_VS2_2_1045335_POSCAR,15.4199439324,0.0039,0.0022,2365.8918,133.9489,-1.1618282301517E-02
Y_VS2_2_1045335_POSCAR,15.0918600190,0.0046,0.0026,2365.8918,133.9487,-1.3119189434005E-02
Y_VS2_2_1045335_POSCAR,15.7480278459,0.0033,0.0018,2365.8918,133.9490,-1.0281886038975E-02
Y_VS2_2_1045335_POSCAR,16.0761117593,0.0028,0.0016,2365.8918,133.9492,-9.0982093361955E-03
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354,0.0000000000,read,real,scaling,value,N/A
Y_VS2_2_1045354_POSCAR,5.7901040310,8.2317,5.2242,451.0845,125.8109,-1.5121166880000E-01
Y_VS2_2_1045354_POSCAR,4.8250866925,23.5387,11.1133,451.0845,125.8109,-2.5182970130280E-01
Y_VS2_2_1045354_POSCAR,5.4684315848,11.8365,6.3473,451.0845,125.8109,-1.7170756685976E-01
Y_VS2_2_1045354_POSCAR,5.1467591386,17.2380,8.2436,451.0845,125.8109,-2.0335359867863E-01
Y_VS2_2_1045354_POSCAR,6.1117764771,6.2118,4.5992,451.0845,125.8109,-1.3633386074366E-01
Y_VS2_2_1045354_POSCAR,6.4334489233,5.1472,4.2078,451.0845,125.8109,-1.2260164429140E-01
Y_VS2_2_1045354_POSCAR,6.7551213695,4.5458,3.8551,451.0845,125.8109,-1.0811028993432E-01
Y_VS2_2_1045354_POSCAR,7.0767938156,4.1119,3.4137,451.0852,125.8109,-9.3455343917734E-02
Y_VS2_2_1045354_POSCAR,7.7201387080,3.1168,2.1904,452.8231,125.8306,-6.7696898981883E-02
Y_VS2_2_1045354_POSCAR,7.3984662618,3.6669,2.8395,451.1084,125.8110,-7.9737578098790E-02
Y_VS2_2_1045354_POSCAR,8.0418111541,2.4674,1.5757,654.9722,127.5632,-6.3821180593518E-02
Y_VS2_2_1045354_POSCAR,8.3634836003,1.8119,1.0749,1123.3871,130.8454,-6.2399742525236E-02
Y_VS2_2_1045354_POSCAR,8.6851560465,1.2535,0.7097,1142.6739,131.4536,-8.7662899783682E-02
Y_VS2_2_1045354_POSCAR,9.0068284926,0.8372,0.4626,2168.3243,132.7033,-9.3635738304016E-02
Y_VS2_2_1045354_POSCAR,9.6501733849,0.3653,0.1998,2365.7230,133.7475,-7.5472437330088E-02
Y_VS2_2_1045354_POSCAR,9.3285009388,0.5521,0.3022,2362.9301,133.4784,-8.4330103325486E-02
Y_VS2_2_1045354_POSCAR,9.9718458311,0.2446,0.1344,2365.8658,133.8470,-6.8493591595081E-02
Y_VS2_2_1045354_POSCAR,10.2935182773,0.1665,0.0922,2365.8844,133.8908,-6.2597937281737E-02
Y_VS2_2_1045354_POSCAR,10.9368631696,0.0819,0.0461,2365.8903,133.9254,-5.1606615672548E-02
Y_VS2_2_1045354_POSCAR,10.6151907234,0.1156,0.0646,2365.8888,133.9129,-5.7084969248717E-02
Y_VS2_2_1045354_POSCAR,11.5802080619,0.0434,0.0249,2365.8913,133.9377,-4.0996049279848E-02
Y_VS2_2_1045354_POSCAR,11.2585356158,0.0591,0.0336,2365.8909,133.9329,-4.6170224394194E-02
Y_VS2_2_1045354_POSCAR,11.9018805081,0.0324,0.0188,2365.8915,133.9409,-3.6292958653311E-02
Y_VS2_2_1045354_POSCAR,12.2235529543,0.0246,0.0144,2365.8916,133.9431,-3.2165323457765E-02
Y_VS2_2_1045354_POSCAR,12.5452254004,0.0190,0.0111,2365.8917,133.9447,-2.8600578556570E-02
Y_VS2_2_1045354_POSCAR,12.8668978466,0.0148,0.0088,2365.8917,133.9458,-2.5517093250375E-02
Y_VS2_2_1045354_POSCAR,13.1885702928,0.0117,0.0070,2365.8917,133.9467,-2.2810137201078E-02
Y_VS2_2_1045354_POSCAR,13.5102427389,0.0094,0.0056,2365.8918,133.9473,-2.0389340204079E-02
