source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423,0.0000000000,read,real,scaling,value,N/A
Zr9W4S_1207423_POSCAR,7.0204727840,17.4687,10.3587,458.6896,125.8109,-9.0046823170484E-01
Zr9W4S_1207423_POSCAR,7.8980318820,13.9390,9.0357,458.6896,125.8109,-6.4553521835689E-01
Zr9W4S_1207423_POSCAR,7.4592523330,15.2651,9.5642,458.6896,125.8109,-7.6291305528771E-01
Zr9W4S_1207423_POSCAR,6.5816932350,21.2761,12.0318,458.6896,125.8109,-1.0782203793482E+00
Zr9W4S_1207423_POSCAR,8.3368114310,12.9013,8.4491,458.6896,125.8109,-5.3761921166066E-01
Zr9W4S_1207423_POSCAR,9.2143705290,9.9835,6.6569,458.6896,125.8109,-3.6039346127210E-01
Zr9W4S_1207423_POSCAR,8.7755909800,11.6784,7.6554,458.6896,125.8109,-4.4051963900987E-01
Zr9W4S_1207423_POSCAR,9.6531500780,7.8439,5.5025,458.6896,125.8109,-3.0035989510076E-01
Zr9W4S_1207423_POSCAR,10.9694887250,2.3782,2.0325,568.6566,125.8796,-2.7197217875200E-01
Zr9W4S_1207423_POSCAR,10.0919296270,5.6221,4.2494,458.6896,125.8109,-2.6924990089180E-01
Zr9W4S_1207423_POSCAR,10.5307091760,3.7389,3.0364,458.6898,125.8109,-2.5302015295931E-01
Zr9W4S_1207423_POSCAR,11.4082682740,1.4894,1.3091,568.9393,130.0169,-2.6411978822989E-01
Zr9W4S_1207423_POSCAR,12.2858273720,0.5991,0.5326,1817.1969,132.2859,-6.4455066339372E-01
Zr9W4S_1207423_POSCAR,11.8470478230,0.9371,0.8327,1243.6103,131.1642,-3.3900913864715E-01
Zr9W4S_1207423_POSCAR,12.7246069210,0.3915,0.3460,1822.4954,133.3088,-6.2405494638100E-01
Zr9W4S_1207423_POSCAR,13.1633864700,0.2618,0.2294,1822.6882,133.6858,-5.8114586860655E-01
Zr9W4S_1207423_POSCAR,13.6021660190,0.1793,0.1555,1822.7098,133.8196,-5.3073476998076E-01
Zr9W4S_1207423_POSCAR,14.0409455680,0.1255,0.1077,1822.7145,133.8762,-4.7685374565450E-01
Zr9W4S_1207423_POSCAR,14.4797251170,0.0898,0.0762,1822.7160,133.9041,-4.2307341888196E-01
Zr9W4S_1207423_POSCAR,14.9185046660,0.0655,0.0551,1822.7167,133.9196,-3.7208775515713E-01
Zr9W4S_1207423_POSCAR,15.3572842150,0.0486,0.0405,1822.7170,133.9289,-3.2547201202350E-01
Zr9W4S_1207423_POSCAR,15.7960637640,0.0368,0.0303,1822.7172,133.9347,-2.8386184715927E-01
Zr9W4S_1207423_POSCAR,16.2348433130,0.0282,0.0231,1822.7173,133.9387,-2.4719743184413E-01
