source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103,0.0000000000,read,real,scaling,value,N/A
Y2Zr24O51_531103_POSCAR,2.7334927500,24.0953,5.5601,451.0845,10.3708,-1.2674349756534E+00
Y2Zr24O51_531103_POSCAR,3.2801913000,17.4756,4.1705,451.0845,10.3708,-7.1387666087548E-01
Y2Zr24O51_531103_POSCAR,2.9157256000,20.9168,4.7116,451.0845,10.3708,-1.0342101083499E+00
Y2Zr24O51_531103_POSCAR,3.0979584500,19.0162,4.3454,451.0845,10.3708,-8.5844400736739E-01
Y2Zr24O51_531103_POSCAR,3.4624241500,15.6958,4.0610,451.0845,10.3708,-5.9108715661811E-01
Y2Zr24O51_531103_POSCAR,3.6446570000,13.5108,3.9463,451.0845,10.3708,-4.9662275837052E-01
