pair,ligand,n,best_delta_E,mean_delta_E,median_delta_E,std_delta_E
V-Zr,O,8,-1.682540435945942,-0.3932609506119888,-0.17196129642651892,0.54089261246208
Sc-Zr,O,7,-0.7656138917983809,-0.28420598064057556,-0.1756803182702442,0.23968686573190004
Nb-Ni,O,3,-0.6736869076334131,-0.3744868521919469,-0.2931841372914202,0.26796460180515164
Mn-Ni,O,25,-0.6350591431579156,-0.11291682540896232,-0.061366797260222,0.15190468646905889
W-Y,O,13,-0.6203389839486121,-0.14265991613854284,-0.1005868310788977,0.14763382721310192
Pd-Zr,O,1,-0.615224495228623,-0.615224495228623,-0.615224495228623,
Ni-Ti,O,8,-0.5654934752935433,-0.28888011661507557,-0.1723477098427833,0.21970179978535503
Mn-Ti,O,22,-0.5482996504240986,-0.1260007040239162,-0.07986538558557474,0.14779272582252614
Ti-Y,O,15,-0.5275801206245934,-0.193425483499937,-0.1510836162594833,0.1328393669100158
Ni-Zr,O,4,-0.5248567787815661,-0.23594821396428844,-0.17154922462333366,0.19782588209778615
Mo-Zr,O,1,-0.5231745838516739,-0.5231745838516739,-0.5231745838516739,
Co-Zr,O,3,-0.5120746412862286,-0.24599014244986184,-0.1553879659061491,0.23431150244138832
Fe-Ti,O,47,-0.5027603407092435,-0.11417333040357486,-0.0934212139917121,0.10921207492766058
Co-Ti,O,7,-0.5019698615955894,-0.15703880378174911,-0.1182618170016016,0.15411613324938195
Re-Zr,O,1,-0.4671945722415485,-0.4671945722415485,-0.4671945722415485,
W-Zr,O,1,-0.4392086670004483,-0.4392086670004483,-0.4392086670004483,
Cu-Ti,O,3,-0.436577353302924,-0.4205966464358743,-0.4296003422442184,0.021916545202494735
Hf-Mo,O,1,-0.4300564492163088,-0.4300564492163088,-0.4300564492163088,
Hf-Sc,O,3,-0.4066038791663773,-0.2666985178105457,-0.2416293502019375,0.1292078261852666
Sc-Ti,O,6,-0.4047621105822355,-0.16067851999425792,-0.115909011159643,0.12955057762200464
Hf-Zr,O,2,-0.3979379009292224,-0.2440241589313402,-0.2440241589313402,0.2176669013689984
Fe-Y,O,16,-0.3939728826567863,-0.0833272719874749,-0.04066279207396075,0.10898420556198281
Mo-Y,O,10,-0.3829448779837827,-0.11675749319838054,-0.08464705234000655,0.09528239083705044
Y-Zr,O,17,-0.3597777701864945,-0.1794250790686455,-0.1372642918784698,0.10329799878457555
Hf-Re,O,1,-0.3573132958079261,-0.3573132958079261,-0.3573132958079261,
Nb-Sc,O,4,-0.3531069211261067,-0.17820564219079552,-0.13846264527575014,0.12198809420234358
Hf-W,O,1,-0.337457877800983,-0.337457877800983,-0.337457877800983,
Ta-Y,O,12,-0.3284532502194223,-0.15769053625932816,-0.1186133110664607,0.07788260422649028
Fe-Mn,O,46,-0.3220387144193555,-0.10036944857506619,-0.07604685438002065,0.08216413010068647
Cr-Mn,O,30,-0.3170669570586604,-0.09834576234206052,-0.069588800961698,0.06685704866968668
Ag-Mn,O,7,-0.315894335438202,-0.07989811220968905,-0.0076859147600579,0.11510356423908934
Fe-Zn,O,41,-0.3062771089390109,-0.09912649642456905,-0.0835739218855749,0.07945306645476838
Cd-Mn,O,14,-0.2906985595121067,-0.12321692264622033,-0.10959266210993965,0.07069667922492681
Mn-Nb,O,7,-0.288855134739378,-0.12676159709152784,-0.111817030081357,0.08999552245120135
Co-Ru,O,6,-0.2879931942107602,-0.17438123580525108,-0.16754489766817432,0.07076113380166076
Mn-Y,O,13,-0.2812557716728497,-0.1110087159180673,-0.1054507124215033,0.0712234262663317
Mn-V,O,22,-0.2735121298111647,-0.11637568478743826,-0.09537958848870129,0.08196152850901116
Cr-Y,O,12,-0.269368947980449,-0.13155390159755612,-0.11058488852741,0.06957906085236565
Ti-Zr,O,8,-0.2675109238076715,-0.12354663191159172,-0.1253132302577486,0.067767078362893
V-Y,O,16,-0.2671573215251182,-0.12716340773192825,-0.1207361647430168,0.05659399551602096
Cu-Mn,O,25,-0.266180578806617,-0.09261964334905146,-0.0440891887277282,0.07958338449393847
Mn-Ta,O,8,-0.2613191249512975,-0.11893358916867572,-0.10138687014572365,0.09080628064561744
Ti-V,O,22,-0.2435766555233249,-0.0882764848112314,-0.07530424202893475,0.045149067304259494
Co-Fe,O,25,-0.2411665499806341,-0.06007501114647493,-0.0250899317259954,0.0625351228093233
Co-Cu,O,8,-0.2392624957674635,-0.12427751659298533,-0.09353719932247351,0.06225754560566358
Ni-V,O,5,-0.2387352840327429,-0.15519861617117164,-0.1420671711803313,0.05860779987236187
Ni-Y,O,9,-0.2354999762185596,-0.093883857606375,-0.0940104863638291,0.07257208645401964
V-Zn,O,21,-0.228850776975111,-0.09925584339038045,-0.0780624144774008,0.06353851348881251
Fe-Ni,O,15,-0.2260108003808495,-0.12205619621100183,-0.1414824902017941,0.07430981605041383
Ni-Zn,O,37,-0.2214194399903743,-0.10379525287886701,-0.0828231883225951,0.052935974897343016
Cu-V,O,9,-0.2212687401050553,-0.10516433221967883,-0.0854676178482357,0.05140478860470723
Pd-Ti,O,1,-0.2176919121650476,-0.2176919121650476,-0.2176919121650476,
Sc-V,O,9,-0.2155931148796214,-0.1454041051175892,-0.1258340034693289,0.04519699203875115
Re-Y,O,5,-0.2132729130366108,-0.1466953115441279,-0.1366415818528415,0.05702363913814273
Co-Zn,O,24,-0.2116823229251362,-0.1149346840919621,-0.12141659123687246,0.04568026986452573
Cr-Fe,O,30,-0.2116707753270854,-0.11054157585431616,-0.11820131418673516,0.05708122438284282
Cu-Ni,O,6,-0.2105306587143033,-0.12928578244601965,-0.1306501464012777,0.05873470015035863
Cu-Y,O,10,-0.2044839499599706,-0.13292373833972557,-0.13404744334997534,0.04449125108624167
