chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,pair,IE_1,IE_2,IE_avg,IE_diff
Ag-Mn-O,Ag,Mn,O,Mn3_AgO2_4_704268_POSCAR,35,local_max_drop,17.316800973,-1.4569536542589,-1.141059318820698,-0.315894335438202,16.675438,31.426787,0.07417937,Ag-Mn,731.0,717.3,724.15,13.700000000000045
Cd-Mn-O,Cd,Mn,O,MnCd9O10_757244_POSCAR,35,local_max_drop,8.2843712113,-0.81657834275118,-0.5258797832390733,-0.2906985595121067,7.621622,16.237368,0.06272589,Cd-Mn,867.8,717.3,792.55,150.5
Co-Ru-O,Co,Ru,O,Co5RuO8_530751_POSCAR,35,local_max_drop,6.5830054145,-0.67643697791417,-0.3884437837034098,-0.2879931942107602,5.529725,12.902691,0.05551548,Co-Ru,760.4,710.2,735.3,50.19999999999993
Co-Ti-O,Co,Ti,O,Ti3Co3O_504734_POSCAR,35,local_max_drop,9.5466837051,-0.69050413040943,-0.1885342688138406,-0.5019698615955894,8.523825,16.706696,0.01831923,Co-Ti,760.4,658.8,709.5999999999999,101.60000000000002
Co-Zr-O,Co,Zr,O,Zr9Co3O2_1215381_POSCAR,35,local_max_drop,8.1208584386,-0.70306426180024,-0.1909896205140113,-0.5120746412862286,6.960736,14.211502,0.02358069,Co-Zr,760.4,640.1,700.25,120.29999999999995
Cr-Mn-O,Cr,Mn,O,Mn6Cr9O20_757545_POSCAR,35,local_max_drop,7.8490950185,-0.78908402786848,-0.4720170708098196,-0.3170669570586604,7.245318,14.792525,0.06199181,Cr-Mn,652.9,717.3,685.0999999999999,64.39999999999998
Cr-Y-O,Cr,Y,O,Y2Cr3O9_1365415_POSCAR,35,local_max_drop,7.3558004083,-0.53987528773536,-0.2705063397549109,-0.269368947980449,6.567679,12.872651,0.04223587,Cr-Y,652.9,600.0,626.45,52.89999999999998
Cr-Y-O,Cr,Y,O,Y2Cr3O9_1659341_POSCAR,35,local_max_drop,7.355818045,-0.53895314665771,-0.2705026539837653,-0.2684504926739447,6.567695,12.872682,0.04222924,Cr-Y,652.9,600.0,626.45,52.89999999999998
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_698748_POSCAR,35,local_max_drop,8.2727912313,-0.63313036815374,-0.366949789347123,-0.266180578806617,7.353592,15.013584,0.04757634,Cu-Mn,745.5,717.3,731.4,28.200000000000045
Cu-Nb-S,Cu,Nb,S,Nb24_CuS8_5_690962_POSCAR,35,local_max_drop,19.1910863835,-0.66474287279222,-0.3611255241511634,-0.3036173486410566,16.54404,32.426318,0.02298437,Cu-Nb,745.5,652.1,698.8,93.39999999999998
Cu-Ti-O,Cu,Ti,O,Ti3Cu3O_21457_POSCAR,35,local_max_drop,9.5803839947,-0.58984967686938,-0.1942374331088994,-0.3956122437604805,8.553914,16.765672,0.02062219,Cu-Ti,745.5,658.8,702.15,86.70000000000005
Cu-Ti-O,Cu,Ti,O,Ti4Cu2O_1217206_POSCAR,35,local_max_drop,10.1833367004,-0.62053742030822,-0.1909370780640016,-0.4296003422442184,9.129888,17.206328,0.01999501,Cu-Ti,745.5,658.8,702.15,86.70000000000005
Cu-Ti-O,Cu,Ti,O,Ti4Cu2O_22432_POSCAR,35,local_max_drop,9.771951884,-0.63195676637559,-0.1953794130726659,-0.436577353302924,9.073955,17.100916,0.01962373,Cu-Ti,745.5,658.8,702.15,86.70000000000005
Cu-Ti-S,Cu,Ti,S,Ti3CuS6_686094_POSCAR,35,local_max_drop,8.5564683453,-0.75003668650055,-0.4307330022463356,-0.3193036842542144,8.25088,14.97382,0.05417917,Cu-Ti,745.5,658.8,702.15,86.70000000000005
Fe-Mn-O,Fe,Mn,O,Mn17Fe13O40_532236_POSCAR,35,local_max_drop,7.9780362565,-0.59656876774607,-0.2928997833484852,-0.3036689843975848,6.136951,15.03553,0.03647666,Fe-Mn,762.5,717.3,739.9,45.200000000000045
Fe-Mn-O,Fe,Mn,O,Mn19Fe17O48_706492_POSCAR,35,local_max_drop,7.9931539307,-0.7120708919242,-0.3900321775048445,-0.3220387144193555,7.070867,15.064021,0.04911737,Fe-Mn,762.5,717.3,739.9,45.200000000000045
Fe-Mn-O,Fe,Mn,O,Mn23FeO32_757698_POSCAR,35,local_max_drop,8.2074742055,-0.52044787361664,-0.2314526355246665,-0.2889952380919735,6.313442,15.467932,0.02735642,Fe-Mn,762.5,717.3,739.9,45.200000000000045
Fe-Ni-S,Fe,Ni,S,FeNi35S32_1225604_POSCAR,35,local_max_drop,13.2944069683,-0.72739057185948,-0.3995962413160784,-0.3277943305434015,12.309636,24.126887,0.03053376,Fe-Ni,762.5,737.1,749.8,25.399999999999977
Fe-Ti-O,Fe,Ti,O,Ti3Fe3O_27884_POSCAR,35,local_max_drop,9.5317194607,-0.66112711774821,-0.1993383207387467,-0.4617887970094632,8.825666,17.298306,0.01988304,Fe-Ti,762.5,658.8,710.65,103.70000000000005
Fe-Ti-O,Fe,Ti,O,Ti4Fe2O_1217190_POSCAR,35,local_max_drop,9.9537553331,-0.67726930804954,-0.1932286855862574,-0.4840406224632826,8.887282,17.419072,0.01892694,Fe-Ti,762.5,658.8,710.65,103.70000000000005
Fe-Ti-O,Fe,Ti,O,Ti4Fe2O_505361_POSCAR,35,local_max_drop,10.0858266758,-0.69103194387309,-0.1882716031638465,-0.5027603407092435,9.042465,17.041569,0.01858797,Fe-Ti,762.5,658.8,710.65,103.70000000000005
Fe-Y-O,Fe,Y,O,Y3Fe5O12_4704_POSCAR,35,local_max_drop,14.3572278715,-0.58926135432374,-0.3007311049843609,-0.2885302493393791,12.306195,25.125149,0.02398757,Fe-Y,762.5,600.0,681.25,162.5
Fe-Y-O,Fe,Y,O,Y6Fe16O_504492_POSCAR,35,local_max_drop,10.428754268,-0.54247169717843,-0.1484988145216437,-0.3939728826567863,7.725003,18.926258,0.01446274,Fe-Y,762.5,600.0,681.25,162.5
Fe-Zn-O,Fe,Zn,O,Zn_Fe2O3_4_1100888_POSCAR,35,local_max_drop,6.8372271965,-0.89030135776126,-0.584024248822249,-0.3062771089390109,6.311287,12.885544,0.08720174,Fe-Zn,762.5,906.4,834.45,143.89999999999998
Fe-Zr-S,Fe,Zr,S,Zr6FeS2_1207526_POSCAR,35,local_max_drop,5.0141226635,-0.7703804259351,-0.2439323348089809,-0.5264480911261191,4.149619,8.472138,0.0547722,Fe-Zr,762.5,640.1,701.3,122.39999999999998
Hf-Mo-O,Hf,Mo,O,Hf9Mo4O3_1212453_POSCAR,35,local_max_drop,12.5209216655,-0.65408759002173,-0.2240311408054212,-0.4300564492163088,9.930386,21.15604,0.02054407,Hf-Mo,658.5,684.3,671.4,25.799999999999955
Hf-Mo-S,Hf,Mo,S,Hf8Mo5S_1224623_POSCAR,35,local_max_drop,12.211084404,-0.6498060677186,-0.2343540362725602,-0.4154520314460397,9.684653,20.632522,0.02255735,Hf-Mo,658.5,684.3,671.4,25.799999999999955
Hf-Mo-S,Hf,Mo,S,Hf9Mo4S_1194092_POSCAR,35,local_max_drop,12.591117775,-0.64815391543512,-0.2154776467751856,-0.4326762686599343,9.986059,21.274647,0.01969693,Hf-Mo,658.5,684.3,671.4,25.799999999999955
Hf-Re-O,Hf,Re,O,Hf9Re4O3_1212448_POSCAR,35,local_max_drop,12.1934616695,-0.56378969790222,-0.2064764020942938,-0.3573132958079261,10.511605,20.602746,0.01823102,Hf-Re,658.5,760.0,709.25,101.5
Hf-Re-S,Hf,Re,S,Hf9Re4S_1192774_POSCAR,35,local_max_drop,12.4110517,-0.54743463511739,-0.2030726653264971,-0.3443619697908929,9.843248,20.970398,0.01811311,Hf-Re,658.5,760.0,709.25,101.5
Hf-Re-S,Hf,Re,S,Hf9Re4S_1399219_POSCAR,35,local_max_drop,17.552238922,-1.3139133391373,-0.668518482219952,-0.6453948569173479,14.525991,29.657231,0.04489159,Hf-Re,658.5,760.0,709.25,101.5
Hf-Sc-O,Hf,Sc,O,Hf3Sc4O12_685490_POSCAR,35,local_max_drop,8.9457868819,-0.68822200196865,-0.2816181228022727,-0.4066038791663773,7.711885,15.115295,0.03506634,Hf-Sc,658.5,633.1,645.8,25.399999999999977
Hf-V-S,Hf,V,S,Hf9V4S_17105_POSCAR,35,local_max_drop,12.4401561725,-0.59728339389051,-0.175172202801454,-0.4221111910890559,10.295302,21.019574,0.01421911,Hf-V,658.5,650.9,654.7,7.600000000000023
Hf-W-O,Hf,W,O,Hf9W4O3_1212452_POSCAR,35,local_max_drop,12.5698171735,-0.5407371240249,-0.203279246223917,-0.337457877800983,10.402607,21.238657,0.01814832,Hf-W,658.5,770.0,714.25,111.5
Hf-W-S,Hf,W,S,Hf9W4S_1193767_POSCAR,35,local_max_drop,12.615791874,-0.52007269749974,-0.1988112877165061,-0.3212614097832339,10.440655,21.316338,0.01776056,Hf-W,658.5,770.0,714.25,111.5
Hf-Zr-O,Hf,Zr,O,HfZrO4_1178248_POSCAR,35,local_max_drop,14.83292145,-0.71830870718634,-0.3203708062571176,-0.3979379009292224,12.787001,25.062522,0.0249333,Hf-Zr,658.5,640.1,649.3,18.399999999999977
Mn-Nb-O,Mn,Nb,O,Mn27Nb13O60_706836_POSCAR,35,local_max_drop,5.9178867334,-0.9059523547011,-0.617097219961722,-0.288855134739378,5.444456,11.599058,0.09780663,Mn-Nb,717.3,652.1,684.7,65.19999999999993
Mn-Ni-O,Mn,Ni,O,Mn3_Ni17O20_2_758834_POSCAR,35,local_max_drop,7.3809747446,-0.99685166722266,-0.4255331682834942,-0.5713184989391659,6.790497,14.46671,0.05210309,Mn-Ni,717.3,737.1,727.2,19.800000000000068
Mn-Ni-O,Mn,Ni,O,Mn_Ni9O10_2_758680_POSCAR,35,local_max_drop,7.3689646528,-1.0780433729613,-0.4429842298033844,-0.6350591431579156,6.779447,14.443171,0.05433035,Mn-Ni,717.3,737.1,727.2,19.800000000000068
Mn-Ta-O,Mn,Ta,O,Ta4Mn11O21_29747_POSCAR,35,local_max_drop,6.81337815,-0.60077663273051,-0.3394575077792124,-0.2613191249512975,6.268308,13.354221,0.04568508,Mn-Ta,717.3,761.0,739.15,43.700000000000045
Mn-Ti-O,Mn,Ti,O,Ti3Mn3O_504732_POSCAR,35,local_max_drop,9.8319117721,-0.74469269681523,-0.1963930463911314,-0.5482996504240986,8.739477,17.843099,0.01872949,Mn-Ti,717.3,658.8,688.05,58.5
Mn-Ti-O,Mn,Ti,O,Ti4Mn2O_1217173_POSCAR,35,local_max_drop,10.1929977382,-0.72810450387778,-0.191365176726462,-0.536739327151318,9.100891,17.837746,0.01828976,Mn-Ti,717.3,658.8,688.05,58.5
Mn-V-O,Mn,V,O,Mn7V5O16_531842_POSCAR,35,local_max_drop,6.8597878327,-0.47597718466426,-0.2257306778413391,-0.2502465068229208,5.879818,12.004629,0.03612479,Mn-V,717.3,650.9,684.0999999999999,66.39999999999998
Mn-V-O,Mn,V,O,MnV2O4_531268_POSCAR,35,local_max_drop,7.3519513494,-0.49602757763825,-0.2225154478270852,-0.2735121298111647,6.301673,12.865915,0.03282163,Mn-V,717.3,650.9,684.0999999999999,66.39999999999998
