"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-752462","Cr(CoO3)2","Monoclinic","C2/m","12","9","0.086266191111122","-1.314804237777778","False","101.20389607996164","4.362174680499507","0.0","False","True","FM","3.998393199999999","# generated using pymatgen
data_Cr(CoO3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.46675623
_cell_length_b   6.46675623
_cell_length_c   5.79993458
_cell_angle_alpha   76.61942512
_cell_angle_beta   76.61942512
_cell_angle_gamma   25.43689686
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr(CoO3)2
_chemical_formula_sum   'Cr1 Co2 O6'
_cell_volume   101.20389608
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.00000000  0.00000000  0.50000000  1
  Co  Co1  1  0.66771000  0.66771000  0.16166800  1
  Co  Co2  1  0.33229000  0.33229000  0.83833200  1
  O  O3  1  0.15949600  0.15949600  0.37873500  1
  O  O4  1  0.48608800  0.48608800  0.72781800  1
  O  O5  1  0.81991200  0.81991200  0.05244500  1
  O  O6  1  0.51391200  0.51391200  0.27218200  1
  O  O7  1  0.84050400  0.84050400  0.62126500  1
  O  O8  1  0.18008800  0.18008800  0.94755500  1
"
"True","mp-755124","Cr(CoO3)2","Orthorhombic","Cmce","64","18","0.08974724000001101","-1.31132318888889","False","207.79051592860242","4.24917442526205","0.6398","False","False","FM","8.0001373","# generated using pymatgen
data_Cr(CoO3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.94403911
_cell_length_b   4.94403911
_cell_length_c   9.71932900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   118.99848064
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr(CoO3)2
_chemical_formula_sum   'Cr2 Co4 O12'
_cell_volume   207.79051593
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.00000000  0.00000000  0.00000000  1
  Cr  Cr1  1  0.50000000  0.50000000  0.50000000  1
  Co  Co2  1  0.83394800  0.16605200  0.50000000  1
  Co  Co3  1  0.66605200  0.33394800  0.00000000  1
  Co  Co4  1  0.33394800  0.66605200  0.00000000  1
  Co  Co5  1  0.16605200  0.83394800  0.50000000  1
  O  O6  1  0.66116200  0.99790200  0.09735800  1
  O  O7  1  0.33883800  0.00209800  0.90264200  1
  O  O8  1  0.49790200  0.16116200  0.40264200  1
  O  O9  1  0.83883800  0.50209800  0.59735800  1
  O  O10  1  0.15760300  0.15760300  0.59841500  1
  O  O11  1  0.34239700  0.34239700  0.09841500  1
  O  O12  1  0.65760300  0.65760300  0.90158500  1
  O  O13  1  0.00209800  0.33883800  0.90264200  1
  O  O14  1  0.84239700  0.84239700  0.40158500  1
  O  O15  1  0.16116200  0.49790200  0.40264200  1
  O  O16  1  0.50209800  0.83883800  0.59735800  1
  O  O17  1  0.99790200  0.66116200  0.09735800  1
"
"True","mp-20758","Cr2CoO4","Cubic","Fd-3m","227","14","0.0","-2.132410751428586","True","145.38620266155158","5.183634917332189","2.606","True","False","FM","17.9999992","# generated using pymatgen
data_Cr2CoO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.90217901
_cell_length_b   5.90218582
_cell_length_c   5.90217759
_cell_angle_alpha   60.00007558
_cell_angle_beta   60.00004818
_cell_angle_gamma   60.00007812
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2CoO4
_chemical_formula_sum   'Cr4 Co2 O8'
_cell_volume   145.38620266
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.50000129  -0.00000292  0.50000054  1
  Cr  Cr1  1  -0.00000256  0.50000318  0.49999946  1
  Cr  Cr2  1  0.49999954  0.49999964  0.00000279  1
  Cr  Cr3  1  0.49999954  0.49999957  0.49999760  1
  Co  Co4  1  0.12501617  0.12502881  0.12497766  1
  Co  Co5  1  0.87498890  0.87500161  0.87500417  1
  O  O6  1  0.73867542  0.73867881  0.73867694  1
  O  O7  1  0.26131493  0.26131783  0.71604251  1
  O  O8  1  0.26132238  0.71602403  0.26132650  1
  O  O9  1  0.71603271  0.26131229  0.26132724  1
  O  O10  1  0.73868205  0.28396909  0.73867429  1
  O  O11  1  0.28397670  0.73866971  0.73867646  1
  O  O12  1  0.26131525  0.26131825  0.26132416  1
  O  O13  1  0.73867569  0.73867909  0.28396769  1
"
"True","mp-772720","Cr3(CoO6)2","Orthorhombic","Pbcn","60","68","0.071986044499999","-1.405844232205882","False","1017.2965444001248","3.041622270244518","0.0","False","True","FM","15.9999046","# generated using pymatgen
data_Cr3(CoO6)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.94938900
_cell_length_b   9.03438800
_cell_length_c   12.58216700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr3(CoO6)2
_chemical_formula_sum   'Cr12 Co8 O48'
_cell_volume   1017.29654440
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.25000000  0.96915700  0.00000000  1
  Cr  Cr1  1  0.75000000  0.03084300  0.00000000  1
  Cr  Cr2  1  0.60372500  0.60255200  0.14409000  1
  Cr  Cr3  1  0.10372500  0.39744800  0.14409000  1
  Cr  Cr4  1  0.10372500  0.89744800  0.35591000  1
  Cr  Cr5  1  0.60372500  0.10255200  0.35591000  1
  Cr  Cr6  1  0.75000000  0.53084300  0.50000000  1
  Cr  Cr7  1  0.25000000  0.46915700  0.50000000  1
  Cr  Cr8  1  0.39627500  0.89744800  0.64409000  1
  Cr  Cr9  1  0.89627500  0.10255200  0.64409000  1
  Cr  Cr10  1  0.89627500  0.60255200  0.85591000  1
  Cr  Cr11  1  0.39627500  0.39744800  0.85591000  1
  Co  Co12  1  0.97074100  0.74918900  0.12284600  1
  Co  Co13  1  0.47074100  0.25081100  0.12284600  1
  Co  Co14  1  0.47074100  0.75081100  0.37715400  1
  Co  Co15  1  0.97074100  0.24918900  0.37715400  1
  Co  Co16  1  0.02925900  0.75081100  0.62284600  1
  Co  Co17  1  0.52925900  0.24918900  0.62284600  1
  Co  Co18  1  0.52925900  0.74918900  0.87715400  1
  Co  Co19  1  0.02925900  0.25081100  0.87715400  1
  O  O20  1  0.55912200  0.65523300  0.02325800  1
  O  O21  1  0.05912200  0.34476700  0.02325800  1
  O  O22  1  0.36313500  0.07784700  0.07150700  1
  O  O23  1  0.86313500  0.92215300  0.07150700  1
  O  O24  1  0.15511900  0.86292200  0.08292700  1
  O  O25  1  0.65511900  0.13707800  0.08292700  1
  O  O26  1  0.08871100  0.58444100  0.15611200  1
  O  O27  1  0.58871100  0.41555900  0.15611200  1
  O  O28  1  0.77742600  0.65154900  0.17103300  1
  O  O29  1  0.27742600  0.34845100  0.17103300  1
  O  O30  1  0.48351200  0.67722600  0.22921100  1
  O  O31  1  0.98351200  0.32277400  0.22921100  1
  O  O32  1  0.98351200  0.82277400  0.27078900  1
  O  O33  1  0.48351200  0.17722600  0.27078900  1
  O  O34  1  0.77742600  0.15154900  0.32896700  1
  O  O35  1  0.27742600  0.84845100  0.32896700  1
  O  O36  1  0.58871100  0.91555900  0.34388800  1
  O  O37  1  0.08871100  0.08444100  0.34388800  1
  O  O38  1  0.65511900  0.63707800  0.41707300  1
  O  O39  1  0.15511900  0.36292200  0.41707300  1
  O  O40  1  0.36313500  0.57784700  0.42849300  1
  O  O41  1  0.86313500  0.42215300  0.42849300  1
  O  O42  1  0.55912200  0.15523300  0.47674200  1
  O  O43  1  0.05912200  0.84476700  0.47674200  1
  O  O44  1  0.44087800  0.84476700  0.52325800  1
  O  O45  1  0.94087800  0.15523300  0.52325800  1
  O  O46  1  0.13686500  0.57784700  0.57150700  1
  O  O47  1  0.63686500  0.42215300  0.57150700  1
  O  O48  1  0.84488100  0.63707800  0.58292700  1
  O  O49  1  0.34488100  0.36292200  0.58292700  1
  O  O50  1  0.91128900  0.91555900  0.65611200  1
  O  O51  1  0.41128900  0.08444100  0.65611200  1
  O  O52  1  0.22257400  0.84845100  0.67103300  1
  O  O53  1  0.72257400  0.15154900  0.67103300  1
  O  O54  1  0.51648800  0.82277400  0.72921100  1
  O  O55  1  0.01648800  0.17722600  0.72921100  1
  O  O56  1  0.01648800  0.67722600  0.77078900  1
  O  O57  1  0.51648800  0.32277400  0.77078900  1
  O  O58  1  0.72257400  0.65154900  0.82896700  1
  O  O59  1  0.22257400  0.34845100  0.82896700  1
  O  O60  1  0.41128900  0.58444100  0.84388800  1
  O  O61  1  0.91128900  0.41555900  0.84388800  1
  O  O62  1  0.34488100  0.86292200  0.91707300  1
  O  O63  1  0.84488100  0.13707800  0.91707300  1
  O  O64  1  0.63686500  0.92215300  0.92849300  1
  O  O65  1  0.13686500  0.07784700  0.92849300  1
  O  O66  1  0.94087800  0.65523300  0.97674200  1
  O  O67  1  0.44087800  0.34476700  0.97674200  1
"
"True","mp-861261","Cr3(CoO6)2","Monoclinic","P2_1/c","14","68","0.019391741999999","-1.458438534705882","False","981.9518386521119","3.151103448349917","0.8752000000000001","False","False","FM","32.0011192","# generated using pymatgen
data_Cr3(CoO6)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.01564900
_cell_length_b   8.75445200
_cell_length_c   15.13154345
_cell_angle_alpha   55.30630418
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr3(CoO6)2
_chemical_formula_sum   'Cr12 Co8 O48'
_cell_volume   981.95183865
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.75339800  0.54888500  0.49151600  1
  Cr  Cr1  1  0.62321800  0.25777100  0.85236200  1
  Cr  Cr2  1  0.88443500  0.97348800  0.14160200  1
  Cr  Cr3  1  0.12321800  0.74222900  0.64763800  1
  Cr  Cr4  1  0.38443500  0.02651200  0.35839800  1
  Cr  Cr5  1  0.25339800  0.45111500  0.00848400  1
  Cr  Cr6  1  0.74660200  0.54888500  0.99151600  1
  Cr  Cr7  1  0.61556500  0.97348800  0.64160200  1
  Cr  Cr8  1  0.87678200  0.25777100  0.35236200  1
  Cr  Cr9  1  0.11556500  0.02651200  0.85839800  1
  Cr  Cr10  1  0.37678200  0.74222900  0.14763800  1
  Cr  Cr11  1  0.24660200  0.45111500  0.50848400  1
  Co  Co12  1  0.97460300  0.36398700  0.88525300  1
  Co  Co13  1  0.47460300  0.63601300  0.61474700  1
  Co  Co14  1  0.03128800  0.87535900  0.37975500  1
  Co  Co15  1  0.53128800  0.12464100  0.12024500  1
  Co  Co16  1  0.46871200  0.87535900  0.87975500  1
  Co  Co17  1  0.96871200  0.12464100  0.62024500  1
  Co  Co18  1  0.52539700  0.36398700  0.38525300  1
  Co  Co19  1  0.02539700  0.63601300  0.11474700  1
  O  O20  1  0.12793600  0.62439500  0.44273400  1
  O  O21  1  0.11342700  0.16475300  0.90059600  1
  O  O22  1  0.33010200  0.45550600  0.60426500  1
  O  O23  1  0.42169000  0.88199800  0.18452500  1
  O  O24  1  0.62982000  0.52955900  0.58126500  1
  O  O25  1  0.81198200  0.28958000  0.84315400  1
  O  O26  1  0.57481500  0.16020600  0.97858500  1
  O  O27  1  0.99715300  0.88657900  0.24575700  1
  O  O28  1  0.70991500  0.99200200  0.17728400  1
  O  O29  1  0.84480300  0.75202300  0.43561800  1
  O  O30  1  0.53680300  0.45915100  0.77353400  1
  O  O31  1  0.03680300  0.54084900  0.72646600  1
  O  O32  1  0.93842100  0.18625200  0.04421300  1
  O  O33  1  0.43842100  0.81374800  0.45578700  1
  O  O34  1  0.34480300  0.24797700  0.06438200  1
  O  O35  1  0.20991500  0.00799800  0.32271600  1
  O  O36  1  0.07481500  0.83979400  0.52141500  1
  O  O37  1  0.49715300  0.11342100  0.25424300  1
  O  O38  1  0.31198200  0.71042000  0.65684600  1
  O  O39  1  0.12982000  0.47044100  0.91873500  1
  O  O40  1  0.83010200  0.54449400  0.89573500  1
  O  O41  1  0.61342700  0.83524700  0.59940400  1
  O  O42  1  0.92169000  0.11800200  0.31547500  1
  O  O43  1  0.62793600  0.37560500  0.05726600  1
  O  O44  1  0.37206400  0.62439500  0.94273400  1
  O  O45  1  0.07831000  0.88199800  0.68452500  1
  O  O46  1  0.38657300  0.16475300  0.40059600  1
  O  O47  1  0.16989800  0.45550600  0.10426500  1
  O  O48  1  0.87018000  0.52955900  0.08126500  1
  O  O49  1  0.68801800  0.28958000  0.34315400  1
  O  O50  1  0.50284700  0.88657900  0.74575700  1
  O  O51  1  0.92518500  0.16020600  0.47858500  1
  O  O52  1  0.79008500  0.99200200  0.67728400  1
  O  O53  1  0.65519700  0.75202300  0.93561800  1
  O  O54  1  0.56157900  0.18625200  0.54421300  1
  O  O55  1  0.06157900  0.81374800  0.95578700  1
  O  O56  1  0.96319700  0.45915100  0.27353400  1
  O  O57  1  0.46319700  0.54084900  0.22646600  1
  O  O58  1  0.15519700  0.24797700  0.56438200  1
  O  O59  1  0.29008500  0.00799800  0.82271600  1
  O  O60  1  0.00284700  0.11342100  0.75424300  1
  O  O61  1  0.42518500  0.83979400  0.02141500  1
  O  O62  1  0.18801800  0.71042000  0.15684600  1
  O  O63  1  0.37018000  0.47044100  0.41873500  1
  O  O64  1  0.57831000  0.11800200  0.81547500  1
  O  O65  1  0.66989800  0.54449400  0.39573500  1
  O  O66  1  0.88657300  0.83524700  0.09940400  1
  O  O67  1  0.87206400  0.37560500  0.55726600  1
"
"True","mp-756555","Cr3Co5O16","Monoclinic","Cm","8","24","0.091417700833338","-1.350732449166667","False","245.78251749224967","4.774184514890739","0.21550000000000002","False","False","FM","11.0019196","# generated using pymatgen
data_Cr3Co5O16
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.73111569
_cell_length_b   5.73111569
_cell_length_c   8.61089600
_cell_angle_alpha   89.99904510
_cell_angle_beta   89.99904510
_cell_angle_gamma   60.34368667
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr3Co5O16
_chemical_formula_sum   'Cr3 Co5 O16'
_cell_volume   245.78251749
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.67228000  0.16845200  0.79767000  1
  Cr  Cr1  1  0.16845200  0.67228000  0.79767000  1
  Cr  Cr2  1  0.83849800  0.83849800  0.29922900  1
  Co  Co3  1  0.32926500  0.32926500  0.51292500  1
  Co  Co4  1  0.17306700  0.17306700  0.78666600  1
  Co  Co5  1  0.66476900  0.66476900  0.01836500  1
  Co  Co6  1  0.83143300  0.33984600  0.29195800  1
  Co  Co7  1  0.33984600  0.83143300  0.29195800  1
  O  O8  1  0.66224800  0.16735300  0.39471300  1
  O  O9  1  0.47146800  0.47146800  0.65628900  1
  O  O10  1  0.32765900  0.32765900  0.90548400  1
  O  O11  1  0.00879900  0.00879900  0.68260900  1
  O  O12  1  0.00865200  0.00865200  0.18377400  1
  O  O13  1  0.16735300  0.66224800  0.39471300  1
  O  O14  1  0.47338000  0.04436500  0.65536000  1
  O  O15  1  0.04436500  0.47338000  0.65536000  1
  O  O16  1  0.82489100  0.82489100  0.89125300  1
  O  O17  1  0.16829000  0.16829000  0.39675500  1
  O  O18  1  0.95196000  0.52172900  0.15853800  1
  O  O19  1  0.52172900  0.95196000  0.15853800  1
  O  O20  1  0.66045700  0.66045700  0.40203000  1
  O  O21  1  0.82793700  0.34025800  0.89771300  1
  O  O22  1  0.52111700  0.52111700  0.16123300  1
  O  O23  1  0.34025800  0.82793700  0.89771300  1
"
"True","mp-753507","CrCo3O8","Trigonal","R-3m","166","12","0.06934500583333801","-1.249565980833334","False","138.17004438091942","4.287942482785396","0.706299999999999","False","False","FM","4.9997739","# generated using pymatgen
data_CrCo3O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.86842999
_cell_length_b   5.86842999
_cell_length_c   5.86843030
_cell_angle_alpha   58.55085045
_cell_angle_beta   58.55085045
_cell_angle_gamma   58.55084224
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrCo3O8
_chemical_formula_sum   'Cr1 Co3 O8'
_cell_volume   138.17004438
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.00000000  0.00000000  0.00000000  1
  Co  Co1  1  0.50000000  0.00000000  0.50000000  1
  Co  Co2  1  0.50000000  0.50000000  0.00000000  1
  Co  Co3  1  0.00000000  0.50000000  0.50000000  1
  O  O4  1  0.27536700  0.76445700  0.76445700  1
  O  O5  1  0.76445700  0.76445700  0.27536700  1
  O  O6  1  0.76445700  0.27536700  0.76445700  1
  O  O7  1  0.26813500  0.26813500  0.26813500  1
  O  O8  1  0.73186500  0.73186500  0.73186500  1
  O  O9  1  0.23554300  0.72463300  0.23554300  1
  O  O10  1  0.23554300  0.23554300  0.72463300  1
  O  O11  1  0.72463300  0.23554300  0.23554300  1
"
"True","mp-754623","CrCo3O8","Trigonal","R-3m","166","12","0.10345884000000401","-1.215452146666667","False","132.9470670070573","4.456399200727292","0.47640000000000005","False","False","FM","4.9986321","# generated using pymatgen
data_CrCo3O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.77396577
_cell_length_b   5.77396577
_cell_length_c   5.77396527
_cell_angle_alpha   58.97964680
_cell_angle_beta   58.97964680
_cell_angle_gamma   58.97964346
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrCo3O8
_chemical_formula_sum   'Cr1 Co3 O8'
_cell_volume   132.94706701
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.50000000  0.50000000  0.50000000  1
  Co  Co1  1  0.50000000  0.00000000  0.50000000  1
  Co  Co2  1  0.00000000  0.50000000  0.50000000  1
  Co  Co3  1  0.50000000  0.50000000  0.00000000  1
  O  O4  1  0.26568200  0.26568200  0.26568200  1
  O  O5  1  0.26127600  0.26127600  0.70242900  1
  O  O6  1  0.70242900  0.26127600  0.26127600  1
  O  O7  1  0.26127600  0.70242900  0.26127600  1
  O  O8  1  0.73872400  0.29757100  0.73872400  1
  O  O9  1  0.29757100  0.73872400  0.73872400  1
  O  O10  1  0.73872400  0.73872400  0.29757100  1
  O  O11  1  0.73431800  0.73431800  0.73431800  1
"
"True","mp-861562","CrCo3O8","Hexagonal","P6_3mc","186","24","0.065202855833338","-1.253708130833333","False","242.53827800582187","4.885539783827989","0.47680000000000006","False","False","FM","10.0005001","# generated using pymatgen
data_CrCo3O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.62932659
_cell_length_b   5.62932659
_cell_length_c   8.83765000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000690
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrCo3O8
_chemical_formula_sum   'Cr2 Co6 O16'
_cell_volume   242.53827801
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.33333300  0.66666700  0.49014300  1
  Cr  Cr1  1  0.66666700  0.33333300  0.99014300  1
  Co  Co2  1  0.16734400  0.83265600  0.20938000  1
  Co  Co3  1  0.16734400  0.33468900  0.20938000  1
  Co  Co4  1  0.66531100  0.83265600  0.20938000  1
  Co  Co5  1  0.33468900  0.16734400  0.70938000  1
  Co  Co6  1  0.83265600  0.66531100  0.70938000  1
  Co  Co7  1  0.83265600  0.16734400  0.70938000  1
  O  O8  1  0.16425700  0.83574300  0.60697300  1
  O  O9  1  0.04080400  0.52040200  0.33405600  1
  O  O10  1  0.33333300  0.66666700  0.10131100  1
  O  O11  1  0.00000000  0.00000000  0.31605500  1
  O  O12  1  0.00000000  0.00000000  0.81605500  1
  O  O13  1  0.16425700  0.32851500  0.60697300  1
  O  O14  1  0.47959800  0.95919600  0.33405600  1
  O  O15  1  0.47959800  0.52040200  0.33405600  1
  O  O16  1  0.32851500  0.16425700  0.10697300  1
  O  O17  1  0.67148500  0.83574300  0.60697300  1
  O  O18  1  0.52040200  0.47959800  0.83405600  1
  O  O19  1  0.52040200  0.04080400  0.83405600  1
  O  O20  1  0.66666700  0.33333300  0.60131100  1
  O  O21  1  0.83574300  0.67148500  0.10697300  1
  O  O22  1  0.95919600  0.47959800  0.83405600  1
  O  O23  1  0.83574300  0.16425700  0.10697300  1
"
"True","mp-756950","CrCo5O12","Monoclinic","C2/m","12","18","0.10670936944445501","-1.130042175","False","205.57301478330768","4.351045122799205","0.46729999999999905","False","False","FM","7.0333378","# generated using pymatgen
data_CrCo5O12
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.92381421
_cell_length_b   4.92381421
_cell_length_c   9.79612993
_cell_angle_alpha   89.95723697
_cell_angle_beta   89.95723697
_cell_angle_gamma   120.05065246
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrCo5O12
_chemical_formula_sum   'Cr1 Co5 O12'
_cell_volume   205.57301478
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.00000000  0.00000000  0.00000000  1
  Co  Co1  1  0.83337900  0.16662100  0.50000000  1
  Co  Co2  1  0.33339900  0.66660100  0.00000000  1
  Co  Co3  1  0.66660100  0.33339900  0.00000000  1
  Co  Co4  1  0.16662100  0.83337900  0.50000000  1
  Co  Co5  1  0.50000000  0.50000000  0.50000000  1
  O  O6  1  0.99962400  0.34018000  0.90157800  1
  O  O7  1  0.65982000  0.00037600  0.09842200  1
  O  O8  1  0.83312400  0.49987500  0.59684300  1
  O  O9  1  0.49987500  0.83312400  0.59684300  1
  O  O10  1  0.50012500  0.16687600  0.40315700  1
  O  O11  1  0.83354800  0.83354800  0.40315400  1
  O  O12  1  0.16687600  0.50012500  0.40315700  1
  O  O13  1  0.34018000  0.99962400  0.90157800  1
  O  O14  1  0.65991900  0.65991900  0.90169600  1
  O  O15  1  0.00037600  0.65982000  0.09842200  1
  O  O16  1  0.34008100  0.34008100  0.09830400  1
  O  O17  1  0.16645200  0.16645200  0.59684600  1
"
