chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Co-Fe-O,Co,Fe,O,Fe19Co5O32_757738_POSCAR,35,local_max_drop,10.1332111352,-0.4174183591286,-0.2608487300936531,-0.15656962903494687,8.963994,19.097206,0.02606716
Co-Fe-O,Co,Fe,O,Fe2Co3O10_778217_POSCAR,35,local_max_drop,6.7725555367,-0.13344092393135,-0.07528219063075368,-0.0581587333005963,6.270885,12.290934,0.01078816
Co-Fe-O,Co,Fe,O,Fe2CoO4_34501_POSCAR,35,global_gradient_fallback,6.4645430021,-0.091901340650356,-0.0668114089243606,-0.0250899317259954,5.94738,12.670504,0.00957207
Co-Fe-O,Co,Fe,O,Fe2CoO4_36738_POSCAR,35,local_max_drop,7.8510991,-0.31483723075913,-0.19482371932319423,-0.12001351143593578,6.945203,14.796302,0.02513199
Co-Fe-O,Co,Fe,O,Fe2CoO4_532300_POSCAR,35,local_max_drop,6.7703523972,-0.41951768689807,-0.25900801268159246,-0.16050967421647755,5.989158,12.75951,0.03870383
Co-Fe-O,Co,Fe,O,Fe2CoO4_685218_POSCAR,35,local_max_drop,6.8074708861,-0.62887745984994,-0.3877109098693059,-0.24116654998063414,6.021993,12.829464,0.05763976
Co-Fe-O,Co,Fe,O,Fe2CoO4_691111_POSCAR,35,local_max_drop,7.7704224499,-0.31997214742479,-0.19766221258306246,-0.12230993484172756,6.873835,14.644258,0.02566156
Co-Fe-O,Co,Fe,O,Fe2CoO4_753222_POSCAR,35,global_gradient_fallback,6.46540982,-0.097498448953899,-0.06800885912139548,-0.02948958983250352,5.948177,12.672203,0.00980006
Co-Fe-O,Co,Fe,O,Fe2CoO6_753617_POSCAR,35,global_gradient_fallback,5.8286189,-0.082414209329906,-0.060754515066006376,-0.021659694263899618,5.604441,10.984705,0.01011834
Co-Fe-O,Co,Fe,O,Fe3Co5O16_756418_POSCAR,35,global_gradient_fallback,3.7283818,-0.083387659520085,-0.060041952535091835,-0.02334570698499317,3.441583,7.026566,0.0143911
Co-Fe-O,Co,Fe,O,Fe3Co5O16_771370_POSCAR,35,global_gradient_fallback,7.4540964432,-0.087380580718557,-0.07540529074679449,-0.011975289971762518,6.880704,14.048105,0.00944976
Co-Fe-O,Co,Fe,O,Fe3Co7O20_775826_POSCAR,35,local_max_drop,3.9087657,-0.13476740097479,-0.07452201202823125,-0.06024538894655876,3.619228,7.093686,0.01834556
Co-Fe-O,Co,Fe,O,Fe5Co3O16_771307_POSCAR,35,global_gradient_fallback,7.3959582387,-0.083320325373546,-0.07409308449595843,-0.00922724087758757,6.827038,13.938537,0.00943676
Co-Fe-O,Co,Fe,O,Fe7_CoO6_2_1225378_POSCAR,35,local_max_drop,7.649285656,-0.31148427602813,-0.19571062335959716,-0.11577365266853284,6.766676,14.415961,0.02595445
Co-Fe-O,Co,Fe,O,FeCo3O8_1178259_POSCAR,35,local_max_drop,10.852213596,-0.22005134226248,-0.12375137748857327,-0.09629996477390672,10.048346,19.694758,0.01099484
Co-Fe-O,Co,Fe,O,FeCo3O8_761579_POSCAR,35,global_gradient_fallback,7.297524806,-0.082453518588865,-0.07346735598927115,-0.008986162599593853,6.455503,13.753028,0.00927376
Co-Fe-O,Co,Fe,O,FeCo3O8_771245_POSCAR,35,global_gradient_fallback,6.4148026051,-0.038023675463968,-0.03423932754815289,-0.0037843479158151117,5.921356,12.089436,0.00491381
Co-Fe-O,Co,Fe,O,FeCo3O8_776400_POSCAR,35,local_max_drop,10.7899267576,-0.21500979156218,-0.12316316694604999,-0.09184662461613001,9.990673,19.581719,0.01078584
Co-Fe-O,Co,Fe,O,FeCo9O20_771048_POSCAR,35,local_max_drop,6.6273276863,-0.13574495702895,-0.072414390930321,-0.06333056609862901,6.136415,12.027372,0.01017511
Co-Fe-O,Co,Fe,O,FeCoO2_1097012_POSCAR,35,global_gradient_fallback,3.7157370125,-0.062129364132532,-0.04231332355929104,-0.01981604057324096,3.418478,7.282845,0.01047466
Co-Fe-O,Co,Fe,O,FeCoO4_755732_POSCAR,35,global_gradient_fallback,3.7876397,-0.02120533185082,-0.01550857726254015,-0.0056967545882798485,3.496283,7.138244,0.00370903
Co-Fe-O,Co,Fe,O,FeCoO4_761526_POSCAR,35,global_gradient_fallback,7.1097442,-0.052823095877986,-0.04367787967066518,-0.009145216207320818,6.562841,13.399133,0.00598155
Co-Fe-O,Co,Fe,O,Fe_CoO2_2_753348_POSCAR,35,global_gradient_fallback,7.2860543993,-0.085116790615723,-0.0660224937892876,-0.019094296826435403,6.70317,14.280667,0.00821592
Co-Fe-O,Co,Fe,O,Fe_CoO3_2_753096_POSCAR,35,global_gradient_fallback,6.504161573,-0.064531808411384,-0.04640619941541351,-0.018125608995970495,6.003841,12.257843,0.00639022
Co-Fe-O,Co,Fe,O,Fe_CoO3_2_761530_POSCAR,35,global_gradient_fallback,8.2666603852,-0.033455419163456,-0.023240251779055626,-0.010215167384400373,7.630763,15.579475,0.00252563
