chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Co-Ni-O,Co,Ni,O,Co2NiO4_1096547_POSCAR,35,local_max_drop,6.4702239891,-0.12319460322923,-0.0620933226164469,-0.061101280612783096,5.72366,12.193884,0.00918767
Co-Ni-O,Co,Ni,O,Co2NiO4_1153924_POSCAR,35,local_max_drop,5.2908489545,-0.12406898027469,-0.06223792909294987,-0.061831051181740135,4.680366,9.971215,0.01127122
Co-Ni-O,Co,Ni,O,Co2NiO4_1275132_POSCAR,35,global_gradient_fallback,5.0290902545,-0.092338383651194,-0.06883300613907448,-0.02350537751211952,4.609999,10.267726,0.01154062
Co-Ni-O,Co,Ni,O,Co2NiO4_1304693_POSCAR,35,local_max_drop,6.8568347633,-0.12198700461566,-0.06126601476394321,-0.0607209898517168,5.801937,12.922496,0.00874936
Co-Ni-O,Co,Ni,O,Co2NiO4_38683_POSCAR,35,local_max_drop,6.5436637936,-0.12994979225175,-0.0651018564261869,-0.06484793582556309,5.788626,12.332289,0.00968591
Co-Ni-O,Co,Ni,O,Co3NiO8_752738_POSCAR,35,local_max_drop,7.3365245255,-0.11679732528229,-0.05968209634474333,-0.057115228937546676,6.793078,13.314433,0.00753817
Co-Ni-O,Co,Ni,O,Co3NiO8_753483_POSCAR,35,local_max_drop,7.5661837119,-0.12196895635673,-0.06331470947724077,-0.058654246879489225,7.005726,13.731222,0.00787752
Co-Ni-O,Co,Ni,O,Co3NiO8_773140_POSCAR,35,local_max_drop,7.5526276254,-0.13087579475016,-0.07279724357376914,-0.058078551176390866,6.993174,13.706621,0.00942747
Co-Ni-O,Co,Ni,O,CoNiO2_1238777_POSCAR,35,global_gradient_fallback,3.6171996,-0.056974999957414,-0.04040924719951288,-0.01656575275790112,2.411466,7.385116,0.00997434
Co-Ni-O,Co,Ni,O,CoNiO3_1178424_POSCAR,35,global_gradient_fallback,5.5327049634,-0.07030716171072,-0.045055040508926114,-0.02525212120179389,5.107112,10.427021,0.00767468
Co-Ni-O,Co,Ni,O,Co_NiO2_2_754168_POSCAR,35,local_max_drop,6.4668875078,-0.13684533747057,-0.06748695521765873,-0.06935838225291129,5.969435,12.187596,0.01011443
Co-Ni-O,Co,Ni,O,Co_NiO2_2_863417_POSCAR,35,local_max_drop,7.6388741,-0.25527866857715,-0.12406530724597493,-0.13121336133117506,6.757466,14.39634,0.0157023
