chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Co-Zn-O,Co,Zn,O,Zn2Co3O8_1042827_POSCAR,35,local_max_drop,7.58213274,-0.16327896459031,-0.0986950722866069,-0.0645838923037031,6.998892,14.289404,0.0128285
Co-Zn-O,Co,Zn,O,Zn2Co9O13_1045890_POSCAR,35,local_max_drop,6.3959715405,-0.25096312772037,-0.12132529499369366,-0.12963783272667634,5.628455,12.536104,0.0175255
Co-Zn-O,Co,Zn,O,Zn3Co2O7_1376556_POSCAR,35,local_max_drop,12.198809441,-0.18876407106423,-0.120243250066838,-0.06852082099739198,11.260439,22.990064,0.00998093
Co-Zn-O,Co,Zn,O,Zn3Co9O16_765468_POSCAR,35,local_max_drop,7.199932019,-0.22660969911874,-0.12381689799504644,-0.10279280112369354,6.369171,13.569103,0.0167175
Co-Zn-O,Co,Zn,O,Zn4CoO5_1215675_POSCAR,35,local_max_drop,4.210201177,-0.15810693756491,-0.09929257533161227,-0.05881436223329774,3.88634,7.93461,0.02415321
Co-Zn-O,Co,Zn,O,Zn5Co19O32_861852_POSCAR,35,local_max_drop,7.4214641907,-0.45666445653094,-0.2449821336058038,-0.21168232292513622,6.565141,13.986606,0.03185099
Co-Zn-O,Co,Zn,O,ZnCo3O7_1044368_POSCAR,35,local_max_drop,7.19464815,-0.19336198703213,-0.12836527976621032,-0.06499670726591969,6.395243,13.056954,0.01851179
Co-Zn-O,Co,Zn,O,ZnCo3O7_1338829_POSCAR,35,local_max_drop,18.4852665,-0.40838001779792,-0.2848979112306832,-0.1234821065672368,15.746709,33.547336,0.01627546
Co-Zn-O,Co,Zn,O,ZnCo5O7_1370323_POSCAR,35,local_max_drop,6.597621888,-0.27221584712824,-0.1281502003299751,-0.1440656467982649,5.582603,12.43398,0.01905989
Co-Zn-O,Co,Zn,O,ZnCoO2_1272466_POSCAR,35,local_max_drop,6.3444154743,-0.19257434525235,-0.0958946147887186,-0.09667973046363142,5.836862,12.435054,0.01431987
Co-Zn-O,Co,Zn,O,ZnCoO2_1291102_POSCAR,35,local_max_drop,3.8186918001,-0.19382796407035,-0.09266289917523948,-0.10116506489511051,3.360449,7.484636,0.02284077
Co-Zn-O,Co,Zn,O,ZnCoO2_1443384_POSCAR,35,global_gradient_fallback,3.5648459344,-0.11179626387032,-0.07303031708175602,-0.03876594678856399,3.137064,6.987098,0.01892057
Co-Zn-O,Co,Zn,O,ZnCoO2_754633_POSCAR,35,local_max_drop,3.8158148,-0.19318539464717,-0.09636737749923421,-0.09681801714793578,3.51055,7.478997,0.02393019
Co-Zn-O,Co,Zn,O,Zn_Co2O3_2_1043057_POSCAR,35,local_max_drop,6.4165939625,-0.23010027998392,-0.1104064563243411,-0.1196938236595789,5.646603,12.576524,0.01584423
Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1040942_POSCAR,35,local_max_drop,7.740334836,-0.32294920117006,-0.1820105948558579,-0.14093860631420208,7.144924,14.587554,0.0234331
Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1041156_POSCAR,35,local_max_drop,7.738980691,-0.32421728418472,-0.18528889700427928,-0.13892838718044073,7.143674,14.585002,0.02395205
Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1042295_POSCAR,35,local_max_drop,3.6592452395,-0.26606246979486,-0.13669992466556227,-0.1293625451292977,3.220136,7.172121,0.03474256
Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1042573_POSCAR,35,global_gradient_fallback,7.4704790204,-0.09824416607712,-0.057221933617303156,-0.04102223245981684,6.574022,14.642139,0.00702481
Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1048280_POSCAR,35,local_max_drop,6.27167,-0.21485540619008,-0.11397099187088221,-0.1008844143191978,5.51907,12.292473,0.01649245
Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1048393_POSCAR,35,local_max_drop,3.69541,-0.25822839834504,-0.135089039530874,-0.12313935881416602,3.251961,7.243004,0.03401833
Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1340366_POSCAR,35,local_max_drop,3.65925,-0.26630253556426,-0.13680865051135613,-0.12949388505290385,3.22014,7.17213,0.03477896
Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1350001_POSCAR,35,local_max_drop,7.5361012434,-0.45688509435037,-0.26081263200028754,-0.19607246235008247,6.956401,14.202652,0.03432568
Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1379105_POSCAR,35,local_max_drop,7.6200411998,-0.34528131876416,-0.194587725057769,-0.15069359370639102,7.033884,14.360847,0.02529632
Co-Zn-O,Co,Zn,O,Zn_CoO2_2_530742_POSCAR,35,local_max_drop,6.688636315,-0.435298755113,-0.2491008981285485,-0.1861978569844515,6.174126,12.605507,0.03715156
