chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Mn-Y-O,Mn,Y,O,Y2Mn2O7_18831_POSCAR,35,local_max_drop,8.7918313475,-0.18433711870022,-0.07888640627871661,-0.10545071242150338,7.579165,14.855163,0.01032213
Mn-Y-O,Mn,Y,O,Y2Mn3O9_1336972_POSCAR,35,local_max_drop,8.481263504,-0.16480470371266,-0.07875964005085102,-0.08604506366180899,7.572557,14.842211,0.00995799
Mn-Y-O,Mn,Y,O,Y2Mn3O9_1343591_POSCAR,35,local_max_drop,9.77013191,-0.21682384499343,-0.09537062019817587,-0.12145322479525412,8.723332,17.097731,0.01071244
Mn-Y-O,Mn,Y,O,Y2Mn3O9_1350656_POSCAR,35,local_max_drop,7.3455312,-0.44811854262831,-0.16686277095546023,-0.28125577167284976,5.771489,12.85468,0.02308933
Mn-Y-O,Mn,Y,O,YMn2O4_1045475_POSCAR,35,global_gradient_fallback,8.1739613841,-0.091133315482851,-0.05983331580738482,-0.031299999675466185,6.602046,15.404773,0.00705428
Mn-Y-O,Mn,Y,O,YMn2O4_1385591_POSCAR,35,local_max_drop,7.2042144219,-0.12810164274805,-0.06407901270103558,-0.06402263004701442,6.372959,13.577173,0.00873792
Mn-Y-O,Mn,Y,O,YMn2O4_1385844_POSCAR,35,local_max_drop,7.1824519157,-0.15289334348061,-0.06057545265850975,-0.09231789082210026,6.156387,12.569291,0.00932357
Mn-Y-O,Mn,Y,O,YMn2O5_510598_POSCAR,35,local_max_drop,7.954998044,-0.28193576339438,-0.11920602892301024,-0.16272973447136974,7.102677,13.921247,0.01605566
Mn-Y-O,Mn,Y,O,YMn3O6_1045064_POSCAR,35,local_max_drop,8.4395114543,-0.29110938380198,-0.1343529446304763,-0.15675643917150367,6.25149,15.31615,0.01606644
Mn-Y-O,Mn,Y,O,YMnO3_1434307_POSCAR,35,global_gradient_fallback,5.0339315,-0.048220054554997,-0.032442207407864715,-0.015777847147132283,4.646706,9.487025,0.00647443
Mn-Y-O,Mn,Y,O,YMnO3_19227_POSCAR,35,global_gradient_fallback,4.8357903015,-0.076281016801074,-0.04138352388726172,-0.034897492913812285,4.119377,8.776064,0.00873536
Mn-Y-O,Mn,Y,O,YMnO3_19385_POSCAR,35,local_max_drop,8.9000851955,-0.25828243550879,-0.10274992234082667,-0.15553251316796332,7.672487,15.038075,0.0132819
Mn-Y-O,Mn,Y,O,YMnO3_20699_POSCAR,35,local_max_drop,7.4707234,-0.21309328696624,-0.07751929999914264,-0.13557398696709735,6.670289,13.073766,0.01121296
