chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Ti-Y-O,Ti,Y,O,Y16Ti16O35_685259_POSCAR,35,local_max_drop,10.1077793366,-0.78062988481307,-0.2530497641884767,-0.5275801206245934,8.713603,17.078662,0.02827343
Ti-Y-O,Ti,Y,O,Y2Ti2O7_1173093_POSCAR,35,local_max_drop,11.153679,-0.29824877963348,-0.1340878415151575,-0.1641609381183225,9.294733,18.217676,0.0148347
Ti-Y-O,Ti,Y,O,Y2Ti2O7_5373_POSCAR,35,local_max_drop,8.9698274191,-0.19734779666843,-0.07725374118288102,-0.12009405548554898,7.73261,15.155915,0.00977348
Ti-Y-O,Ti,Y,O,Y2Ti2O7_685370_POSCAR,35,local_max_drop,10.3884041213,-0.75354918061213,-0.30344339158597433,-0.4501057890261557,8.955521,17.552821,0.03358054
Ti-Y-O,Ti,Y,O,Y2Ti2O7_686019_POSCAR,35,local_max_drop,10.6784686868,-0.30977224086995,-0.14001434018802536,-0.16975790068192462,9.205576,18.04293,0.01504092
Ti-Y-O,Ti,Y,O,Y2Ti3O9_1365383_POSCAR,35,local_max_drop,7.69359705,-0.45683176011043,-0.17138801857598848,-0.2854437415344415,6.632411,12.999526,0.0241504
Ti-Y-O,Ti,Y,O,Y2TiO5_17559_POSCAR,35,local_max_drop,5.527729695,-0.24650241988728,-0.09541880362779667,-0.15108361625948333,4.606441,9.028625,0.02064729
Ti-Y-O,Ti,Y,O,YTi2O4_1045347_POSCAR,35,local_max_drop,8.0884963372,-0.14653590896805,-0.048445572152997725,-0.09809033681505228,7.251755,13.66677,0.00653043
Ti-Y-O,Ti,Y,O,YTi2O4_1045424_POSCAR,35,local_max_drop,7.9911457851,-0.15566637661539,-0.044682736689801994,-0.11098363992558802,7.164476,13.502281,0.00556113
Ti-Y-O,Ti,Y,O,YTi2O4_1400462_POSCAR,35,local_max_drop,7.9253336102,-0.14472526583381,-0.05270491207575601,-0.09202035375805401,6.832184,13.391081,0.00752939
Ti-Y-O,Ti,Y,O,YTi2O4_1409276_POSCAR,35,local_max_drop,7.2823092137,-0.17330436033825,-0.05686417413502866,-0.11644018620322134,6.502062,12.744041,0.0081844
Ti-Y-O,Ti,Y,O,YTi3O6_1045032_POSCAR,35,local_max_drop,8.7588964123,-0.34998592082395,-0.132196988896339,-0.21778893192761103,7.550773,14.799515,0.01662601
Ti-Y-O,Ti,Y,O,YTiO3_1342458_POSCAR,35,local_max_drop,8.834892543,-0.29056955566345,-0.10086403785904265,-0.18970551780440736,7.616287,14.927922,0.01277298
Ti-Y-O,Ti,Y,O,YTiO3_1443298_POSCAR,35,local_max_drop,5.1068422175,-0.094752296236224,-0.03414041448205342,-0.06061188175417058,4.40245,8.628802,0.00755708
Ti-Y-O,Ti,Y,O,YTiO3_4355_POSCAR,35,local_max_drop,7.7541737,-0.22239141424253,-0.07487617166204934,-0.14751524258048065,6.684633,13.10188,0.01076782
