chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
V-Zn-O,V,Zn,O,V2ZnO4_1040983_POSCAR,35,local_max_drop,8.4957166,-0.32875558558303,-0.15591511726594062,-0.17284046831708935,7.282043,14.867504,0.02018031
V-Zn-O,V,Zn,O,V2ZnO4_1041630_POSCAR,35,local_max_drop,4.1775076,-0.24548181432147,-0.11906768190838982,-0.1264141324130802,3.580721,7.310638,0.03187751
V-Zn-O,V,Zn,O,V2ZnO4_1045535_POSCAR,35,local_max_drop,7.4001652981,-0.11548919303188,-0.048394867388639275,-0.06709432564324072,6.342999,12.950289,0.00695377
V-Zn-O,V,Zn,O,V2ZnO4_1047669_POSCAR,35,local_max_drop,7.160463716,-0.12325455412657,-0.05927514037915908,-0.06397941374741092,6.13754,12.530812,0.00923574
V-Zn-O,V,Zn,O,V2ZnO4_1048867_POSCAR,35,local_max_drop,8.493893268,-0.32607238982115,-0.1537029191382388,-0.1723694706829112,7.28048,14.864313,0.01979196
V-Zn-O,V,Zn,O,V2ZnO4_1048892_POSCAR,35,local_max_drop,7.3706719417,-0.22071188099335,-0.1051460127220811,-0.11556586827126891,6.317719,12.898676,0.01577909
V-Zn-O,V,Zn,O,V2ZnO4_1332646_POSCAR,35,local_max_drop,8.5297394439,-0.33302349605263,-0.16190734944938692,-0.17111614660324306,7.311205,14.927044,0.0212442
V-Zn-O,V,Zn,O,V2ZnO4_1335777_POSCAR,35,local_max_drop,4.1618808,-0.24985980973221,-0.12246289866650367,-0.12739691106570633,3.418688,7.283291,0.03308342
V-Zn-O,V,Zn,O,V2ZnO4_1365501_POSCAR,35,local_max_drop,8.4348042643,-0.44326581254177,-0.214415035566659,-0.228850776975111,7.229832,14.760907,0.02837292
V-Zn-O,V,Zn,O,V2ZnO4_1372314_POSCAR,35,local_max_drop,7.2638706,-0.22009711004615,-0.09674565048684167,-0.12335145955930835,6.226175,12.711774,0.0141859
V-Zn-O,V,Zn,O,V2ZnO4_1396989_POSCAR,35,global_gradient_fallback,7.8522633435,-0.066601877851562,-0.06319019607096223,-0.003411681780599779,7.571825,13.741461,0.00892751
V-Zn-O,V,Zn,O,V3ZnO7_1044293_POSCAR,35,local_max_drop,8.110731,-0.18012889573085,-0.10206648125344912,-0.07806241447740088,7.570016,13.247527,0.01511367
V-Zn-O,V,Zn,O,V4ZnO6_1043021_POSCAR,35,local_max_drop,7.1188552755,-0.23395994059159,-0.09823502090804061,-0.13572491968354938,6.327871,12.919404,0.01399502
V-Zn-O,V,Zn,O,V4ZnO8_1048588_POSCAR,35,global_gradient_fallback,7.6924010754,-0.047727778508513,-0.046753116063116634,-0.0009746624453963668,6.593487,13.461702,0.00657618
V-Zn-O,V,Zn,O,V4ZnO8_1391777_POSCAR,35,global_gradient_fallback,7.2618923064,-0.066520894596573,-0.0410254956872026,-0.025495398909370394,6.743186,12.708312,0.0058184
V-Zn-O,V,Zn,O,V4ZnO9_1041384_POSCAR,35,global_gradient_fallback,7.23606985,-0.097667083775444,-0.07945172316060178,-0.01821536061484222,6.487511,12.226463,0.01276499
V-Zn-O,V,Zn,O,V5ZnO7_1378207_POSCAR,35,local_max_drop,7.1838228645,-0.29849268637273,-0.1171963474040824,-0.1812963389686476,6.38562,13.037308,0.01647412
V-Zn-O,V,Zn,O,V8ZnO24_1199959_POSCAR,35,local_max_drop,12.4206914815,-0.14655579818503,-0.07933740502168182,-0.06721839316334818,11.619357,19.632706,0.00675985
V-Zn-O,V,Zn,O,VZnO2_1379702_POSCAR,35,local_max_drop,4.0599201389,-0.13960464668912,-0.06941949999346106,-0.07018514669565895,3.759185,7.368003,0.01786483
V-Zn-O,V,Zn,O,VZnO2_1393942_POSCAR,35,local_max_drop,4.2266407299,-0.11370351782965,-0.05354998117994107,-0.06015353664970893,3.622835,7.396621,0.01391707
V-Zn-O,V,Zn,O,VZnO2_1445974_POSCAR,35,local_max_drop,7.7681301988,-0.14910657894714,-0.07445069441604218,-0.07465588453109781,7.192713,14.097718,0.01011234
