source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681,0.0000000000,read,real,scaling,value,N/A
Co15O28_766681_POSCAR,6.5995794066,10.1001,3.9617,118.2863,10.3708,-2.2977953614906E-01
Co15O28_766681_POSCAR,6.2329361062,11.2876,4.1658,118.2863,10.3708,-2.7974064869067E-01
Co15O28_766681_POSCAR,5.4996495055,12.8209,4.9609,118.2863,10.3708,-4.2517215356908E-01
Co15O28_766681_POSCAR,5.8662928059,12.0948,4.4284,118.2863,10.3708,-3.4611348219032E-01
Co15O28_766681_POSCAR,6.9662227070,8.6325,3.6913,118.2863,10.3708,-1.9295193274849E-01
Co15O28_766681_POSCAR,7.3328660073,7.1878,3.2801,118.2863,10.3708,-1.6499011840821E-01
Co15O28_766681_POSCAR,7.6995093077,5.8446,2.7191,118.2863,10.3709,-1.3984278674424E-01
Co15O28_766681_POSCAR,8.0661526081,4.5207,2.0692,148.0657,10.3931,-1.3356375823695E-01
Co15O28_766681_POSCAR,8.7994392088,2.1748,0.9402,178.6286,12.8560,-1.3164662552866E-01
Co15O28_766681_POSCAR,8.4327959084,3.2484,1.4429,148.0702,11.7795,-1.2174564420928E-01
Co15O28_766681_POSCAR,9.1660825092,1.3907,0.5906,186.7007,13.6409,-1.2703964695424E-01
