source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884,0.0000000000,read,real,scaling,value,N/A
Mo13O33_1221884_POSCAR,2.9052995746,12.3717,3.6307,337.1075,10.3708,-5.4246102133290E-01
Mo13O33_1221884_POSCAR,3.2926728512,9.2014,3.1444,337.1075,10.3708,-3.7535754181153E-01
Mo13O33_1221884_POSCAR,3.4863594895,7.8361,3.0603,337.1075,10.3708,-3.1283506524772E-01
Mo13O33_1221884_POSCAR,3.0989862129,10.8286,3.2951,337.1075,10.3708,-4.5379211403913E-01
Mo13O33_1221884_POSCAR,3.6800461278,6.9320,2.9830,337.1075,10.3708,-2.6992254841547E-01
Mo13O33_1221884_POSCAR,3.8737327661,6.3480,2.8654,502.0041,10.3708,-2.3876545966526E-01
Mo13O33_1221884_POSCAR,4.2611060427,5.3620,2.3467,502.0073,10.3733,-2.1322324467211E-01
Mo13O33_1221884_POSCAR,4.0674194044,5.8724,2.6620,502.0073,10.3710,-2.3765553350659E-01
Mo13O33_1221884_POSCAR,4.8421659576,3.3068,1.0597,502.0073,12.7625,-1.4418352785156E-01
Mo13O33_1221884_POSCAR,4.6484793193,4.0589,1.4831,502.0073,11.5844,-1.6297175133737E-01
Mo13O33_1221884_POSCAR,4.4547926810,4.7572,1.9353,502.0073,10.4344,-1.8504887310002E-01
Mo13O33_1221884_POSCAR,5.0358525959,2.5606,0.7166,502.0073,13.1876,-1.2607140686593E-01
Mo13O33_1221884_POSCAR,5.2295392342,1.8842,0.4691,502.0075,14.2629,-1.1216088801400E-01
Mo13O33_1221884_POSCAR,5.6169125108,0.9063,0.1975,741.7843,15.2632,-1.2363746190676E-01
Mo13O33_1221884_POSCAR,5.4232258725,1.3267,0.3037,503.1302,15.0018,-1.0663394053985E-01
Mo13O33_1221884_POSCAR,5.8105991491,0.6103,0.1302,844.4127,15.3582,-1.1695899276166E-01
Mo13O33_1221884_POSCAR,6.0042857874,0.4106,0.0874,845.8302,15.3990,-1.1005794833024E-01
Mo13O33_1221884_POSCAR,6.3916590640,0.1915,0.0419,845.8950,15.4305,-9.6427411675195E-02
Mo13O33_1221884_POSCAR,6.1979724257,0.2785,0.0599,845.8886,15.4193,-1.0301736349096E-01
Mo13O33_1221884_POSCAR,6.5853457023,0.1338,0.0299,845.8963,15.4372,-8.9910083381023E-02
Mo13O33_1221884_POSCAR,6.9727189789,0.0688,0.0161,845.8969,15.4442,-7.6785633269457E-02
Mo13O33_1221884_POSCAR,6.7790323406,0.0951,0.0217,845.8967,15.4414,-8.3347966595204E-02
Mo13O33_1221884_POSCAR,7.1664056172,0.0506,0.0121,845.8970,15.4461,-7.0337539999094E-02
Mo13O33_1221884_POSCAR,7.3600922555,0.0378,0.0093,845.8970,15.4474,-6.4124024732100E-02
Mo13O33_1221884_POSCAR,7.5537788938,0.0287,0.0072,845.8970,15.4483,-5.8241309521422E-02
Mo13O33_1221884_POSCAR,7.7474655321,0.0221,0.0057,845.8970,15.4490,-5.2758331094269E-02
Mo13O33_1221884_POSCAR,7.9411521704,0.0172,0.0045,845.8971,15.4495,-4.7707901184299E-02
Mo13O33_1221884_POSCAR,8.1348388088,0.0136,0.0036,845.8971,15.4499,-4.3089284686777E-02
Mo13O33_1221884_POSCAR,8.3285254471,0.0109,0.0030,845.8971,15.4502,-3.8875920766482E-02
Mo13O33_1221884_POSCAR,8.5222120854,0.0088,0.0024,845.8971,15.4504,-3.5035405469662E-02
Mo13O33_1221884_POSCAR,8.7158987237,0.0071,0.0020,845.8971,15.4506,-3.1533255211350E-02
Mo13O33_1221884_POSCAR,8.9095853620,0.0059,0.0017,845.8971,15.4507,-2.8338860905824E-02
Mo13O33_1221884_POSCAR,9.1032720003,0.0049,0.0014,845.8971,15.4508,-2.5426554597930E-02
Mo13O33_1221884_POSCAR,9.2969586386,0.0041,0.0012,845.8971,15.4509,-2.2775491056108E-02
Mo13O33_1221884_POSCAR,9.4906452769,0.0034,0.0010,845.8971,15.4510,-2.0371561812816E-02
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
Mo17O47_285,0.0000000000,read,real,scaling,value,N/A
