source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257,0.0000000000,read,real,scaling,value,N/A
Mo15S19_31257_POSCAR,7.4359249920,12.9689,8.1231,337.1075,125.8109,-1.2725484465422E+00
Mo15S19_31257_POSCAR,7.9006703040,11.7060,5.6694,337.1075,125.8109,-1.0611115665263E+00
Mo15S19_31257_POSCAR,6.9711796800,14.9682,11.7584,337.1075,125.8109,-1.5450909099774E+00
Mo15S19_31257_POSCAR,8.3654156160,10.9007,4.3425,337.1075,125.8109,-8.8882213732769E-01
Mo15S19_31257_POSCAR,8.8301609280,10.3781,3.6771,337.1075,125.8109,-7.4566582055967E-01
Mo15S19_31257_POSCAR,9.7596515520,9.3342,3.0674,337.1075,125.8109,-5.2917957177549E-01
Mo15S19_31257_POSCAR,9.2949062400,9.9299,3.3192,337.1075,125.8109,-6.2713242027042E-01
Mo15S19_31257_POSCAR,10.2243968640,8.3959,2.7996,337.1075,125.8111,-4.4817181513879E-01
Mo15S19_31257_POSCAR,10.6891421760,7.0451,2.4407,337.1075,125.8136,-4.4341294575978E-01
Mo15S19_31257_POSCAR,12.0833781120,2.6054,1.0252,502.0073,130.9178,-3.5572156172003E-01
Mo15S19_31257_POSCAR,11.6186328000,3.8754,1.4754,502.0073,128.5684,-3.7371545020701E-01
Mo15S19_31257_POSCAR,11.1538874880,5.4364,1.9781,502.0073,125.9161,-4.1013795819840E-01
Mo15S19_31257_POSCAR,12.5481234240,1.6959,0.6810,502.0109,131.5531,-3.4711550123499E-01
Mo15S19_31257_POSCAR,13.0128687360,1.0934,0.4439,539.7780,132.8122,-3.9610217990973E-01
Mo15S19_31257_POSCAR,13.9423593600,0.4664,0.1907,845.7377,133.7640,-4.7614773016349E-01
Mo15S19_31257_POSCAR,13.4776140480,0.7090,0.2893,839.1207,133.5215,-4.7916344269779E-01
Mo15S19_31257_POSCAR,14.8718499840,0.2138,0.0876,845.8940,133.8948,-4.3168154225920E-01
Mo15S19_31257_POSCAR,14.4071046720,0.3126,0.1280,845.8826,133.8546,-4.6007667065403E-01
Mo15S19_31257_POSCAR,15.3365952960,0.1493,0.0611,845.8960,133.9154,-3.9482454184204E-01
Mo15S19_31257_POSCAR,15.8013406080,0.1063,0.0436,845.8966,133.9270,-3.5489704404736E-01
Mo15S19_31257_POSCAR,16.2660859200,0.0771,0.0316,845.8968,133.9340,-3.1626429769489E-01
Mo15S19_31257_POSCAR,16.7308312320,0.0569,0.0234,845.8969,133.9385,-2.8120038877428E-01
Mo15S19_31257_POSCAR,17.6603218560,0.0325,0.0134,845.8970,133.9436,-2.2283483096527E-01
Mo15S19_31257_POSCAR,17.1955765440,0.0427,0.0176,845.8970,133.9415,-2.5021091866586E-01
Mo15S19_31257_POSCAR,18.1250671680,0.0251,0.0104,845.8970,133.9451,-1.9834524117604E-01
Mo15S19_31257_POSCAR,18.5898124800,0.0196,0.0082,845.8970,133.9461,-1.7615962036648E-01
Mo15S19_31257_POSCAR,19.0545577920,0.0155,0.0065,845.8971,133.9469,-1.5594346767012E-01
Mo15S19_31257_POSCAR,19.5193031040,0.0125,0.0053,845.8971,133.9475,-1.3755919880511E-01
Mo15S19_31257_POSCAR,19.9840484160,0.0101,0.0043,845.8971,133.9479,-1.2096266286953E-01
Mo15S19_31257_POSCAR,20.9135390400,0.0068,0.0029,845.8971,133.9485,-9.2974404648820E-02
Mo15S19_31257_POSCAR,20.4487937280,0.0083,0.0035,845.8971,133.9483,-1.0612005714402E-01
Mo15S19_31257_POSCAR,21.3782843520,0.0057,0.0025,845.8971,133.9488,-8.1418632716185E-02
Mo15S19_31257_POSCAR,21.8430296640,0.0047,0.0021,845.8971,133.9489,-7.1319593658142E-02
Mo15S19_31257_POSCAR,22.3077749760,0.0040,0.0018,845.8971,133.9491,-6.2531776638304E-02
Mo15S19_31257_POSCAR,22.7725202880,0.0034,0.0015,845.8971,133.9492,-5.4899850656075E-02
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
Mo21S8_1210708,0.0000000000,read,real,scaling,value,N/A
