source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991,0.0000000000,read,real,scaling,value,N/A
Rh17S15_21991_POSCAR,7.4593980000,16.9751,15.5952,244.6586,125.8109,-2.0979068886570E+00
Rh17S15_21991_POSCAR,7.9566912000,13.0739,12.2036,244.6586,125.8109,-1.7081042881171E+00
Rh17S15_21991_POSCAR,8.9512776000,9.5373,7.2901,244.6586,125.8109,-1.2503645675255E+00
Rh17S15_21991_POSCAR,8.4539844000,10.8455,9.2699,244.6586,125.8109,-1.4398604260126E+00
Rh17S15_21991_POSCAR,9.9458640000,7.3540,5.4898,244.6586,125.8109,-9.3551410102707E-01
Rh17S15_21991_POSCAR,9.4485708000,8.4760,6.1550,244.6586,125.8109,-1.0897454323794E+00
Rh17S15_21991_POSCAR,10.4431572000,6.1668,4.9754,244.6586,125.8109,-7.9642319386838E-01
