source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785,0.0000000000,read,real,scaling,value,N/A
RuO2_1008785_POSCAR,2.2307986871,20.5094,5.7621,239.0071,10.3708,-5.4393562247990E-02
RuO2_1008785_POSCAR,2.5282385120,15.7736,4.3737,239.0071,10.3708,-3.7653364157293E-02
RuO2_1008785_POSCAR,2.3795185996,18.4825,4.8160,239.0071,10.3708,-4.5535905158206E-02
RuO2_1008785_POSCAR,2.6769584245,12.8175,4.1235,239.0071,10.3708,-3.0668533664264E-02
RuO2_1008785_POSCAR,2.8256783370,10.3730,3.8846,239.0071,10.3708,-2.5581261902020E-02
RuO2_1008785_POSCAR,2.9743982495,8.4619,3.5260,239.0071,10.3708,-2.2356246402054E-02
RuO2_1008785_POSCAR,3.2718380744,4.9409,2.2563,379.2655,10.3758,-2.5438835509045E-02
RuO2_1008785_POSCAR,3.1231181619,6.7035,2.9687,239.0071,10.3708,-2.0254783553208E-02
RuO2_1008785_POSCAR,3.4205579869,3.3516,1.5516,379.2655,11.2587,-2.3448648756980E-02
RuO2_1008785_POSCAR,3.7179978118,1.3304,0.6184,379.7233,13.5194,-1.8556877134319E-02
RuO2_1008785_POSCAR,3.5692778993,2.1403,0.9953,379.2655,12.8134,-2.1217010221187E-02
RuO2_1008785_POSCAR,3.8667177243,0.8262,0.3829,553.3522,14.6934,-2.1436673411219E-02
RuO2_1008785_POSCAR,4.3128774617,0.2219,0.1013,598.1918,15.3871,-1.6573444811846E-02
RuO2_1008785_POSCAR,4.4615973742,0.1504,0.0683,598.1964,15.4136,-1.5219871907020E-02
RuO2_1008785_POSCAR,4.1641575492,0.3357,0.1541,598.1606,15.3293,-1.8139770658509E-02
RuO2_1008785_POSCAR,4.0154376368,0.5208,0.2403,597.6019,15.1769,-2.0119448999946E-02
RuO2_1008785_POSCAR,4.6103172867,0.1044,0.0472,598.1976,15.4274,-1.3910183005016E-02
RuO2_1008785_POSCAR,4.9077571116,0.0539,0.0241,598.1982,15.4402,-1.1201824092445E-02
RuO2_1008785_POSCAR,4.7590371991,0.0742,0.0333,598.1980,15.4354,-1.2565831581322E-02
RuO2_1008785_POSCAR,5.0564770241,0.0400,0.0178,598.1983,15.4434,-9.8878606595615E-03
RuO2_1008785_POSCAR,5.5026367615,0.0179,0.0079,598.1985,15.4480,-6.7549146398264E-03
RuO2_1008785_POSCAR,5.3539168490,0.0230,0.0102,598.1984,15.4469,-7.6486203550881E-03
RuO2_1008785_POSCAR,5.2051969365,0.0300,0.0133,598.1984,15.4455,-8.6922928408013E-03
RuO2_1008785_POSCAR,5.6513566740,0.0141,0.0062,598.1985,15.4487,-5.9891503818162E-03
RuO2_1008785_POSCAR,5.9487964989,0.0092,0.0040,598.1985,15.4497,-4.7276419295685E-03
RuO2_1008785_POSCAR,6.2462363239,0.0062,0.0027,598.1985,15.4503,-3.7082638044083E-03
RuO2_1008785_POSCAR,6.0975164114,0.0075,0.0033,598.1985,15.4500,-4.1925871031163E-03
RuO2_1008785_POSCAR,5.8000765864,0.0113,0.0050,598.1985,15.4493,-5.3214256035094E-03
RuO2_1008785_POSCAR,6.3949562363,0.0052,0.0023,598.1985,15.4505,-3.2705048947362E-03
RuO2_1008785_POSCAR,6.5436761488,0.0044,0.0019,598.1985,15.4506,-2.8784011938074E-03
RuO2_1008785_POSCAR,6.6923960613,0.0037,0.0016,598.1985,15.4507,-2.5295807356471E-03
RuO2_1008785_POSCAR,6.8411159737,0.0032,0.0014,598.1985,15.4508,-2.2219492844290E-03
RuO2_1008785_POSCAR,6.9898358862,0.0027,0.0012,598.1985,15.4509,-1.9521755923096E-03
RuO2_1008785_POSCAR,7.1385557987,0.0023,0.0010,598.1985,15.4510,-1.7161307407080E-03
RuO2_1008785_POSCAR,7.2872757112,0.0021,0.0009,598.1985,15.4510,-1.5107060739473E-03
RuO2_825,0.0000000000,read,real,scaling,value,N/A
