source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030,0.0000000000,read,real,scaling,value,N/A
RuS2_2030_POSCAR,4.2229572900,18.8055,16.8790,239.0071,125.8109,-3.2994231585124E-01
RuS2_2030_POSCAR,5.0675487480,8.0480,6.9913,239.0071,125.8109,-1.8640092394824E-01
RuS2_2030_POSCAR,4.7860182620,10.0612,9.4992,239.0071,125.8109,-2.1798364114888E-01
RuS2_2030_POSCAR,4.5044877760,13.6665,13.0812,239.0071,125.8109,-2.6471647573380E-01
RuS2_2030_POSCAR,5.3490792340,7.0028,5.5424,239.0071,125.8109,-1.6483562319319E-01
RuS2_2030_POSCAR,5.6306097200,6.3917,4.7344,239.0071,125.8109,-1.4731483120394E-01
RuS2_2030_POSCAR,5.9121402060,5.8776,4.1976,239.0071,125.8109,-1.3023739736138E-01
RuS2_2030_POSCAR,6.1936706920,5.2438,3.6921,379.1573,125.8109,-1.4073890058364E-01
