source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946,0.0000000000,read,real,scaling,value,N/A
Sc16O15_759946_POSCAR,4.8563304378,21.6462,6.7374,313.9846,10.3708,-5.6182808875118E-01
Sc16O15_759946_POSCAR,5.4633717425,17.9681,6.1404,313.9846,10.3708,-3.8151086309187E-01
Sc16O15_759946_POSCAR,4.5528097854,25.4617,7.5973,313.9846,10.3708,-6.7323838742350E-01
Sc16O15_759946_POSCAR,5.1598510902,19.3474,6.3490,313.9846,10.3708,-4.6268273583885E-01
Sc16O15_759946_POSCAR,5.7668923949,16.8677,5.9561,313.9846,10.3708,-3.1710085584635E-01
Sc16O15_759946_POSCAR,6.0704130473,15.4594,5.6740,313.9846,10.3708,-2.6327786765104E-01
Sc16O15_759946_POSCAR,6.3739336996,13.3356,5.1707,313.9846,10.3708,-2.1852996187021E-01
Sc16O15_759946_POSCAR,6.6774543520,10.5193,4.3727,313.9846,10.3708,-1.8440894286327E-01
Sc16O15_759946_POSCAR,7.5880163091,3.1768,1.5418,313.9977,11.3035,-1.4140931646218E-01
Sc16O15_759946_POSCAR,6.9809750043,7.5393,3.3590,313.9846,10.3708,-1.6111638952662E-01
Sc16O15_759946_POSCAR,7.8915369614,1.9860,0.9785,324.0941,12.8261,-1.4234286864492E-01
Sc16O15_759946_POSCAR,7.2844956567,5.0047,2.3518,313.9846,10.3732,-1.4695988728270E-01
Sc16O15_759946_POSCAR,8.1950576138,1.2481,0.6172,330.4889,13.5244,-1.3941226291377E-01
Sc16O15_759946_POSCAR,8.4985782662,0.7971,0.3932,1324.4537,14.6463,-4.0935937096310E-01
Sc16O15_759946_POSCAR,9.1056195709,0.3479,0.1692,1522.1788,15.3084,-4.3147150822193E-01
Sc16O15_759946_POSCAR,8.8020989185,0.5204,0.2551,1518.7033,15.1414,-4.7935847648775E-01
Sc16O15_759946_POSCAR,9.4091402232,0.2380,0.1147,1522.4114,15.3744,-3.8283207935417E-01
Sc16O15_759946_POSCAR,9.7126608756,0.1666,0.0796,1522.4482,15.4052,-3.3877063025496E-01
Sc16O15_759946_POSCAR,10.0161815280,0.1191,0.0564,1522.4581,15.4216,-2.9970820334336E-01
Sc16O15_759946_POSCAR,10.3197021803,0.0868,0.0408,1522.4617,15.4312,-2.6480920896200E-01
Sc16O15_759946_POSCAR,10.6232228327,0.0644,0.0300,1522.4634,15.4372,-2.3319773259141E-01
Sc16O15_759946_POSCAR,10.9267434851,0.0487,0.0225,1522.4643,15.4410,-2.0456544587121E-01
Sc16O15_759946_POSCAR,11.2302641374,0.0374,0.0172,1522.4648,15.4437,-1.7888266688591E-01
Sc16O15_759946_POSCAR,11.5337847898,0.0290,0.0133,1522.4651,15.4455,-1.5610692885638E-01
Sc16O15_759946_POSCAR,11.8373054421,0.0229,0.0104,1522.4653,15.4468,-1.3612945031183E-01
Sc16O15_759946_POSCAR,12.1408260945,0.0182,0.0083,1522.4655,15.4478,-1.1873244451793E-01
Sc16O15_759946_POSCAR,12.4443467469,0.0147,0.0066,1522.4656,15.4485,-1.0358991459792E-01
Sc16O15_759946_POSCAR,12.7478673992,0.0120,0.0054,1522.4657,15.4491,-9.0415874647626E-02
Sc16O15_759946_POSCAR,13.0513880516,0.0099,0.0044,1522.4657,15.4495,-7.8942334567045E-02
Sc16O15_759946_POSCAR,13.3549087040,0.0083,0.0037,1522.4658,15.4499,-6.8941085400627E-02
Sc16O15_759946_POSCAR,13.6584293563,0.0068,0.0031,1522.4658,15.4501,-6.0238955076324E-02
Sc16O15_759946_POSCAR,13.9619500087,0.0058,0.0026,1522.4658,15.4503,-5.2665966004403E-02
Sc16O15_759946_POSCAR,14.2654706611,0.0049,0.0022,1522.4659,15.4505,-4.6110120156731E-02
Sc16O15_759946_POSCAR,14.5689913134,0.0042,0.0018,1522.4659,15.4506,-4.0419262946952E-02
Sc16O15_759946_POSCAR,14.8725119658,0.0036,0.0016,1522.4659,15.4508,-3.5485208442381E-02
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697,0.0000000000,read,real,scaling,value,N/A
Sc20O19_684697_POSCAR,6.0251025346,26.3894,7.6257,313.9846,10.3708,-8.4809103778690E-01
Sc20O19_684697_POSCAR,6.4267760369,22.6422,6.7511,313.9846,10.3708,-7.0809827644391E-01
Sc20O19_684697_POSCAR,7.2301230415,18.9703,6.1434,313.9846,10.3708,-4.8131834621506E-01
Sc20O19_684697_POSCAR,6.8284495392,20.3574,6.3559,313.9846,10.3708,-5.8351705785199E-01
Sc20O19_684697_POSCAR,7.6317965438,17.8525,5.9559,313.9846,10.3708,-4.0017253926776E-01
Sc20O19_684697_POSCAR,8.4351435484,14.2248,5.1606,313.9846,10.3708,-2.7592136892202E-01
Sc20O19_684697_POSCAR,8.0334700461,16.4114,5.6696,313.9846,10.3708,-3.3236979470520E-01
Sc20O19_684697_POSCAR,8.8368170507,11.3013,4.3570,313.9846,10.3708,-2.3273102831549E-01
Sc20O19_684697_POSCAR,9.2384905530,8.1697,3.3413,313.9846,10.3708,-2.0310909441859E-01
Sc20O19_684697_POSCAR,10.0418375576,3.4891,1.5305,313.9856,11.3558,-1.7762144248969E-01
Sc20O19_684697_POSCAR,9.6401640553,5.4663,2.3365,313.9846,10.3735,-1.8498628312142E-01
Sc20O19_684697_POSCAR,10.4435110599,2.1878,0.9711,322.6238,12.8317,-1.7866293649555E-01
Sc20O19_684697_POSCAR,10.8451845622,1.3762,0.6125,325.3926,13.5442,-1.7488262277897E-01
Sc20O19_684697_POSCAR,11.6485315668,0.5731,0.2532,1514.2440,15.1461,-6.0177178216492E-01
Sc20O19_684697_POSCAR,11.2468580645,0.8787,0.3902,1033.9835,14.6600,-4.8444543171854E-01
Sc20O19_684697_POSCAR,12.0502050691,0.3826,0.1680,1521.9836,15.3102,-5.4261199043449E-01
Sc20O19_684697_POSCAR,12.4518785714,0.2613,0.1140,1522.3881,15.3752,-4.8176455209557E-01
Sc20O19_684697_POSCAR,12.8535520737,0.1826,0.0791,1522.4430,15.4056,-4.2646627734504E-01
Sc20O19_684697_POSCAR,13.2552255760,0.1303,0.0561,1522.4563,15.4218,-3.7738844230097E-01
Sc20O19_684697_POSCAR,13.6568990783,0.0948,0.0406,1522.4610,15.4313,-3.3354090386492E-01
Sc20O19_684697_POSCAR,14.0585725806,0.0703,0.0298,1522.4630,15.4372,-2.9383667225712E-01
Sc20O19_684697_POSCAR,14.4602460830,0.0530,0.0224,1522.4640,15.4411,-2.5788189720450E-01
Sc20O19_684697_POSCAR,14.8619195853,0.0406,0.0171,1522.4646,15.4437,-2.2558892692601E-01
Sc20O19_684697_POSCAR,15.2635930876,0.0315,0.0132,1522.4650,15.4455,-1.9694055569257E-01
Sc20O19_684697_POSCAR,16.0669400922,0.0197,0.0082,1522.4654,15.4478,-1.4988471593810E-01
Sc20O19_684697_POSCAR,15.6652665899,0.0248,0.0104,1522.4653,15.4469,-1.7179285908938E-01
Sc20O19_684697_POSCAR,16.4686135945,0.0159,0.0066,1522.4655,15.4486,-1.3079802777979E-01
Sc20O19_684697_POSCAR,16.8702870968,0.0130,0.0054,1522.4656,15.4491,-1.1419011102952E-01
Sc20O19_684697_POSCAR,17.2719605991,0.0107,0.0044,1522.4657,15.4495,-9.9721718688140E-02
Sc20O19_684697_POSCAR,17.6736341014,0.0089,0.0037,1522.4658,15.4499,-8.7105783384511E-02
Sc20O19_684697_POSCAR,18.0753076037,0.0074,0.0031,1522.4658,15.4501,-7.6124720032261E-02
Sc20O19_684697_POSCAR,18.4769811060,0.0062,0.0026,1522.4658,15.4503,-6.6573147238517E-02
Sc20O19_684697_POSCAR,19.2803281106,0.0045,0.0018,1522.4659,15.4506,-5.1098681213681E-02
Sc20O19_684697_POSCAR,18.8786546083,0.0053,0.0022,1522.4658,15.4505,-5.8286757688303E-02
Sc20O19_684697_POSCAR,19.6820016129,0.0039,0.0016,1522.4659,15.4508,-4.4864468686981E-02
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
Sc2O3_13060,0.0000000000,read,real,scaling,value,N/A
