source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978,0.0000000000,read,real,scaling,value,N/A
Sc29S42_684978_POSCAR,4.7640403331,18.1211,11.1372,313.9846,125.8109,-1.2970606545160E+00
Sc29S42_684978_POSCAR,5.3992457108,14.7237,5.7490,313.9846,125.8109,-8.4649524062159E-01
Sc29S42_684978_POSCAR,5.0816430219,16.1542,7.6093,313.9846,125.8109,-1.0314093293961E+00
Sc29S42_684978_POSCAR,5.7168483997,13.0649,4.8607,313.9846,125.8109,-7.2244822621351E-01
Sc29S42_684978_POSCAR,6.0344510885,11.0371,4.4184,313.9846,125.8109,-6.2874247843042E-01
Sc29S42_684978_POSCAR,6.3520537774,9.0487,4.1437,313.9846,125.8109,-5.4893762639202E-01
Sc29S42_684978_POSCAR,6.6696564663,7.4139,3.8778,313.9846,125.8109,-4.8035987165623E-01
Sc29S42_684978_POSCAR,6.9872591552,6.0510,3.5107,313.9846,125.8109,-4.2377880247309E-01
Sc29S42_684978_POSCAR,7.6224645329,3.5312,2.3284,313.9853,125.8175,-3.3274065892200E-01
Sc29S42_684978_POSCAR,8.2576699106,1.6197,1.1262,324.5098,130.7484,-2.6155838967876E-01
Sc29S42_684978_POSCAR,8.5752725995,1.0468,0.7336,438.7271,131.3814,-2.8230775441400E-01
Sc29S42_684978_POSCAR,7.3048618440,4.7685,2.9824,313.9846,125.8109,-3.7622809227533E-01
Sc29S42_684978_POSCAR,7.9400672218,2.4492,1.6711,317.5962,126.8102,-2.9481279377721E-01
Sc29S42_684978_POSCAR,8.8928752884,0.6748,0.4733,1485.8336,132.6402,-5.2072728758656E-01
Sc29S42_684978_POSCAR,9.2104779773,0.4396,0.3073,1521.3368,133.4605,-4.8027730550628E-01
Sc29S42_684978_POSCAR,9.8456833550,0.1972,0.1361,1522.4370,133.8449,-3.9531948866108E-01
Sc29S42_684978_POSCAR,9.5280806661,0.2914,0.2025,1522.3432,133.7423,-4.3447677183312E-01
Sc29S42_684978_POSCAR,10.1632860439,0.1364,0.0935,1522.4552,133.8897,-3.5924607481397E-01
Sc29S42_684978_POSCAR,10.4808887327,0.0962,0.0655,1522.4608,133.9123,-3.2404708575575E-01
Sc29S42_684978_POSCAR,10.7984914216,0.0693,0.0468,1522.4631,133.9250,-2.8938452969363E-01
Sc29S42_684978_POSCAR,11.1160941105,0.0509,0.0341,1522.4641,133.9326,-2.5618829879420E-01
Sc29S42_684978_POSCAR,11.4336967994,0.0380,0.0253,1522.4647,133.9375,-2.2569801615011E-01
Sc29S42_684978_POSCAR,11.7512994882,0.0289,0.0191,1522.4651,133.9408,-1.9865542838745E-01
Sc29S42_684978_POSCAR,12.0689021771,0.0223,0.0147,1522.4653,133.9430,-1.7519894278549E-01
Sc29S42_684978_POSCAR,13.3393129326,0.0089,0.0058,1522.4658,133.9473,-1.0848331437140E-01
Sc29S42_684978_POSCAR,12.3865048660,0.0174,0.0114,1522.4655,133.9446,-1.5501495599193E-01
Sc29S42_684978_POSCAR,13.6569156215,0.0073,0.0047,1522.4658,133.9477,-9.6226978658791E-02
Sc29S42_684978_POSCAR,13.0217102437,0.0110,0.0071,1522.4657,133.9466,-1.2215550333311E-01
Sc29S42_684978_POSCAR,12.7041075548,0.0138,0.0090,1522.4656,133.9457,-1.3751146891288E-01
Sc29S42_684978_POSCAR,13.9745183103,0.0060,0.0039,1522.4658,133.9481,-8.5215355581612E-02
Sc29S42_684978_POSCAR,14.2921209992,0.0050,0.0032,1522.4659,133.9484,-7.5315159380266E-02
Sc29S42_684978_POSCAR,14.6097236881,0.0042,0.0027,1522.4659,133.9487,-6.6489450649178E-02
Sc29S42_684978_POSCAR,15.2449290658,0.0031,0.0020,1522.4659,133.9490,-5.1720654933056E-02
Sc29S42_684978_POSCAR,14.9273263769,0.0036,0.0023,1522.4659,133.9488,-5.8657308742828E-02
Sc29S42_684978_POSCAR,15.5625317547,0.0026,0.0017,1522.4659,133.9491,-4.5636560286891E-02
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836,0.0000000000,read,real,scaling,value,N/A
Sc2S3_1105836_POSCAR,4.6472250000,19.5264,12.4022,313.9846,125.8109,-3.6748204038179E-01
Sc2S3_1105836_POSCAR,4.9570400000,16.5242,9.1507,313.9846,125.8109,-2.9938498713503E-01
Sc2S3_1105836_POSCAR,5.5766700000,11.5122,5.6416,313.9846,125.8109,-2.1683474761713E-01
Sc2S3_1105836_POSCAR,5.2668550000,13.8740,6.9797,313.9846,125.8109,-2.5115735862676E-01
Sc2S3_1105836_POSCAR,6.5061150000,6.4740,3.8676,313.9846,125.8109,-1.4655232141360E-01
Sc2S3_1105836_POSCAR,5.8864850000,9.5000,4.8352,313.9846,125.8109,-1.9012060074217E-01
Sc2S3_1105836_POSCAR,6.1963000000,7.8523,4.3116,313.9846,125.8109,-1.6728577263617E-01
Sc2S3_1105836_POSCAR,6.8159300000,5.2021,3.3711,313.9846,125.8109,-1.2761569061608E-01
Sc2S3_1105836_POSCAR,7.4355600000,2.8198,2.1387,314.2319,125.8406,-9.6236393295599E-02
Sc2S3_1105836_POSCAR,7.1257450000,3.9610,2.7805,313.9846,125.8111,-1.1083647433198E-01
Sc2S3_1105836_POSCAR,8.0551900000,1.2251,1.0405,332.9215,130.8971,-7.5506739934091E-02
Sc2S3_1105836_POSCAR,7.7453750000,1.8926,1.5338,324.3129,127.9687,-8.4917148303316E-02
Sc2S3_1105836_POSCAR,8.9846350000,0.3286,0.2890,1522.2509,133.5224,-1.2575690129484E-01
Sc2S3_1105836_POSCAR,9.2944500000,0.2189,0.1911,1522.4254,133.7633,-1.1326111702473E-01
Sc2S3_1105836_POSCAR,9.6042650000,0.1490,0.1287,1522.4527,133.8537,-1.0267102197390E-01
Sc2S3_1105836_POSCAR,8.3650050000,0.7834,0.6830,1356.4202,131.5457,-9.9858780870972E-02
Sc2S3_1105836_POSCAR,8.6748200000,0.5035,0.4433,1519.5405,132.8156,-1.3466562799008E-01
Sc2S3_1105836_POSCAR,9.9140800000,0.1038,0.0885,1522.4600,133.8940,-9.3070689531569E-02
Sc2S3_1105836_POSCAR,10.8435250000,0.0396,0.0325,1522.4647,133.9335,-6.6459460221771E-02
Sc2S3_1105836_POSCAR,11.4631550000,0.0228,0.0182,1522.4653,133.9412,-5.1731665818056E-02
Sc2S3_1105836_POSCAR,10.2238950000,0.0738,0.0621,1522.4627,133.9147,-8.3877602705968E-02
Sc2S3_1105836_POSCAR,11.1533400000,0.0298,0.0241,1522.4651,133.9381,-5.8661627529288E-02
Sc2S3_1105836_POSCAR,10.5337100000,0.0535,0.0445,1522.4640,133.9264,-7.4949597612065E-02
Sc2S3_1105836_POSCAR,11.7729700000,0.0177,0.0140,1522.4655,133.9433,-4.5694440548126E-02
Sc2S3_1105836_POSCAR,12.0827850000,0.0139,0.0109,1522.4656,133.9448,-4.0472403919966E-02
Sc2S3_1105836_POSCAR,12.3926000000,0.0111,0.0086,1522.4657,133.9459,-3.5930994280191E-02
Sc2S3_1105836_POSCAR,12.7024150000,0.0089,0.0069,1522.4658,133.9467,-3.1931775461665E-02
Sc2S3_1105836_POSCAR,13.0122300000,0.0073,0.0056,1522.4658,133.9473,-2.8369263971281E-02
Sc2S3_1105836_POSCAR,13.3220450000,0.0059,0.0045,1522.4658,133.9478,-2.5169967075642E-02
Sc2S3_1105836_POSCAR,13.6318600000,0.0049,0.0038,1522.4659,133.9482,-2.2293121963828E-02
Sc2S3_1105836_POSCAR,13.9416750000,0.0041,0.0031,1522.4659,133.9485,-1.9709847017072E-02
Sc2S3_1105836_POSCAR,15.1809350000,0.0022,0.0016,1522.4659,133.9491,-1.1953422457524E-02
Sc2S3_1105836_POSCAR,14.2514900000,0.0035,0.0026,1522.4659,133.9487,-1.7404473773042E-02
Sc2S3_1105836_POSCAR,14.5613050000,0.0030,0.0022,1522.4659,133.9489,-1.5355601876153E-02
Sc2S3_1105836_POSCAR,14.8711200000,0.0025,0.0019,1522.4659,133.9490,-1.3544930747605E-02
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401,0.0000000000,read,real,scaling,value,N/A
Sc2S3_401_POSCAR,4.7179700071,16.7231,10.8704,313.9846,125.8109,-3.5344659617599E-01
Sc2S3_401_POSCAR,5.6615640085,12.2211,4.8431,313.9846,125.8109,-1.9729966641051E-01
Sc2S3_401_POSCAR,5.3470326747,13.7183,5.7194,313.9846,125.8109,-2.3099540100857E-01
Sc2S3_401_POSCAR,5.0325013409,14.9988,7.5267,313.9846,125.8109,-2.8113612885234E-01
Sc2S3_401_POSCAR,5.9760953423,10.4018,4.4001,313.9846,125.8109,-1.7147631065157E-01
Sc2S3_401_POSCAR,6.2906266761,8.6395,4.1142,313.9846,125.8109,-1.4916993817876E-01
Sc2S3_401_POSCAR,6.6051580100,7.1997,3.8227,313.9846,125.8109,-1.2983463315308E-01
Sc2S3_401_POSCAR,6.9196893438,5.9832,3.4151,313.9846,125.8109,-1.1378982139171E-01
Sc2S3_401_POSCAR,7.5487520114,3.6022,2.1713,313.9850,125.8338,-8.8312917934454E-02
Sc2S3_401_POSCAR,7.2342206776,4.7963,2.8449,313.9846,125.8110,-1.0037566889174E-01
Sc2S3_401_POSCAR,7.8632833452,2.5224,1.5271,316.3141,128.0367,-7.7928671194513E-02
Sc2S3_401_POSCAR,8.1778146790,1.6766,1.0145,324.4840,130.9315,-6.9213504623394E-02
Sc2S3_401_POSCAR,8.8068773466,0.6996,0.4213,1470.1372,132.9390,-1.3385221607918E-01
Sc2S3_401_POSCAR,8.4923460128,1.0855,0.6554,390.3228,131.6540,-6.8505117417775E-02
Sc2S3_401_POSCAR,9.1214086804,0.4551,0.2734,1521.0427,133.5709,-1.2244571166848E-01
Sc2S3_401_POSCAR,9.4359400142,0.3010,0.1804,1522.3240,133.7817,-1.1137686571931E-01
Sc2S3_401_POSCAR,9.7504713480,0.2032,0.1215,1522.4342,133.8618,-1.0206312853583E-01
Sc2S3_401_POSCAR,10.3795340156,0.0986,0.0588,1522.4606,133.9170,-8.4813717289907E-02
Sc2S3_401_POSCAR,10.0650026818,0.1402,0.0837,1522.4545,133.8981,-9.3435561079162E-02
Sc2S3_401_POSCAR,10.6940653495,0.0708,0.0421,1522.4630,133.9279,-7.6076784160278E-02
Sc2S3_401_POSCAR,11.0085966833,0.0519,0.0308,1522.4641,133.9345,-6.7535105059614E-02
Sc2S3_401_POSCAR,11.3231280171,0.0387,0.0229,1522.4647,133.9388,-5.9601344617266E-02
Sc2S3_401_POSCAR,11.6376593509,0.0292,0.0173,1522.4651,133.9417,-5.2538352373046E-02
Sc2S3_401_POSCAR,11.9521906847,0.0225,0.0133,1522.4653,133.9436,-4.6416756357815E-02
Sc2S3_401_POSCAR,12.2667220185,0.0175,0.0104,1522.4655,133.9451,-4.1160769266921E-02
Sc2S3_401_POSCAR,13.2103160199,0.0089,0.0053,1522.4658,133.9475,-2.9007649040286E-02
Sc2S3_401_POSCAR,12.5812533523,0.0138,0.0082,1522.4656,133.9461,-3.6603772300722E-02
Sc2S3_401_POSCAR,12.8957846861,0.0110,0.0065,1522.4657,133.9469,-3.2594835846505E-02
