source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018,0.0000000000,read,real,scaling,value,N/A
Ta27S50_530018_POSCAR,8.8834298120,13.0148,6.5513,458.7677,125.8109,-1.2113693688495E+00
Ta27S50_530018_POSCAR,8.3608751172,14.3370,9.0480,458.7677,125.8109,-1.4884148536588E+00
Ta27S50_530018_POSCAR,7.8383204224,16.6032,12.2093,458.7677,125.8109,-1.8067308610028E+00
Ta27S50_530018_POSCAR,9.4059845068,12.1219,4.9310,458.7677,125.8109,-9.9347175307799E-01
Ta27S50_530018_POSCAR,9.9285392017,11.1936,4.0124,458.7677,125.8109,-8.3630111298485E-01
Ta27S50_530018_POSCAR,10.4510938965,10.0036,3.5056,458.7677,125.8109,-7.1808385947579E-01
Ta27S50_530018_POSCAR,10.9736485913,8.6252,3.1825,458.7677,125.8109,-6.1904762581308E-01
Ta27S50_530018_POSCAR,11.4962032861,7.2486,2.8913,458.7677,125.8110,-5.3309678821237E-01
Ta27S50_530018_POSCAR,12.0187579810,5.9329,2.5357,458.7677,125.8122,-4.6145766264949E-01
Ta27S50_530018_POSCAR,12.5413126758,4.6444,2.0830,458.7677,125.8571,-4.0539367737994E-01
Ta27S50_530018_POSCAR,13.0638673706,3.4204,1.5795,458.8544,127.5287,-3.6543262514806E-01
Ta27S50_530018_POSCAR,13.5864220654,2.3741,1.1138,571.1838,130.7747,-3.7348560656081E-01
Ta27S50_530018_POSCAR,14.6315314551,1.0337,0.4901,784.4095,132.5392,-3.8501428773437E-01
Ta27S50_530018_POSCAR,14.1089767602,1.5814,0.7475,659.4100,131.3433,-3.7613134071856E-01
