source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485,0.0000000000,read,real,scaling,value,N/A
Tc2O7_27485_POSCAR,4.4119507680,6.7279,1.4982,265.8654,11.5110,-2.6441169458925E-01
Tc2O7_27485_POSCAR,4.6876976910,5.5262,1.2456,646.0274,12.4984,-3.7474705355392E-01
Tc2O7_27485_POSCAR,4.9634446140,4.8162,1.1272,649.7143,12.6955,-3.2849132241241E-01
Tc2O7_27485_POSCAR,4.1362038450,8.6536,2.0177,265.8654,10.4042,-2.9832226136211E-01
Tc2O7_27485_POSCAR,5.2391915370,4.4321,1.0699,649.7143,12.7535,-2.8008605349832E-01
Tc2O7_27485_POSCAR,6.0664323060,3.9917,1.0063,649.7143,12.8051,-1.6510638658693E-01
Tc2O7_27485_POSCAR,5.5149384600,4.2269,1.0400,649.7143,12.7788,-2.3607933866055E-01
Tc2O7_27485_POSCAR,5.7906853830,4.1011,1.0217,649.7143,12.7932,-1.9794968701141E-01
Tc2O7_27485_POSCAR,6.3421792290,3.8500,0.9861,649.7143,12.8203,-1.3694860801724E-01
Tc2O7_27485_POSCAR,6.8936730750,3.3164,0.8947,649.7143,12.8960,-9.3898019153760E-02
Tc2O7_27485_POSCAR,6.6179261520,3.6343,0.9525,649.7143,12.8462,-1.1338092035519E-01
Tc2O7_27485_POSCAR,7.1694199980,2.8925,0.8039,649.7143,13.0078,-7.7718365460827E-02
Tc2O7_27485_POSCAR,7.4451669210,2.3885,0.6802,649.7143,13.2930,-6.5015015002603E-02
Tc2O7_27485_POSCAR,7.7209138440,1.8585,0.5379,649.7147,13.8984,-5.5494255889504E-02
Tc2O7_27485_POSCAR,7.9966607670,1.3687,0.3997,650.0002,14.6156,-4.8063742060878E-02
Tc2O7_27485_POSCAR,8.2724076900,0.9671,0.2837,702.9565,15.0639,-4.3564220190209E-02
Tc2O7_27485_POSCAR,8.8239015360,0.4560,0.1340,1063.9794,15.3539,-4.2934539472782E-02
Tc2O7_27485_POSCAR,9.0996484590,0.3124,0.0918,1066.5670,15.3954,-3.9852612837742E-02
Tc2O7_27485_POSCAR,8.5481546130,0.6670,0.1959,1021.3833,15.2659,-4.6566229810452E-02
Tc2O7_27485_POSCAR,9.3753953820,0.2160,0.0634,1066.8925,15.4170,-3.7942541573723E-02
Tc2O7_27485_POSCAR,9.6511423050,0.1513,0.0444,1066.9644,15.4291,-3.6891480113573E-02
Tc2O7_27485_POSCAR,9.9268892280,0.1076,0.0315,1066.9876,15.4363,-3.6345898518611E-02
Tc2O7_27485_POSCAR,10.2026361510,0.0777,0.0228,1066.9973,15.4409,-3.5968364404649E-02
Tc2O7_27485_POSCAR,10.4783830740,0.0570,0.0167,1067.0020,15.4439,-3.5471800677948E-02
Tc2O7_27485_POSCAR,10.7541299970,0.0424,0.0124,1067.0046,15.4459,-3.4643091830983E-02
Tc2O7_27485_POSCAR,11.3056238430,0.0245,0.0072,1067.0072,15.4483,-3.1708574955841E-02
Tc2O7_27485_POSCAR,11.0298769200,0.0320,0.0094,1067.0062,15.4473,-3.3381693913599E-02
Tc2O7_27485_POSCAR,11.5813707660,0.0190,0.0056,1067.0079,15.4490,-2.9744282357273E-02
Tc2O7_27485_POSCAR,12.4086115350,0.0095,0.0028,1067.0090,15.4502,-2.3588937749767E-02
Tc2O7_27485_POSCAR,11.8571176890,0.0149,0.0044,1067.0084,15.4495,-2.7649834901619E-02
Tc2O7_27485_POSCAR,12.6843584580,0.0077,0.0023,1067.0092,15.4505,-2.1760004701921E-02
Tc2O7_27485_POSCAR,12.1328646120,0.0118,0.0035,1067.0087,15.4499,-2.5566613138251E-02
Tc2O7_27485_POSCAR,12.9601053810,0.0063,0.0019,1067.0093,15.4506,-2.0082285141922E-02
Tc2O7_27485_POSCAR,13.5115992270,0.0043,0.0013,1067.0095,15.4509,-1.7099664387140E-02
Tc2O7_27485_POSCAR,13.2358523040,0.0052,0.0015,1067.0094,15.4508,-1.8537146641725E-02
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302,0.0000000000,read,real,scaling,value,N/A
TcO2_1205302_POSCAR,2.0550615750,17.5689,4.4248,265.8654,10.3708,-1.0326155743048E-01
TcO2_1205302_POSCAR,2.3290697850,12.1629,3.3261,265.8654,10.3708,-7.0461829182961E-02
TcO2_1205302_POSCAR,2.4660738900,10.2629,3.1589,265.8654,10.3708,-5.9117724902821E-02
TcO2_1205302_POSCAR,2.1920656800,14.7045,3.6689,265.8654,10.3708,-8.5433458578064E-02
TcO2_1205302_POSCAR,2.7400821000,8.1651,2.9350,265.8654,10.3708,-4.4450862750431E-02
TcO2_1205302_POSCAR,2.6030779950,9.0421,3.0517,265.8654,10.3708,-5.0832786328286E-02
TcO2_1205302_POSCAR,3.0140903100,6.1914,2.4408,265.8654,10.3720,-3.3782174836623E-02
TcO2_1205302_POSCAR,2.8770862050,7.2816,2.7484,265.8654,10.3709,-3.8950931430976E-02
TcO2_1205302_POSCAR,3.4251026250,2.4570,1.0508,649.7143,12.7700,-4.1182882731639E-02
TcO2_1205302_POSCAR,3.1510944150,4.9014,2.0057,649.7143,10.4075,-5.3522675085454E-02
TcO2_1205302_POSCAR,3.2880985200,3.5885,1.5092,649.7143,11.4577,-4.6735925485005E-02
TcO2_1205302_POSCAR,3.5621067300,1.6097,0.6943,649.7258,13.2497,-3.6222000835341E-02
TcO2_1205302_POSCAR,3.6991108350,1.0345,0.4475,673.1159,14.3769,-3.3715405118478E-02
TcO2_1205302_POSCAR,3.9731190450,0.4323,0.1865,1064.7981,15.2818,-3.9692344979905E-02
TcO2_1205302_POSCAR,3.8361149400,0.6648,0.2874,1022.5827,15.0527,-4.2095804073024E-02
TcO2_1205302_POSCAR,4.1101231500,0.2863,0.1231,1066.6992,15.3659,-3.6368696192062E-02
TcO2_1205302_POSCAR,4.2471272550,0.1937,0.0829,1066.9246,15.4026,-3.3313717691137E-02
TcO2_1205302_POSCAR,4.3841313600,0.1338,0.0571,1066.9754,15.4212,-3.0524091863839E-02
TcO2_1205302_POSCAR,4.5211354650,0.0945,0.0401,1066.9923,15.4316,-2.7915850055013E-02
TcO2_1205302_POSCAR,4.6581395700,0.0681,0.0288,1066.9996,15.4378,-2.5403366091003E-02
TcO2_1205302_POSCAR,4.7951436750,0.0500,0.0211,1067.0033,15.4417,-2.2950683054218E-02
TcO2_1205302_POSCAR,4.9321477800,0.0374,0.0157,1067.0054,15.4444,-2.0589126742480E-02
TcO2_1205302_POSCAR,5.0691518850,0.0283,0.0119,1067.0067,15.4462,-1.8377993460898E-02
TcO2_1205302_POSCAR,5.2061559900,0.0219,0.0091,1067.0076,15.4474,-1.6370860848264E-02
TcO2_1205302_POSCAR,5.3431600950,0.0171,0.0071,1067.0082,15.4483,-1.4588206802679E-02
TcO2_1205302_POSCAR,5.4801642000,0.0136,0.0057,1067.0086,15.4490,-1.3018574604354E-02
TcO2_1205302_POSCAR,5.6171683050,0.0109,0.0045,1067.0088,15.4495,-1.1633987561352E-02
TcO2_1205302_POSCAR,5.7541724100,0.0088,0.0037,1067.0091,15.4499,-1.0401503412073E-02
TcO2_1205302_POSCAR,5.8911765150,0.0072,0.0030,1067.0092,15.4501,-9.2951979910275E-03
TcO2_1205302_POSCAR,6.0281806200,0.0060,0.0025,1067.0094,15.4504,-8.2923357591294E-03
TcO2_1205302_POSCAR,6.1651847250,0.0050,0.0021,1067.0095,15.4505,-7.3838905819631E-03
TcO2_1205302_POSCAR,6.3021888300,0.0042,0.0017,1067.0095,15.4507,-6.5608846886539E-03
TcO2_1205302_POSCAR,6.4391929350,0.0035,0.0015,1067.0096,15.4508,-5.8204939689590E-03
TcO2_1205302_POSCAR,6.5761970400,0.0030,0.0013,1067.0096,15.4509,-5.1580753014084E-03
TcO2_1205302_POSCAR,6.7132011450,0.0026,0.0011,1067.0097,15.4510,-4.5687982952398E-03
TcO2_33137,0.0000000000,read,real,scaling,value,N/A
TcO2_33137,0.0000000000,read,real,scaling,value,N/A
TcO2_33137,0.0000000000,read,real,scaling,value,N/A
TcO2_33137,0.0000000000,read,real,scaling,value,N/A
TcO2_33137,0.0000000000,read,real,scaling,value,N/A
TcO2_33137,0.0000000000,read,real,scaling,value,N/A
TcO2_33137,0.0000000000,read,real,scaling,value,N/A
