source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733,0.0000000000,read,real,scaling,value,N/A
Ti10O11_684733_POSCAR,5.8130789679,16.3236,6.1360,321.5890,10.3708,-5.8621346901885E-01
Ti10O11_684733_POSCAR,4.8442324732,23.5503,7.7273,321.5890,10.3708,-1.0166785870304E+00
Ti10O11_684733_POSCAR,5.4901301363,17.8331,6.3742,321.5890,10.3708,-7.0764162505283E-01
Ti10O11_684733_POSCAR,5.1671813048,20.0097,6.8023,321.5890,10.3708,-8.5226167438539E-01
Ti10O11_684733_POSCAR,6.1360277994,14.7759,5.9130,321.5890,10.3708,-4.9040198244616E-01
Ti10O11_684733_POSCAR,6.7819254625,10.3773,4.9819,321.5890,10.3708,-3.4693299103331E-01
Ti10O11_684733_POSCAR,7.1048742940,7.9498,4.1173,321.5890,10.3708,-2.9363167555666E-01
Ti10O11_684733_POSCAR,6.4589766309,12.7719,5.5681,321.5890,10.3708,-4.1262772595457E-01
Ti10O11_684733_POSCAR,7.4278231256,5.7657,3.0943,321.5890,10.3708,-2.5410903501666E-01
Ti10O11_684733_POSCAR,7.7507719571,3.9621,2.1317,321.5890,10.3844,-2.2797051038346E-01
Ti10O11_684733_POSCAR,8.0737207887,2.6033,1.3841,302.3316,12.0462,-2.0987846420315E-01
Ti10O11_684733_POSCAR,8.3966696202,1.6670,0.8746,302.0091,12.9163,-1.9356811081285E-01
Ti10O11_684733_POSCAR,8.7196184518,1.0615,0.5511,371.7945,13.8312,-1.9998804017773E-01
Ti10O11_684733_POSCAR,9.0425672833,0.6821,0.3514,1314.3478,14.8282,-5.8911293109816E-01
Ti10O11_684733_POSCAR,9.3655161149,0.4460,0.2284,1360.3553,15.2032,-5.8832095280398E-01
Ti10O11_684733_POSCAR,9.6884649464,0.2979,0.1518,1361.7396,15.3322,-5.4118244840899E-01
Ti10O11_684733_POSCAR,10.0114137780,0.2035,0.1033,1361.8735,15.3853,-4.9263684508994E-01
