source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541,0.0000000000,read,real,scaling,value,N/A
V10O9_705541_POSCAR,3.9562780418,22.4743,7.0649,269.3349,10.3708,-4.2656128649012E-01
V10O9_705541_POSCAR,4.4837817807,18.6982,6.2118,269.3349,10.3708,-2.8834242782301E-01
V10O9_705541_POSCAR,4.7475336501,17.4640,6.0124,269.3349,10.3708,-2.3830742874705E-01
V10O9_705541_POSCAR,4.2200299112,20.0901,6.4878,269.3349,10.3708,-3.5249661373141E-01
V10O9_705541_POSCAR,5.5387892585,9.9295,4.4459,269.3349,10.3708,-1.3736843675679E-01
V10O9_705541_POSCAR,5.0112855196,15.7089,5.7399,269.3349,10.3708,-1.9859775939019E-01
