chemsys,metal,ligand,n,best_delta_E,worst_delta_E,mean_delta_E,median_delta_E,std_delta_E
Mn-S,Mn,S,5,-0.0280385302952868,-0.0058219402534333,-0.01535236338841176,-0.0130669948876649,0.008644092561640457
Hf-S,Hf,S,1,-0.0343014539403999,-0.0343014539403999,-0.0343014539403999,-0.0343014539403999,
Co-S,Co,S,4,-0.0882133689004489,-0.0106068050784173,-0.04916842292724115,-0.0489267588650492,0.040555237070860145
Cr-S,Cr,S,7,-0.1130756385898952,-0.0045214555571357,-0.07315269274443052,-0.0778235888529349,0.037926119071481364
Fe-S,Fe,S,12,-0.1163896643480806,-0.0138604983318336,-0.06819921512046506,-0.07390209465414149,0.03895781883472927
Tc-O,Tc,O,1,-0.1178296629101884,-0.1178296629101884,-0.1178296629101884,-0.1178296629101884,
Mo-O,Mo,O,1,-0.1184199959945722,-0.1184199959945722,-0.1184199959945722,-0.1184199959945722,
Mo-S,Mo,S,4,-0.1586130006063377,-0.065983674271478,-0.11255755664120423,-0.11281677584350061,0.05010515483849412
Pd-S,Pd,S,3,-0.1654040371581073,-0.0703960055736149,-0.1165940473355357,-0.1139820992748849,0.04755784079301362
Rh-O,Rh,O,4,-0.1669840359979043,-0.081589350806994,-0.1067681595792612,-0.08924962575607326,0.04044160812214641
Zn-O,Zn,O,5,-0.2045787050979867,-0.1136383585203062,-0.18398881165149458,-0.2038882237641298,0.03959527714930152
Zn-S,Zn,S,98,-0.2049524028841518,-0.0591086933613166,-0.10263519109744337,-0.1079162499164326,0.02977148695880586
Y-S,Y,S,4,-0.2155435175171478,-0.018238756798264,-0.11399126733541733,-0.11109139751312874,0.08117460887475447
Cr-O,Cr,O,52,-0.2536050290405826,-0.0056221350284054,-0.07239300650306976,-0.03786498304226535,0.0757930154096551
Rh-S,Rh,S,1,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,
