chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Fe-O,Fe10O11_705555_POSCAR,35,local_max_drop,8.2601916609,-0.41600920084408,-0.21907079356537965,-0.19693840727870035,7.599376,16.189976,0.02492053
Fe-O,Fe10O11_759504_POSCAR,35,local_max_drop,6.6201369773,-0.21056935952724,-0.09573825697396152,-0.1148311025532785,5.29611,12.975468,0.01333725
Fe-O,Fe10O11_799417_POSCAR,35,local_max_drop,8.847270882,-0.15939277102545,-0.098572513918036,-0.060820257107414,8.166712,16.673703,0.01101527
Fe-O,Fe11O12_705417_POSCAR,35,local_max_drop,6.988906237,-0.23148748074352,-0.12127342836605036,-0.11021405237746963,6.429794,13.698256,0.01632602
Fe-O,Fe12O13_764326_POSCAR,35,local_max_drop,8.2009186517,-0.25801790831734,-0.10302410630976958,-0.15499380200757043,6.560735,16.073801,0.01143468
Fe-O,Fe13O14_705414_POSCAR,35,local_max_drop,8.2002132404,-0.27820499531297,-0.14451546066740206,-0.13368953464556793,7.544196,16.072418,0.0165702
Fe-O,Fe13O15_756693_POSCAR,35,local_max_drop,6.3752049713,-0.25473086930093,-0.13945729344204802,-0.11527357585888195,5.865189,12.495402,0.02044813
Fe-O,Fe13O19_1195927_POSCAR,35,local_max_drop,12.8205567026,-0.25110866394209,-0.1337459238488781,-0.11736274009321193,9.861967,24.161818,0.01042861
Fe-O,Fe14O15_764417_POSCAR,35,local_max_drop,7.7816215904,-0.30423191755654,-0.12291723855308517,-0.18131467900345483,6.225297,15.251978,0.01437409
Fe-O,Fe15O16_1224936_POSCAR,35,local_max_drop,7.4460829822,-0.28817675384873,-0.14440730350160175,-0.14376945034712824,5.659023,14.594323,0.01801081
Fe-O,Fe15O16_705551_POSCAR,35,local_max_drop,7.8086394483,-0.29609740999339,-0.14409558219295723,-0.15200182780043278,5.934566,15.304933,0.01712962
Fe-O,Fe17O18_705424_POSCAR,35,local_max_drop,8.5162617494,-0.36706189912878,-0.16622489101803165,-0.20083700811074837,6.472359,16.691873,0.01813643
Fe-O,Fe21O23_706875_POSCAR,35,local_max_drop,8.2700874221,-0.43791507045927,-0.23033337647366797,-0.207581693985602,7.60848,16.209371,0.02616052
Fe-O,Fe21O32_530048_POSCAR,35,local_max_drop,11.1936876236,-0.31227567743747,-0.2008688865696817,-0.11140679086778829,10.364526,20.31447,0.01911651
Fe-O,Fe23O25_705553_POSCAR,35,local_max_drop,8.1786245113,-0.48784165291668,-0.2535968791211636,-0.23424477379551645,7.524335,16.030104,0.02914641
Fe-O,Fe23O32_774295_POSCAR,35,local_max_drop,11.2363469332,-0.36429955609511,-0.23712918524897164,-0.12717037084613836,9.987864,20.391889,0.02270908
Fe-O,Fe23O32_776135_POSCAR,35,local_max_drop,10.944136077,-0.38310087158457,-0.24179266865250526,-0.14130820293206475,10.102279,20.625487,0.02221508
Fe-O,Fe25O32_1194978_POSCAR,35,local_max_drop,19.784279112,-0.47981331472758,-0.29188175450198267,-0.18793156022559732,17.501478,37.285757,0.01504387
Fe-O,Fe2O3_1068212_POSCAR,35,global_gradient_fallback,3.9779376,-0.028750591052976,-0.025373323351678516,-0.003377267701297485,3.788512,9.281854,0.00438622
Fe-O,Fe2O3_1078361_POSCAR,35,global_gradient_fallback,6.219332375,-0.070729336835032,-0.04841048820764033,-0.022318848627391676,5.721786,12.189891,0.00730937
Fe-O,Fe2O3_1178392_POSCAR,35,local_max_drop,6.45604375,-0.28142436305179,-0.1563788167400666,-0.12504554631172343,5.164835,12.653846,0.02229336
Fe-O,Fe2O3_1205415_POSCAR,35,global_gradient_fallback,6.2955775,-0.13259228084112,-0.09824514296989412,-0.0343471378712259,5.791931,12.339332,0.01473954
Fe-O,Fe2O3_1244869_POSCAR,35,local_max_drop,13.846492162,-0.45591721263991,-0.28806536995710524,-0.16785184268280473,12.781377,26.095312,0.02075605
Fe-O,Fe2O3_1244911_POSCAR,35,local_max_drop,11.2359837197,-0.44872992747061,-0.28702252320947086,-0.16170740426113916,10.371677,21.175508,0.02548328
Fe-O,Fe2O3_1245019_POSCAR,35,local_max_drop,11.9094528677,-0.43273399723107,-0.26706473080065807,-0.1656692664304119,10.993341,22.444738,0.02217116
Fe-O,Fe2O3_1245078_POSCAR,35,local_max_drop,13.0070500344,-0.4009819452993,-0.2659549400167195,-0.1350270052825805,12.006508,24.513287,0.02032539
Fe-O,Fe2O3_1245084_POSCAR,35,local_max_drop,13.8846973845,-0.38272387312218,-0.2666568809256665,-0.11606699219651351,12.816644,26.167314,0.0190965
Fe-O,Fe2O3_1245154_POSCAR,35,local_max_drop,13.3401376763,-0.40488507016032,-0.26120921664478064,-0.14367585351553935,12.313973,25.141029,0.01937409
Fe-O,Fe2O3_1245277_POSCAR,35,local_max_drop,13.3263006099,-0.38238910427935,-0.2540140658896314,-0.12837503838971864,12.301201,25.114951,0.01884718
Fe-O,Fe2O3_1356129_POSCAR,35,local_max_drop,8.7467892675,-0.2730519476331,-0.1448793127025639,-0.12817263493053607,6.728299,16.484334,0.01633455
Fe-O,Fe2O3_1378486_POSCAR,35,global_gradient_fallback,6.474436875,-0.10391337605241,-0.08040531790501793,-0.02350805814739207,5.956482,12.689896,0.0115272
Fe-O,Fe2O3_1456_POSCAR,35,local_max_drop,11.0827808,-0.99164267450976,-0.6252713545739053,-0.3663713199358547,10.230259,20.886779,0.05674253
