chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Mn-O,Mn15O32_776603_POSCAR,35,local_max_drop,8.051055353,-0.22983220301664,-0.10958615379962067,-0.12024604921701934,7.47598,14.089347,0.01335025
Mn-O,Mn15O32_867971_POSCAR,35,local_max_drop,11.5380823021,-0.2287999698797,-0.11034094785207343,-0.11845902202762656,10.713934,20.191644,0.0094523
Mn-O,Mn20O43_1222372_POSCAR,35,local_max_drop,10.7423062491,-0.32433194530912,-0.16445535852975157,-0.15987658677936845,9.974999,18.799036,0.01576289
Mn-O,Mn21O40_766493_POSCAR,35,local_max_drop,13.5265726197,-0.352083843629,-0.15007815610761946,-0.20200568752138057,10.520668,24.548224,0.01009897
Mn-O,Mn21O40_849596_POSCAR,35,local_max_drop,7.8889881274,-0.3476639787411,-0.17199834179161932,-0.17566563694948067,7.304619,14.317053,0.020757
Mn-O,Mn2O3_1043363_POSCAR,35,local_max_drop,6.943213927,-0.16858216309324,-0.0768993515162627,-0.0916828115769773,6.409121,13.085288,0.01056487
Mn-O,Mn2O3_1172875_POSCAR,35,local_max_drop,12.4543497,-0.71924377535252,-0.3383200438184539,-0.38092373153406617,11.496323,23.471659,0.02631948
Mn-O,Mn2O3_1203190_POSCAR,35,local_max_drop,12.348482681,-0.72435308484506,-0.31056416576075646,-0.41378891908430354,8.689673,22.410209,0.02594257
Mn-O,Mn2O3_1204718_POSCAR,35,local_max_drop,14.2502523635,-0.72567992911292,-0.3093484706471836,-0.4163314584657364,10.027955,25.861569,0.02241421
Mn-O,Mn2O3_1303934_POSCAR,35,global_gradient_fallback,6.7503784917,-0.080975505787512,-0.04431901625337572,-0.036656489534136284,5.971489,12.721867,0.00633875
Mn-O,Mn2O3_1306224_POSCAR,35,global_gradient_fallback,6.5431306811,-0.07982257696481,-0.04440536947906445,-0.035417207485745554,5.788154,12.331285,0.00656211
Mn-O,Mn2O3_1349371_POSCAR,35,local_max_drop,15.221878408,-0.36808414844575,-0.26127174921776797,-0.10681239922798202,13.647201,25.719726,0.01777102
Mn-O,Mn2O3_510604_POSCAR,35,local_max_drop,12.7154629305,-0.71329783941133,-0.3250080529154257,-0.38828978649590423,11.773577,23.076211,0.02616084
Mn-O,Mn2O3_565203_POSCAR,35,local_max_drop,12.4786779,-0.72994475268894,-0.2846821155753297,-0.4452626371136103,9.598983,23.517508,0.02142885
Mn-O,Mn2O3_770543_POSCAR,35,global_gradient_fallback,5.9361852157,-0.091772513552642,-0.04576772536578303,-0.04600478818685897,5.251241,11.187426,0.00751577
Mn-O,Mn2O3_771717_POSCAR,35,local_max_drop,6.8955497,-0.3508760149185,-0.16927269499080264,-0.18160331992769738,6.365123,12.995459,0.02382795
Mn-O,Mn2O3_778470_POSCAR,35,local_max_drop,11.4689797155,-1.2182071874956,-0.6531235578520787,-0.5650836296435213,10.194649,20.814074,0.05973423
Mn-O,Mn3O4_1180464_POSCAR,35,local_max_drop,3.8974728,-0.16582940213341,-0.0754647400766387,-0.0903646620567713,3.597667,7.345237,0.01772774
Mn-O,Mn3O4_1180876_POSCAR,35,local_max_drop,15.52410495,-0.15263190900393,-0.06757557275595297,-0.08505633624797704,13.799204,28.173376,0.00415923
Mn-O,Mn3O4_1193728_POSCAR,35,local_max_drop,4.28301,-0.19498506081442,-0.08914747882028662,-0.10583758199413337,3.64849,7.77287,0.02111814
Mn-O,Mn3O4_1194100_POSCAR,35,local_max_drop,4.27809195,-0.19092582683694,-0.08688888362697864,-0.10403694320996137,3.644301,7.763945,0.02051651
