chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Ti-O,Ti10O11_684733_POSCAR,35,local_max_drop,9.0425672833,-0.58911293109816,-0.18149786869110623,-0.40761506240705375,8.39667,15.824493,0.01868755
Ti-O,Ti10O13_753593_POSCAR,35,local_max_drop,17.4648793332,-0.26738742366678,-0.08092772408972235,-0.18645969957705763,16.260405,29.509624,0.00442214
Ti-O,Ti11O14_1101463_POSCAR,35,local_max_drop,15.4584078355,-0.30141266743203,-0.09066210264191732,-0.21075056479011267,13.859262,26.119379,0.00578447
Ti-O,Ti11O14_2739250_POSCAR,35,local_max_drop,7.1350206623,-0.29724033182038,-0.08987090448766755,-0.20736942733271246,6.64295,12.055725,0.01209502
Ti-O,Ti11O14_759754_POSCAR,35,local_max_drop,7.1525743555,-0.30050630607618,-0.09198095011539005,-0.20852535596078997,6.659293,12.085384,0.0127052
Ti-O,Ti11O18_760747_POSCAR,35,local_max_drop,7.8877123153,-0.24228892678604,-0.08468967232238808,-0.15759925446365192,7.343732,13.327514,0.01069634
Ti-O,Ti13O22_656852_POSCAR,35,local_max_drop,11.0093718649,-0.53720568617587,-0.18210899583893234,-0.3550966903369376,10.250105,18.602042,0.0158664
Ti-O,Ti19O30_760075_POSCAR,35,local_max_drop,7.3106677496,-0.42626793953177,-0.14707090059751612,-0.27919703893425385,6.806484,12.352508,0.01994198
Ti-O,Ti2O3_1046793_POSCAR,35,local_max_drop,7.4143864855,-0.18503344965207,-0.06285920965922227,-0.12217423999284772,6.903049,12.527756,0.00857147
Ti-O,Ti2O3_1101295_POSCAR,35,local_max_drop,4.371702585,-0.089331863186214,-0.029230772060354085,-0.060101091125859915,4.070206,7.38667,0.0062977
Ti-O,Ti2O3_1188323_POSCAR,35,local_max_drop,4.1151663085,-0.23192455772525,-0.07666017094032147,-0.15526438678492854,3.831362,6.953212,0.01911946
Ti-O,Ti2O3_458_POSCAR,35,local_max_drop,6.5443756459,-0.092690955437696,-0.03141740290540804,-0.06127355253228796,6.093039,11.057738,0.00474626
Ti-O,Ti2O3_776456_POSCAR,35,local_max_drop,18.9572718469,-0.31209640890404,-0.10895062390079709,-0.20314578500324293,16.996175,32.031252,0.00608708
Ti-O,Ti2O3_776655_POSCAR,35,local_max_drop,7.4689601209,-0.17971005935235,-0.05996319847336386,-0.11974686087898613,6.953859,12.619967,0.00775042
Ti-O,Ti2O_1215_POSCAR,35,local_max_drop,4.135711216,-0.068111906466237,-0.0166669785559258,-0.05144492791031119,3.840303,7.237495,0.00367288
Ti-O,Ti2O_1217152_POSCAR,35,local_max_drop,4.2596842415,-0.18914159464571,-0.049752630395993994,-0.13938896424971603,3.672142,7.197398,0.01164116
Ti-O,Ti2O_1244955_POSCAR,35,local_max_drop,16.1623987106,-1.8838729405441,-0.5462934186882922,-1.3375795218558078,15.007942,28.284198,0.03194968
Ti-O,Ti2O_1245066_POSCAR,35,local_max_drop,15.3345602303,-1.8988272218312,-0.5212124206477771,-1.3776148011834228,13.748226,25.910119,0.03378556
