chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
V-S,V11S16_1100973_POSCAR,35,local_max_drop,14.4513424896,-0.15248757918693,-0.07924405706660646,-0.07324352212032355,13.454698,24.417786,0.00565696
V-S,V3S4_799_POSCAR,35,local_max_drop,13.163230384,-0.11245349415776,-0.05564548379856467,-0.05680801035919533,12.709326,22.24132,0.00448919
V-S,V3S_555283_POSCAR,35,local_max_drop,6.944090685,-0.64932503160664,-0.20700046627598462,-0.4423245653306554,6.481151,11.342015,0.03006848
V-S,V3S_7945_POSCAR,35,local_max_drop,6.4327312997,-0.32463850051375,-0.10399211320414446,-0.2206463873096055,6.003883,10.506794,0.01645898
V-S,V5S4_1133_POSCAR,35,local_max_drop,4.7545684188,-0.21395818274357,-0.08308471559457213,-0.1308734671489979,4.437597,7.765795,0.0180328
V-S,V7S8_1100925_POSCAR,35,local_max_drop,9.2597243455,-0.44756420086826,-0.2123141837600604,-0.2352500171081996,8.621123,15.645741,0.02529968
V-S,V7S8_1207843_POSCAR,35,local_max_drop,9.254796941,-0.14889234618017,-0.07042540732367135,-0.07846693885649865,8.616535,15.637416,0.0084104
V-S,V7S8_1216463_POSCAR,35,local_max_drop,7.5105322784,-0.14884681022374,-0.07053778350190816,-0.07830902672183183,6.992565,12.69021,0.0103771
V-S,VS2_1178763_POSCAR,35,global_gradient_fallback,4.0979440627,-0.029346489742675,-0.01803289773122989,-0.01131359201144511,3.391402,6.924112,0.00485024
V-S,VS2_557523_POSCAR,35,global_gradient_fallback,4.7314064775,-0.029349119579569,-0.018031418433798276,-0.011317701145770725,3.915647,7.994445,0.00420028
V-S,VS2_611224_POSCAR,35,global_gradient_fallback,3.6970137637,-0.012723441122082,-0.012222239667271078,-0.0005012014548109213,2.039732,6.246678,0.00393339
V-S,VS2_849060_POSCAR,35,global_gradient_fallback,4.7022191379,-0.014656253899238,-0.009012677738337544,-0.005643576160900455,3.891492,7.945129,0.00211273
V-S,VS2_849098_POSCAR,35,global_gradient_fallback,4.1833225,-0.010261341791391,-0.008635886014096877,-0.0016254557772941228,3.173555,7.068372,0.00232457
