chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Zn-S,ZnS_1196782_POSCAR,35,local_max_drop,5.0331996893,-0.20418668455095,-0.14507799118963333,-0.05910869336131666,4.839615,9.485646,0.02932949
Zn-S,ZnS_1198139_POSCAR,35,local_max_drop,5.0352278318,-0.20541404966531,-0.14481472960908168,-0.06059932005622831,4.841565,9.489468,0.02928567
Zn-S,ZnS_1199343_POSCAR,35,local_max_drop,5.0330747893,-0.20440992715613,-0.1451311558917688,-0.05927877126436118,4.839495,9.48541,0.02934416
Zn-S,ZnS_1200568_POSCAR,35,local_max_drop,5.0375588008,-0.20575696985935,-0.14481918556705406,-0.06093778429229593,4.843807,9.493861,0.02927975
Zn-S,ZnS_1200836_POSCAR,35,local_max_drop,5.035337184,-0.20542753388038,-0.14481057627557314,-0.06061695760480684,4.84167,9.489674,0.02928447
Zn-S,ZnS_1201158_POSCAR,35,local_max_drop,5.0343728809,-0.20548389509059,-0.14491494758288032,-0.06056894750770969,4.840743,9.487857,0.0293114
Zn-S,ZnS_1201781_POSCAR,35,local_max_drop,5.0331999387,-0.20419963060049,-0.14507426026968992,-0.05912537033080009,4.839615,9.485646,0.02932895
Zn-S,ZnS_1202023_POSCAR,35,local_max_drop,5.0332541583,-0.20441925900897,-0.14512941202928292,-0.05928984697968709,4.839667,9.485748,0.02934291
Zn-S,ZnS_1202182_POSCAR,35,local_max_drop,5.0351137092,-0.20539584563037,-0.14482081871614935,-0.06057502691422065,4.841455,9.489253,0.02928721
Zn-S,ZnS_1202959_POSCAR,35,local_max_drop,5.0352516879,-0.20541706156751,-0.14481359642636507,-0.060603465141144924,4.841588,9.489513,0.02928538
Zn-S,ZnS_1244890_POSCAR,35,local_max_drop,16.0268381479,-0.49109710325511,-0.37192391293015714,-0.11917319032495288,15.410421,30.204426,0.02365465
Zn-S,ZnS_1244921_POSCAR,35,local_max_drop,16.83518795,-0.53019519392799,-0.40217209959817146,-0.1280230943298185,16.187681,31.727854,0.02448992
Zn-S,ZnS_1244922_POSCAR,35,local_max_drop,18.6685380204,-0.51444683950468,-0.39500543359507395,-0.119441405909606,17.950517,35.183014,0.02166773
Zn-S,ZnS_1244936_POSCAR,35,local_max_drop,17.844837669,-0.5396856994853,-0.39627946271754544,-0.14340623676775455,17.158498,33.630656,0.02269631
Zn-S,ZnS_1244969_POSCAR,35,local_max_drop,17.4190382722,-0.5198664434141,-0.40020160027840573,-0.11966484313569431,16.128739,31.612329,0.02555489
Zn-S,ZnS_1244974_POSCAR,35,local_max_drop,16.0448344942,-0.54646394795689,-0.4136931805421699,-0.1327707674147201,14.810616,30.238342,0.02650441
Zn-S,ZnS_1244979_POSCAR,35,local_max_drop,16.8201620963,-0.53531539081421,-0.40903669511510665,-0.12627869569910333,16.173233,31.699536,0.02499941
Zn-S,ZnS_1244980_POSCAR,35,local_max_drop,17.5746797272,-0.49842556111808,-0.37290500151054407,-0.12552055960753594,16.898731,33.121512,0.02158093
Zn-S,ZnS_1244986_POSCAR,35,local_max_drop,16.6725729334,-0.51678586414087,-0.3854203153638514,-0.13136554877701861,16.03132,31.421387,0.02358045
Zn-S,ZnS_1244989_POSCAR,35,local_max_drop,16.9658265282,-0.53825471659616,-0.4127233301931665,-0.1255313864029935,16.313295,31.974058,0.02500249
Zn-S,ZnS_1245004_POSCAR,35,local_max_drop,17.0094096785,-0.53302238106038,-0.39705600671291,-0.13596637434747,15.700994,32.056195,0.0238882
Zn-S,ZnS_1245034_POSCAR,35,local_max_drop,17.7127583077,-0.48866718421453,-0.36644133010223184,-0.12222585411229814,16.350238,33.381737,0.02103963
Zn-S,ZnS_1245035_POSCAR,35,local_max_drop,17.097199718,-0.52858079780035,-0.3891860177868274,-0.13939478001352268,15.782031,32.221646,0.02329449
Zn-S,ZnS_1245050_POSCAR,35,local_max_drop,16.411964237,-0.54638503291512,-0.39964374069762965,-0.14674129221749033,15.149505,30.93024,0.02495962
Zn-S,ZnS_1245054_POSCAR,35,local_max_drop,17.4140160341,-0.51127484701379,-0.3880690059812789,-0.12320584103251109,16.744246,32.818723,0.02279025
Zn-S,ZnS_1245062_POSCAR,35,local_max_drop,17.2367539503,-0.52793731128044,-0.39915184403786436,-0.1287854672425756,15.91085,32.484652,0.02375799
Zn-S,ZnS_1245068_POSCAR,35,local_max_drop,15.4192950983,-0.55540357886955,-0.4030806854237628,-0.15232289344578726,14.233195,29.059441,0.02679257
Zn-S,ZnS_1245070_POSCAR,35,local_max_drop,17.7208270685,-0.50247186678623,-0.3784253534363004,-0.12404651334992961,17.039257,33.396943,0.02177335
Zn-S,ZnS_1245082_POSCAR,35,local_max_drop,17.3601221162,-0.53254102354833,-0.3897310266764015,-0.14280999687192847,16.024728,32.717153,0.02294247
Zn-S,ZnS_1245117_POSCAR,35,local_max_drop,17.6746810515,-0.52001148615221,-0.39810146406397573,-0.12191002208823432,16.994886,33.309976,0.02306186
Zn-S,ZnS_1245121_POSCAR,35,local_max_drop,16.4658038497,-0.50584199937325,-0.38712113215413785,-0.11872086721911218,15.832504,31.031707,0.0239866
Zn-S,ZnS_1245122_POSCAR,35,local_max_drop,16.5480562718,-0.52655012559866,-0.4048726907070069,-0.12167743489165311,15.911593,31.186721,0.02509731
Zn-S,ZnS_1245136_POSCAR,35,local_max_drop,18.0728018166,-0.51622833405459,-0.4026159300427882,-0.11361240401180184,17.377694,34.06028,0.02287626
Zn-S,ZnS_1245169_POSCAR,35,local_max_drop,16.6457018109,-0.53848603362426,-0.4120444284320624,-0.12644160519219755,16.005483,31.370746,0.02545648
Zn-S,ZnS_1245194_POSCAR,35,local_max_drop,17.5852552674,-0.48187435868562,-0.34914492322527557,-0.13272943546034444,16.282644,31.913982,0.02178183
Zn-S,ZnS_1245197_POSCAR,35,local_max_drop,18.002581309,-0.50805414353362,-0.4004216253037386,-0.1076325182298814,17.310174,33.927942,0.02283513
Zn-S,ZnS_1245199_POSCAR,35,local_max_drop,16.1361221593,-0.5185998101437,-0.39519123379325377,-0.12340857635044628,15.515502,30.410384,0.02507515
Zn-S,ZnS_1245201_POSCAR,35,local_max_drop,17.6534395846,-0.52514122686922,-0.39695358919567775,-0.1281876376735423,16.974461,33.269944,0.02303563
Zn-S,ZnS_1245213_POSCAR,35,local_max_drop,17.2625306756,-0.53634565718357,-0.39522269603136984,-0.14112296115220013,15.934644,32.533231,0.02341541
Zn-S,ZnS_1245216_POSCAR,35,local_max_drop,15.3900402422,-0.55576951137783,-0.4054041476056831,-0.15036536377214693,14.206191,29.004307,0.02697116
Zn-S,ZnS_1245220_POSCAR,35,local_max_drop,17.6545334396,-0.53281019274887,-0.3966065220464179,-0.1362036707024521,16.296492,33.272005,0.02303067
Zn-S,ZnS_1245222_POSCAR,35,local_max_drop,17.8688730748,-0.52331172112736,-0.3979427245135883,-0.1253689966137717,17.181609,33.675953,0.0228286
Zn-S,ZnS_1245236_POSCAR,35,local_max_drop,17.6245042025,-0.5065656897787,-0.3881962606924565,-0.11836942908624348,16.946639,33.215412,0.02250869
Zn-S,ZnS_1245238_POSCAR,35,local_max_drop,18.351169521,-0.50965030721452,-0.3828612556934826,-0.12678905152103737,16.939541,34.584896,0.02133643
Zn-S,ZnS_1245246_POSCAR,35,local_max_drop,17.7828643756,-0.54146048354912,-0.3937668174031921,-0.14769366614592794,16.414952,33.51386,0.02264693
Zn-S,ZnS_1245248_POSCAR,35,local_max_drop,17.7317233366,-0.50262295786929,-0.3898422250306546,-0.11278073283863543,17.049734,33.417479,0.02246213
Zn-S,ZnS_1245280_POSCAR,35,local_max_drop,18.08575346,-0.5290889943367,-0.4055563844113774,-0.12353260992532256,17.390148,34.084689,0.0230183
Zn-S,ZnS_1245296_POSCAR,35,local_max_drop,17.3067670932,-0.53779218153706,-0.417898368730497,-0.11989381280656297,16.641122,32.6166,0.0249193
